          S1          S2          D1          D2
  0.1076E+03 -0.2613E+03 -0.1771E-07 -0.3827E-02
  0.1012E+03 -0.2607E+03 -0.7260E-03 -0.4118E-02
  0.9366E+02 -0.2586E+03 -0.1621E-02 -0.4453E-02
  0.8392E+02 -0.2540E+03 -0.2808E-02 -0.4864E-02
  0.6499E+02 -0.2403E+03 -0.4518E-02 -0.5384E-02
 -0.5333E+02 -0.1180E+03 -0.6557E-02 -0.5504E-02
 -0.9619E+02 -0.6244E+02 -0.7561E-02 -0.4366E-02
 -0.1357E+03  0.3346E+02 -0.8093E-02 -0.2946E-02
 -0.1738E+03  0.1734E+03 -0.6980E-02 -0.1231E-02
 -0.1767E+03  0.1997E+03 -0.5661E-02 -0.4679E-07
 -0.1758E+03  0.2108E+03 -0.4696E-02  0.8280E-03
 -0.1737E+03  0.2186E+03 -0.3948E-02  0.1437E-02
 -0.1709E+03  0.2246E+03 -0.3327E-02  0.1921E-02
 -0.1676E+03  0.2293E+03 -0.2778E-02  0.2331E-02
 -0.1625E+03  0.2343E+03 -0.2264E-02  0.2698E-02
 -0.1349E+03  0.2514E+03 -0.1753E-02  0.3037E-02
 -0.1198E+03  0.2590E+03 -0.1203E-02  0.3305E-02
 -0.1132E+03  0.2608E+03 -0.6281E-03  0.3562E-02
 -0.1077E+03  0.2613E+03 -0.4006E-07  0.3827E-02
 -0.1012E+03  0.2607E+03  0.7260E-03  0.4118E-02
 -0.9366E+02  0.2586E+03  0.1621E-02  0.4453E-02
 -0.8392E+02  0.2540E+03  0.2808E-02  0.4864E-02
 -0.6499E+02  0.2403E+03  0.4518E-02  0.5384E-02
  0.5307E+02  0.1183E+03  0.6558E-02  0.5505E-02
  0.9588E+02  0.5932E+02  0.7685E-02  0.4437E-02
  0.1357E+03 -0.3346E+02  0.8093E-02  0.2946E-02
  0.1738E+03 -0.1734E+03  0.6980E-02  0.1231E-02
  0.1767E+03 -0.1997E+03  0.5661E-02  0.4679E-07
  0.1758E+03 -0.2108E+03  0.4696E-02 -0.8280E-03
  0.1737E+03 -0.2186E+03  0.3948E-02 -0.1437E-02
  0.1709E+03 -0.2246E+03  0.3327E-02 -0.1921E-02
  0.1676E+03 -0.2293E+03  0.2778E-02 -0.2331E-02
  0.1625E+03 -0.2343E+03  0.2264E-02 -0.2698E-02
  0.1349E+03 -0.2514E+03  0.1753E-02 -0.3037E-02
  0.1198E+03 -0.2590E+03  0.1203E-02 -0.3305E-02
  0.1132E+03 -0.2608E+03  0.6281E-03 -0.3562E-02
  0.1076E+03 -0.2613E+03 -0.1771E-07 -0.3827E-02
          S1          S2          D1          D2
  0.1733E+03 -0.4481E+03 -0.4941E-09 -0.2232E-02
  0.1647E+03 -0.4473E+03 -0.4215E-03 -0.2391E-02
