
*******   STEP   1      *** NEFF=10 CALCULATION                
   11   0.432E-02   0.642E+00   0.106E-01
   12   0.388E-02   0.569E+00   0.902E-02
   13   0.346E-02   0.502E+00   0.768E-02
   14   0.307E-02   0.442E+00   0.655E-02
   15   0.271E-02   0.387E+00   0.560E-02
   16   0.238E-02   0.338E+00   0.479E-02
   17   0.208E-02   0.295E+00   0.410E-02
   18   0.182E-02   0.256E+00   0.351E-02
   19   0.158E-02   0.222E+00   0.301E-02
   20   0.137E-02   0.193E+00   0.258E-02
   21   0.119E-02   0.167E+00   0.221E-02
   22   0.103E-02   0.144E+00   0.190E-02
   23   0.886E-03   0.125E+00   0.163E-02
   24   0.765E-03   0.108E+00   0.140E-02
   25   0.660E-03   0.929E-01   0.120E-02
   26   0.569E-03   0.802E-01   0.103E-02
   27   0.565E-03   0.690E-01   0.864E-03
   28   0.486E-03   0.580E-01   0.720E-03
   29   0.408E-03   0.485E-01   0.600E-03
   30   0.341E-03   0.405E-01   0.500E-03
   31   0.285E-03   0.338E-01   0.416E-03
   32   0.238E-03   0.282E-01   0.347E-03
   33   0.198E-03   0.236E-01   0.289E-03
   34   0.165E-03   0.197E-01   0.241E-03
   35   0.138E-03   0.164E-01   0.201E-03
   36   0.115E-03   0.137E-01   0.167E-03
   37   0.959E-04   0.114E-01   0.139E-03
   38   0.799E-04   0.951E-02   0.116E-03
   39   0.666E-04   0.793E-02   0.969E-04
   40   0.555E-04   0.661E-02   0.809E-04
   41   0.463E-04   0.551E-02   0.674E-04
   42   0.386E-04   0.460E-02   0.560E-04
   43   0.322E-04   0.383E-02   0.466E-04
   44   0.268E-04   0.320E-02   0.389E-04
   45   0.224E-04   0.266E-02   0.325E-04
   46   0.186E-04   0.222E-02   0.273E-04
   47   0.155E-04   0.185E-02   0.227E-04
   48   0.130E-04   0.154E-02   0.188E-04
   49   0.108E-04   0.129E-02   0.156E-04
   50   0.900E-05   0.107E-02   0.131E-04
   51   0.750E-05   0.894E-03   0.109E-04

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.911E-02   0.195E+01   0.109E+00
    2   0.698E-02   0.197E+01   0.919E-01
    3   0.587E-02   0.198E+01   0.859E-01
    4   0.489E-02   0.199E+01   0.848E-01
    5   0.614E-02   0.200E+01   0.736E-01
    6   0.646E-02   0.215E+01   0.513E-01
    7   0.311E-02   0.215E+01   0.351E-01
    8   0.206E-02   0.216E+01   0.241E-01
    9   0.169E-02   0.220E+01   0.166E-01
   10   0.143E-02   0.224E+01   0.114E-01
   11   0.117E-02   0.229E+01   0.785E-02
   12   0.935E-03   0.232E+01   0.545E-02
   13   0.741E-03   0.235E+01   0.386E-02
   14   0.597E-03   0.237E+01   0.283E-02
   15   0.499E-03   0.238E+01   0.220E-02
   16   0.510E-03   0.239E+01   0.184E-02
   17   0.384E-03   0.240E+01   0.160E-02
   18   0.389E-03   0.240E+01   0.149E-02
   19   0.374E-03   0.240E+01   0.151E-02
   20   0.361E-03   0.241E+01   0.156E-02
   21   0.354E-03   0.241E+01   0.157E-02
   22   0.350E-03   0.241E+01   0.151E-02
   23   0.349E-03   0.241E+01   0.145E-02
   24   0.349E-03   0.241E+01   0.143E-02
   25   0.350E-03   0.242E+01   0.145E-02
