          S1          S2          D1          D2
  0.1247E+03 -0.2593E+03  0.1971E-10 -0.3856E-02
  0.1226E+03 -0.2591E+03 -0.7424E-03 -0.4211E-02
  0.1197E+03 -0.2583E+03 -0.1695E-02 -0.4656E-02
  0.1164E+03 -0.2568E+03 -0.3046E-02 -0.5276E-02
  0.1042E+03 -0.2475E+03 -0.5238E-02 -0.6244E-02
 -0.9372E+02 -0.6865E+02 -0.6608E-02 -0.5545E-02
 -0.1069E+03 -0.5019E+02 -0.7357E-02 -0.4247E-02
 -0.1149E+03 -0.3289E+02 -0.7884E-02 -0.2870E-02
 -0.1557E+03  0.1479E+03 -0.7713E-02 -0.1360E-02
 -0.1676E+03  0.2248E+03 -0.5967E-02 -0.3706E-08
 -0.1672E+03  0.2296E+03 -0.4815E-02  0.8489E-03
 -0.1666E+03  0.2321E+03 -0.3983E-02  0.1450E-02
 -0.1658E+03  0.2338E+03 -0.3325E-02  0.1920E-02
 -0.1648E+03  0.2353E+03 -0.2761E-02  0.2317E-02
 -0.1631E+03  0.2369E+03 -0.2245E-02  0.2676E-02
 -0.1335E+03  0.2560E+03 -0.1734E-02  0.3003E-02
 -0.1282E+03  0.2587E+03 -0.1192E-02  0.3275E-02
 -0.1265E+03  0.2592E+03 -0.6265E-03  0.3553E-02
 -0.1247E+03  0.2593E+03  0.6400E-08  0.3856E-02
 -0.1226E+03  0.2591E+03  0.7424E-03  0.4211E-02
 -0.1197E+03  0.2583E+03  0.1695E-02  0.4656E-02
 -0.1164E+03  0.2568E+03  0.3046E-02  0.5276E-02
 -0.1042E+03  0.2475E+03  0.5238E-02  0.6244E-02
 -0.2671E+01  0.1547E+03  0.7867E-02  0.6602E-02
  0.6747E+02  0.4796E+02  0.1051E-01  0.6067E-02
  0.1443E+03 -0.9925E+02  0.9244E-02  0.3364E-02
  0.1563E+03 -0.1509E+03  0.7713E-02  0.1360E-02
  0.1676E+03 -0.2248E+03  0.5967E-02  0.7363E-07
  0.1672E+03 -0.2296E+03  0.4815E-02 -0.8489E-03
  0.1666E+03 -0.2321E+03  0.3983E-02 -0.1450E-02
  0.1658E+03 -0.2338E+03  0.3325E-02 -0.1920E-02
  0.1648E+03 -0.2353E+03  0.2761E-02 -0.2317E-02
  0.1631E+03 -0.2369E+03  0.2245E-02 -0.2676E-02
  0.1335E+03 -0.2560E+03  0.1734E-02 -0.3003E-02
  0.1282E+03 -0.2587E+03  0.1192E-02 -0.3275E-02
  0.1265E+03 -0.2592E+03  0.6265E-03 -0.3553E-02
  0.1247E+03 -0.2593E+03  0.1971E-10 -0.3856E-02
          S1          S2          D1          D2
  0.1999E+03 -0.4395E+03  0.3037E-13 -0.2275E-02
  0.1958E+03 -0.4391E+03 -0.4357E-03 -0.2471E-02
  0.1909E+03 -0.4378E+03 -0.9881E-03 -0.2715E-02
  0.1850E+03 -0.4350E+03 -0.1759E-02 -0.3047E-02
  0.1605E+03 -0.4164E+03 -0.2979E-02 -0.3549E-02
 -0.1512E+03 -0.1369E+03 -0.3760E-02 -0.3154E-02
 -0.1761E+03 -0.1021E+03 -0.4255E-02 -0.2456E-02
 -0.1910E+03 -0.6929E+02 -0.4624E-02 -0.1683E-02
 -0.2882E+03  0.3368E+03 -0.4371E-02 -0.7707E-03
 -0.2921E+03  0.3694E+03 -0.3423E-02 -0.5302E-07
 -0.2915E+03  0.3776E+03 -0.2793E-02  0.4924E-03
 -0.2903E+03  0.3822E+03 -0.2329E-02  0.8476E-03
 -0.2888E+03  0.3855E+03 -0.1956E-02  0.1129E-02
 -0.2867E+03  0.3884E+03 -0.1632E-02  0.1370E-02
 -0.2827E+03  0.3923E+03 -0.1333E-02  0.1588E-02
 -0.2333E+03  0.4242E+03 -0.1033E-02  0.1789E-02
 -0.2070E+03  0.4382E+03 -0.7087E-03  0.1947E-02
 -0.2034E+03  0.4392E+03 -0.3711E-03  0.2105E-02
 -0.1999E+03  0.4395E+03 -0.7115E-08  0.2275E-02
 -0.1958E+03  0.4391E+03  0.4357E-03  0.2471E-02
 -0.1909E+03  0.4378E+03  0.9881E-03  0.2715E-02
 -0.1850E+03  0.4350E+03  0.1759E-02  0.3047E-02
 -0.1608E+03  0.4167E+03  0.2977E-02  0.3549E-02
 -0.8420E+02  0.3429E+03  0.4913E-02  0.4123E-02
  0.7481E+02  0.1013E+03  0.7502E-02  0.4331E-02
  0.2743E+03 -0.2797E+03  0.5798E-02  0.2110E-02
  0.2883E+03 -0.3377E+03  0.4371E-02  0.7707E-03
  0.2921E+03 -0.3694E+03  0.3423E-02  0.5425E-07
  0.2915E+03 -0.3776E+03  0.2793E-02 -0.4924E-03
  0.2903E+03 -0.3822E+03  0.2329E-02 -0.8476E-03
  0.2888E+03 -0.3855E+03  0.1956E-02 -0.1129E-02
  0.2867E+03 -0.3884E+03  0.1632E-02 -0.1370E-02
  0.2827E+03 -0.3923E+03  0.1333E-02 -0.1588E-02
  0.2333E+03 -0.4243E+03  0.1033E-02 -0.1789E-02
  0.2070E+03 -0.4383E+03  0.7087E-03 -0.1947E-02
  0.2034E+03 -0.4392E+03  0.3711E-03 -0.2105E-02
  0.1999E+03 -0.4395E+03  0.3037E-13 -0.2275E-02
          S1          S2          D1          D2
  0.2336E+03 -0.5179E+03  0.1067E-10 -0.1931E-02
  0.2290E+03 -0.5175E+03 -0.3696E-03 -0.2096E-02
  0.2241E+03 -0.5161E+03 -0.8375E-03 -0.2301E-02
