          S1          S2          D1          D2
  0.1064E+03 -0.2506E+03  0.3411E-08 -0.3991E-02
  0.1002E+03 -0.2500E+03 -0.7588E-03 -0.4304E-02
  0.9291E+02 -0.2480E+03 -0.1699E-02 -0.4669E-02
  0.8072E+02 -0.2422E+03 -0.2952E-02 -0.5114E-02
  0.2804E+02 -0.2031E+03 -0.4673E-02 -0.5569E-02
 -0.2714E+02 -0.1492E+03 -0.6566E-02 -0.5510E-02
 -0.1155E+03 -0.2566E+02 -0.7675E-02 -0.4431E-02
 -0.1296E+03  0.4489E+01 -0.7813E-02 -0.2844E-02
 -0.1771E+03  0.1672E+03 -0.6776E-02 -0.1195E-02
 -0.1788E+03  0.1851E+03 -0.5593E-02 -0.5035E-07
 -0.1778E+03  0.1968E+03 -0.4706E-02  0.8297E-03
 -0.1756E+03  0.2052E+03 -0.3995E-02  0.1454E-02
 -0.1728E+03  0.2112E+03 -0.3393E-02  0.1959E-02
 -0.1696E+03  0.2158E+03 -0.2852E-02  0.2393E-02
 -0.1631E+03  0.2221E+03 -0.2338E-02  0.2786E-02
 -0.1443E+03  0.2355E+03 -0.1811E-02  0.3136E-02
 -0.1198E+03  0.2481E+03 -0.1248E-02  0.3428E-02
 -0.1128E+03  0.2500E+03 -0.6534E-03  0.3705E-02
 -0.1064E+03  0.2506E+03 -0.5730E-07  0.3991E-02
 -0.1002E+03  0.2500E+03  0.7588E-03  0.4304E-02
 -0.9291E+02  0.2480E+03  0.1699E-02  0.4669E-02
 -0.8072E+02  0.2422E+03  0.2952E-02  0.5114E-02
 -0.2804E+02  0.2031E+03  0.4673E-02  0.5569E-02
  0.2714E+02  0.1492E+03  0.6566E-02  0.5510E-02
  0.1013E+03  0.4596E+02  0.7826E-02  0.4518E-02
  0.1369E+03 -0.3389E+02  0.8028E-02  0.2922E-02
  0.1771E+03 -0.1672E+03  0.6775E-02  0.1195E-02
  0.1788E+03 -0.1851E+03  0.5593E-02  0.5036E-07
  0.1778E+03 -0.1968E+03  0.4706E-02 -0.8297E-03
  0.1756E+03 -0.2052E+03  0.3995E-02 -0.1454E-02
  0.1728E+03 -0.2112E+03  0.3393E-02 -0.1959E-02
  0.1696E+03 -0.2158E+03  0.2852E-02 -0.2393E-02
  0.1631E+03 -0.2221E+03  0.2338E-02 -0.2786E-02
  0.1443E+03 -0.2355E+03  0.1811E-02 -0.3136E-02
  0.1198E+03 -0.2481E+03  0.1248E-02 -0.3428E-02
  0.1128E+03 -0.2500E+03  0.6534E-03 -0.3705E-02
  0.1064E+03 -0.2506E+03  0.3411E-08 -0.3991E-02
          S1          S2          D1          D2
  0.1759E+03 -0.4368E+03  0.1343E-11 -0.2289E-02
  0.1657E+03 -0.4359E+03 -0.4335E-03 -0.2459E-02
  0.1534E+03 -0.4325E+03 -0.9662E-03 -0.2655E-02
  0.1333E+03 -0.4228E+03 -0.1669E-02 -0.2891E-02
  0.4167E+02 -0.3544E+03 -0.2627E-02 -0.3130E-02
 -0.4984E+02 -0.2661E+03 -0.3661E-02 -0.3072E-02
 -0.1865E+03 -0.7510E+02 -0.4351E-02 -0.2512E-02
 -0.2190E+03 -0.5666E+01 -0.4523E-02 -0.1646E-02
 -0.3113E+03  0.2949E+03 -0.3857E-02 -0.6805E-03
 -0.3140E+03  0.3226E+03 -0.3185E-02 -0.4289E-07
 -0.3126E+03  0.3391E+03 -0.2685E-02  0.4734E-03
 -0.3095E+03  0.3510E+03 -0.2287E-02  0.8324E-03
 -0.3054E+03  0.3599E+03 -0.1949E-02  0.1125E-02
 -0.3002E+03  0.3673E+03 -0.1644E-02  0.1379E-02
 -0.2906E+03  0.3767E+03 -0.1352E-02  0.1612E-02
 -0.2389E+03  0.4115E+03 -0.1051E-02  0.1820E-02
 -0.1976E+03  0.4328E+03 -0.7212E-03  0.1981E-02
 -0.1862E+03  0.4359E+03 -0.3762E-03  0.2133E-02
 -0.1759E+03  0.4368E+03 -0.2409E-07  0.2289E-02
 -0.1657E+03  0.4359E+03  0.4336E-03  0.2459E-02
 -0.1534E+03  0.4325E+03  0.9662E-03  0.2655E-02
 -0.1332E+03  0.4228E+03  0.1669E-02  0.2891E-02
 -0.4166E+02  0.3544E+03  0.2627E-02  0.3130E-02
  0.4979E+02  0.2662E+03  0.3661E-02  0.3072E-02
  0.1608E+03  0.1103E+03  0.4455E-02  0.2572E-02
  0.2335E+03 -0.4997E+02  0.4645E-02  0.1691E-02
  0.3113E+03 -0.2950E+03  0.3857E-02  0.6801E-03
  0.3140E+03 -0.3226E+03  0.3185E-02  0.4295E-07
  0.3126E+03 -0.3391E+03  0.2685E-02 -0.4734E-03
  0.3095E+03 -0.3510E+03  0.2287E-02 -0.8324E-03
  0.3054E+03 -0.3599E+03  0.1949E-02 -0.1125E-02
  0.3002E+03 -0.3673E+03  0.1644E-02 -0.1379E-02
  0.2906E+03 -0.3767E+03  0.1352E-02 -0.1612E-02
  0.2388E+03 -0.4115E+03  0.1051E-02 -0.1820E-02
  0.1976E+03 -0.4328E+03  0.7211E-03 -0.1981E-02
  0.1862E+03 -0.4359E+03  0.3762E-03 -0.2133E-02
  0.1759E+03 -0.4368E+03  0.1343E-11 -0.2289E-02
          S1          S2          D1          D2
  0.2087E+03 -0.5202E+03  0.1025E-08 -0.1922E-02
  0.1964E+03 -0.5191E+03 -0.3639E-03 -0.2064E-02
  0.1818E+03 -0.5152E+03 -0.8106E-03 -0.2227E-02
  0.1581E+03 -0.5038E+03 -0.1400E-02 -0.2424E-02
  0.5127E+02 -0.4239E+03 -0.2203E-02 -0.2625E-02
 -0.5826E+02 -0.3181E+03 -0.3075E-02 -0.2580E-02
 -0.2067E+03 -0.1101E+03 -0.3700E-02 -0.2136E-02
 -0.2592E+03  0.5385E+01 -0.3887E-02 -0.1415E-02
 -0.3687E+03  0.3512E+03 -0.3260E-02 -0.5747E-03
 -0.3720E+03  0.3851E+03 -0.2688E-02 -0.2919E-07
 -0.3704E+03  0.4053E+03 -0.2263E-02  0.3991E-03
 -0.3666E+03  0.4197E+03 -0.1926E-02  0.7008E-03
 -0.3615E+03  0.4306E+03 -0.1639E-02  0.9463E-03
 -0.3553E+03  0.4394E+03 -0.1381E-02  0.1159E-02
 -0.3449E+03  0.4496E+03 -0.1135E-02  0.1353E-02
 -0.2864E+03  0.4886E+03 -0.8828E-03  0.1529E-02
 -0.2349E+03  0.5153E+03 -0.6058E-03  0.1664E-02
 -0.2211E+03  0.5190E+03 -0.3160E-03  0.1792E-02
 -0.2087E+03  0.5201E+03 -0.1962E-07  0.1923E-02
 -0.1964E+03  0.5191E+03  0.3640E-03  0.2064E-02
 -0.1818E+03  0.5151E+03  0.8108E-03  0.2228E-02
 -0.1579E+03  0.5036E+03  0.1400E-02  0.2425E-02
 -0.5115E+02  0.4238E+03  0.2203E-02  0.2625E-02
  0.5816E+02  0.3183E+03  0.3075E-02  0.2580E-02
  0.1870E+03  0.1378E+03  0.3752E-02  0.2166E-02
  0.2755E+03 -0.5596E+02  0.3920E-02  0.1427E-02
  0.3687E+03 -0.3512E+03  0.3260E-02  0.5748E-03
  0.3720E+03 -0.3851E+03  0.2688E-02  0.2920E-07
  0.3704E+03 -0.4053E+03  0.2263E-02 -0.3990E-03
  0.3666E+03 -0.4197E+03  0.1926E-02 -0.7008E-03
  0.3615E+03 -0.4306E+03  0.1639E-02 -0.9463E-03
  0.3554E+03 -0.4394E+03  0.1381E-02 -0.1159E-02
  0.3448E+03 -0.4497E+03  0.1135E-02 -0.1353E-02
  0.2862E+03 -0.4888E+03  0.8827E-03 -0.1529E-02
  0.2348E+03 -0.5154E+03  0.6058E-03 -0.1664E-02
  0.2211E+03 -0.5191E+03  0.3160E-03 -0.1792E-02
  0.2087E+03 -0.5202E+03  0.1025E-08 -0.1922E-02
          S1          S2          D1          D2
  0.2200E+03 -0.5613E+03  0.1246E-09 -0.1781E-02
  0.2070E+03 -0.5602E+03 -0.3367E-03 -0.1910E-02
  0.1915E+03 -0.5560E+03 -0.7485E-03 -0.2057E-02
  0.1664E+03 -0.5439E+03 -0.1289E-02 -0.2233E-02
  0.5214E+02 -0.4583E+03 -0.2024E-02 -0.2412E-02
 -0.6545E+02 -0.3449E+03 -0.2818E-02 -0.2365E-02
 -0.2138E+03 -0.1378E+03 -0.3409E-02 -0.1968E-02
 -0.2911E+03  0.3919E+02 -0.3622E-02 -0.1321E-02
 -0.3979E+03  0.3795E+03 -0.3022E-02 -0.5328E-03
 -0.4014E+03  0.4156E+03 -0.2491E-02 -0.2326E-07
 -0.3997E+03  0.4364E+03 -0.2098E-02  0.3699E-03
 -0.3959E+03  0.4510E+03 -0.1786E-02  0.6499E-03
 -0.3907E+03  0.4622E+03 -0.1521E-02  0.8780E-03
 -0.3843E+03  0.4714E+03 -0.1282E-02  0.1076E-02
 -0.3737E+03  0.4817E+03 -0.1055E-02  0.1257E-02
 -0.3062E+03  0.5258E+03 -0.8217E-03  0.1423E-02
 -0.2481E+03  0.5560E+03 -0.5632E-03  0.1547E-02
 -0.2333E+03  0.5600E+03 -0.2933E-03  0.1663E-02
 -0.2201E+03  0.5612E+03 -0.1943E-07  0.1782E-02
 -0.2069E+03  0.5600E+03  0.3368E-03  0.1910E-02
 -0.1914E+03  0.5558E+03  0.7487E-03  0.2057E-02
 -0.1661E+03  0.5436E+03  0.1289E-02  0.2233E-02
 -0.5193E+02  0.4581E+03  0.2024E-02  0.2412E-02
  0.6630E+02  0.3439E+03  0.2818E-02  0.2365E-02
  0.2011E+03  0.1565E+03  0.3431E-02  0.1981E-02
  0.2947E+03 -0.4914E+02  0.3612E-02  0.1315E-02
  0.3979E+03 -0.3795E+03  0.3022E-02  0.5328E-03
  0.4014E+03 -0.4156E+03  0.2491E-02  0.2349E-07
  0.3998E+03 -0.4363E+03  0.2098E-02 -0.3699E-03
  0.3959E+03 -0.4510E+03  0.1786E-02 -0.6499E-03
  0.3907E+03 -0.4622E+03  0.1521E-02 -0.8780E-03
  0.3843E+03 -0.4714E+03  0.1282E-02 -0.1076E-02
  0.3736E+03 -0.4818E+03  0.1055E-02 -0.1257E-02
  0.3057E+03 -0.5262E+03  0.8216E-03 -0.1423E-02
  0.2479E+03 -0.5562E+03  0.5631E-03 -0.1547E-02
  0.2332E+03 -0.5602E+03  0.2933E-03 -0.1663E-02
  0.2200E+03 -0.5613E+03  0.1246E-09 -0.1781E-02
          S1          S2          D1          D2
  0.2215E+03 -0.5823E+03  0.3170E-08 -0.1717E-02
  0.2082E+03 -0.5811E+03 -0.3239E-03 -0.1837E-02
  0.1924E+03 -0.5768E+03 -0.7182E-03 -0.1973E-02
  0.1669E+03 -0.5646E+03 -0.1233E-02 -0.2136E-02
  0.4846E+02 -0.4755E+03 -0.1930E-02 -0.2300E-02
 -0.7839E+02 -0.3521E+03 -0.2675E-02 -0.2244E-02
 -0.2178E+03 -0.1589E+03 -0.3230E-02 -0.1865E-02
 -0.3045E+03  0.3851E+02 -0.3442E-02 -0.1253E-02
 -0.4137E+03  0.3941E+03 -0.2905E-02 -0.5123E-03
 -0.4174E+03  0.4307E+03 -0.2396E-02 -0.2868E-07
 -0.4158E+03  0.4507E+03 -0.2019E-02  0.3560E-03
 -0.4121E+03  0.4646E+03 -0.1721E-02  0.6262E-03
 -0.4071E+03  0.4753E+03 -0.1467E-02  0.8471E-03
 -0.4007E+03  0.4844E+03 -0.1239E-02  0.1039E-02
 -0.3902E+03  0.4947E+03 -0.1021E-02  0.1216E-02
 -0.3200E+03  0.5401E+03 -0.7965E-03  0.1380E-02
 -0.2499E+03  0.5769E+03 -0.5450E-03  0.1497E-02
 -0.2349E+03  0.5810E+03 -0.2833E-03  0.1607E-02
 -0.2216E+03  0.5822E+03 -0.1246E-07  0.1718E-02
 -0.2082E+03  0.5810E+03  0.3239E-03  0.1837E-02
 -0.1923E+03  0.5767E+03  0.7183E-03  0.1974E-02
 -0.1666E+03  0.5644E+03  0.1233E-02  0.2136E-02
 -0.4828E+02  0.4754E+03  0.1930E-02  0.2300E-02
  0.8213E+02  0.3477E+03  0.2674E-02  0.2244E-02
  0.2100E+03  0.1706E+03  0.3242E-02  0.1872E-02
  0.3044E+03 -0.3802E+02  0.3442E-02  0.1253E-02
  0.4137E+03 -0.3942E+03  0.2905E-02  0.5123E-03
  0.4174E+03 -0.4308E+03  0.2396E-02  0.2942E-07
  0.4158E+03 -0.4507E+03  0.2019E-02 -0.3560E-03
  0.4121E+03 -0.4646E+03  0.1721E-02 -0.6262E-03
  0.4071E+03 -0.4753E+03  0.1467E-02 -0.8471E-03
  0.4007E+03 -0.4844E+03  0.1239E-02 -0.1039E-02
  0.3902E+03 -0.4947E+03  0.1021E-02 -0.1216E-02
  0.3190E+03 -0.5407E+03  0.7964E-03 -0.1379E-02
  0.2498E+03 -0.5771E+03  0.5449E-03 -0.1497E-02
  0.2348E+03 -0.5811E+03  0.2832E-03 -0.1606E-02
  0.2215E+03 -0.5823E+03  0.3170E-08 -0.1717E-02
          S1          S2          D1          D2
  0.2181E+03 -0.5930E+03  0.2704E-08 -0.1686E-02
  0.2048E+03 -0.5918E+03 -0.3173E-03 -0.1800E-02
  0.1890E+03 -0.5875E+03 -0.7017E-03 -0.1928E-02
  0.1635E+03 -0.5753E+03 -0.1201E-02 -0.2080E-02
  0.4182E+02 -0.4834E+03 -0.1872E-02 -0.2230E-02
 -0.1014E+03 -0.3414E+03 -0.2578E-02 -0.2163E-02
 -0.2208E+03 -0.1758E+03 -0.3103E-02 -0.1792E-02
 -0.3083E+03  0.2183E+02 -0.3329E-02 -0.1212E-02
 -0.4229E+03  0.4014E+03 -0.2840E-02 -0.5008E-03
 -0.4265E+03  0.4377E+03 -0.2345E-02 -0.3107E-07
 -0.4250E+03  0.4564E+03 -0.1978E-02  0.3488E-03
 -0.4216E+03  0.4693E+03 -0.1688E-02  0.6144E-03
 -0.4170E+03  0.4793E+03 -0.1442E-02  0.8323E-03
 -0.4109E+03  0.4880E+03 -0.1219E-02  0.1023E-02
 -0.4004E+03  0.4982E+03 -0.1006E-02  0.1199E-02
 -0.3334E+03  0.5416E+03 -0.7864E-03  0.1362E-02
 -0.2463E+03  0.5877E+03 -0.5374E-03  0.1476E-02
 -0.2314E+03  0.5917E+03 -0.2788E-03  0.1581E-02
 -0.2182E+03  0.5929E+03 -0.1423E-07  0.1687E-02
 -0.2048E+03  0.5917E+03  0.3173E-03  0.1800E-02
 -0.1889E+03  0.5874E+03  0.7018E-03  0.1928E-02
 -0.1634E+03  0.5751E+03  0.1201E-02  0.2080E-02
 -0.4175E+02  0.4834E+03  0.1872E-02  0.2230E-02
  0.1036E+03  0.3388E+03  0.2578E-02  0.2163E-02
  0.2165E+03  0.1818E+03  0.3111E-02  0.1796E-02
  0.3082E+03 -0.2142E+02  0.3329E-02  0.1212E-02
  0.4228E+03 -0.4014E+03  0.2840E-02  0.5008E-03
  0.4265E+03 -0.4377E+03  0.2345E-02  0.3227E-07
  0.4250E+03 -0.4565E+03  0.1978E-02 -0.3488E-03
  0.4216E+03 -0.4693E+03  0.1688E-02 -0.6144E-03
  0.4170E+03 -0.4793E+03  0.1442E-02 -0.8323E-03
  0.4109E+03 -0.4880E+03  0.1219E-02 -0.1023E-02
  0.4004E+03 -0.4982E+03  0.1006E-02 -0.1199E-02
  0.3331E+03 -0.5418E+03  0.7864E-03 -0.1362E-02
  0.2462E+03 -0.5878E+03  0.5373E-03 -0.1476E-02
  0.2313E+03 -0.5918E+03  0.2787E-03 -0.1581E-02
  0.2181E+03 -0.5930E+03  0.2704E-08 -0.1686E-02
