          S1          S2          D1          D2
  0.1015E+03 -0.2489E+03 -0.5618E-13 -0.4017E-02
  0.9206E+02 -0.2481E+03 -0.7605E-03 -0.4313E-02
  0.8022E+02 -0.2449E+03 -0.1688E-02 -0.4637E-02
  0.6555E+02 -0.2379E+03 -0.2886E-02 -0.4998E-02
  0.2979E+02 -0.2116E+03 -0.4497E-02 -0.5360E-02
 -0.5940E+02 -0.1220E+03 -0.6183E-02 -0.5188E-02
 -0.1161E+03 -0.4217E+02 -0.7118E-02 -0.4110E-02
 -0.1481E+03  0.2694E+02 -0.7231E-02 -0.2632E-02
 -0.1711E+03  0.1145E+03 -0.6626E-02 -0.1168E-02
 -0.1785E+03  0.1771E+03 -0.5603E-02 -0.5608E-07
 -0.1774E+03  0.1909E+03 -0.4738E-02  0.8354E-03
 -0.1750E+03  0.1999E+03 -0.4036E-02  0.1469E-02
 -0.1713E+03  0.2079E+03 -0.3432E-02  0.1982E-02
 -0.1672E+03  0.2137E+03 -0.2885E-02  0.2421E-02
 -0.1609E+03  0.2200E+03 -0.2364E-02  0.2817E-02
 -0.1298E+03  0.2398E+03 -0.1834E-02  0.3177E-02
 -0.1163E+03  0.2463E+03 -0.1261E-02  0.3465E-02
 -0.1090E+03  0.2483E+03 -0.6592E-03  0.3738E-02
 -0.1016E+03  0.2489E+03 -0.5077E-07  0.4017E-02
 -0.9206E+02  0.2481E+03  0.7605E-03  0.4313E-02
 -0.8022E+02  0.2449E+03  0.1688E-02  0.4637E-02
 -0.6555E+02  0.2379E+03  0.2886E-02  0.4998E-02
 -0.2979E+02  0.2116E+03  0.4497E-02  0.5360E-02
  0.5940E+02  0.1220E+03  0.6183E-02  0.5188E-02
  0.1161E+03  0.4217E+02  0.7118E-02  0.4110E-02
  0.1481E+03 -0.2694E+02  0.7231E-02  0.2632E-02
  0.1711E+03 -0.1145E+03  0.6626E-02  0.1168E-02
  0.1785E+03 -0.1771E+03  0.5603E-02  0.5608E-07
  0.1774E+03 -0.1909E+03  0.4738E-02 -0.8354E-03
  0.1750E+03 -0.1999E+03  0.4036E-02 -0.1469E-02
  0.1713E+03 -0.2079E+03  0.3432E-02 -0.1982E-02
  0.1672E+03 -0.2137E+03  0.2885E-02 -0.2421E-02
  0.1609E+03 -0.2200E+03  0.2364E-02 -0.2817E-02
  0.1298E+03 -0.2398E+03  0.1834E-02 -0.3177E-02
  0.1163E+03 -0.2463E+03  0.1261E-02 -0.3465E-02
  0.1090E+03 -0.2483E+03  0.6592E-03 -0.3738E-02
  0.1015E+03 -0.2489E+03 -0.5618E-13 -0.4017E-02
          S1          S2          D1          D2
  0.1671E+03 -0.4367E+03 -0.9243E-12 -0.2290E-02
  0.1545E+03 -0.4356E+03 -0.4318E-03 -0.2449E-02
  0.1390E+03 -0.4314E+03 -0.9558E-03 -0.2626E-02
  0.1181E+03 -0.4214E+03 -0.1634E-02 -0.2831E-02
  0.5618E+02 -0.3752E+03 -0.2558E-02 -0.3049E-02
 -0.1113E+03 -0.2072E+03 -0.3506E-02 -0.2942E-02
 -0.2023E+03 -0.7930E+02 -0.4032E-02 -0.2328E-02
 -0.2539E+03  0.3192E+02 -0.4128E-02 -0.1502E-02
 -0.2975E+03  0.2010E+03 -0.3815E-02 -0.6728E-03
 -0.3104E+03  0.3075E+03 -0.3221E-02 -0.2984E-08
 -0.3086E+03  0.3304E+03 -0.2726E-02  0.4806E-03
 -0.3047E+03  0.3452E+03 -0.2324E-02  0.8458E-03
 -0.2982E+03  0.3591E+03 -0.1978E-02  0.1142E-02
 -0.2912E+03  0.3691E+03 -0.1664E-02  0.1396E-02
 -0.2819E+03  0.3784E+03 -0.1365E-02  0.1626E-02
 -0.2158E+03  0.4200E+03 -0.1060E-02  0.1836E-02
 -0.1901E+03  0.4325E+03 -0.7255E-03  0.1993E-02
 -0.1782E+03  0.4358E+03 -0.3774E-03  0.2140E-02
 -0.1671E+03  0.4367E+03 -0.3435E-07  0.2290E-02
 -0.1545E+03  0.4356E+03  0.4318E-03  0.2449E-02
 -0.1390E+03  0.4314E+03  0.9558E-03  0.2626E-02
 -0.1181E+03  0.4214E+03  0.1634E-02  0.2831E-02
 -0.5620E+02  0.3752E+03  0.2558E-02  0.3049E-02
  0.1114E+03  0.2072E+03  0.3506E-02  0.2942E-02
  0.2023E+03  0.7928E+02  0.4031E-02  0.2328E-02
  0.2538E+03 -0.3183E+02  0.4128E-02  0.1502E-02
  0.2975E+03 -0.2010E+03  0.3815E-02  0.6728E-03
  0.3104E+03 -0.3075E+03  0.3222E-02  0.3022E-08
  0.3086E+03 -0.3304E+03  0.2726E-02 -0.4806E-03
  0.3047E+03 -0.3452E+03  0.2324E-02 -0.8458E-03
  0.2982E+03 -0.3591E+03  0.1978E-02 -0.1142E-02
  0.2912E+03 -0.3691E+03  0.1664E-02 -0.1396E-02
  0.2819E+03 -0.3784E+03  0.1365E-02 -0.1626E-02
  0.2158E+03 -0.4200E+03  0.1060E-02 -0.1836E-02
  0.1901E+03 -0.4325E+03  0.7255E-03 -0.1993E-02
  0.1782E+03 -0.4358E+03  0.3774E-03 -0.2140E-02
  0.1671E+03 -0.4367E+03 -0.9243E-12 -0.2290E-02
          S1          S2          D1          D2
  0.1997E+03 -0.5229E+03  0.1490E-12 -0.1912E-02
  0.1852E+03 -0.5216E+03 -0.3606E-03 -0.2045E-02
  0.1677E+03 -0.5168E+03 -0.7985E-03 -0.2194E-02
  0.1442E+03 -0.5057E+03 -0.1367E-02 -0.2367E-02
  0.8716E+02 -0.4636E+03 -0.2149E-02 -0.2561E-02
 -0.1243E+03 -0.2521E+03 -0.2978E-02 -0.2499E-02
 -0.2349E+03 -0.9626E+02 -0.3443E-02 -0.1988E-02
 -0.2990E+03  0.4190E+02 -0.3524E-02 -0.1283E-02
 -0.3533E+03  0.2520E+03 -0.3238E-02 -0.5709E-03
 -0.3677E+03  0.3712E+03 -0.2719E-02 -0.9974E-08
 -0.3657E+03  0.3978E+03 -0.2295E-02  0.4046E-03
 -0.3611E+03  0.4151E+03 -0.1953E-02  0.7107E-03
 -0.3536E+03  0.4310E+03 -0.1660E-02  0.9583E-03
 -0.3448E+03  0.4437E+03 -0.1394E-02  0.1170E-02
 -0.3336E+03  0.4548E+03 -0.1142E-02  0.1361E-02
 -0.2576E+03  0.5027E+03 -0.8863E-03  0.1535E-02
 -0.2263E+03  0.5180E+03 -0.6063E-03  0.1666E-02
 -0.2123E+03  0.5218E+03 -0.3153E-03  0.1788E-02
 -0.1997E+03  0.5229E+03 -0.2336E-07  0.1912E-02
 -0.1852E+03  0.5216E+03  0.3606E-03  0.2045E-02
 -0.1677E+03  0.5169E+03  0.7985E-03  0.2194E-02
 -0.1442E+03  0.5057E+03  0.1367E-02  0.2367E-02
 -0.8728E+02  0.4637E+03  0.2149E-02  0.2561E-02
  0.1247E+03  0.2516E+03  0.2977E-02  0.2498E-02
  0.2353E+03  0.9600E+02  0.3440E-02  0.1986E-02
  0.2987E+03 -0.4085E+02  0.3523E-02  0.1282E-02
  0.3533E+03 -0.2519E+03  0.3238E-02  0.5709E-03
  0.3677E+03 -0.3711E+03  0.2720E-02  0.1052E-07
  0.3656E+03 -0.3978E+03  0.2295E-02 -0.4046E-03
  0.3610E+03 -0.4151E+03  0.1953E-02 -0.7107E-03
  0.3536E+03 -0.4311E+03  0.1660E-02 -0.9583E-03
  0.3448E+03 -0.4437E+03  0.1394E-02 -0.1170E-02
  0.3336E+03 -0.4548E+03  0.1142E-02 -0.1361E-02
  0.2575E+03 -0.5028E+03  0.8863E-03 -0.1535E-02
  0.2263E+03 -0.5180E+03  0.6063E-03 -0.1666E-02
  0.2123E+03 -0.5218E+03  0.3153E-03 -0.1788E-02
  0.1997E+03 -0.5229E+03  0.1490E-12 -0.1912E-02
          S1          S2          D1          D2
  0.2106E+03 -0.5661E+03 -0.7065E-09 -0.1767E-02
  0.1969E+03 -0.5649E+03 -0.3326E-03 -0.1886E-02
  0.1804E+03 -0.5604E+03 -0.7357E-03 -0.2021E-02
  0.1579E+03 -0.5497E+03 -0.1259E-02 -0.2181E-02
  0.1080E+03 -0.5131E+03 -0.1986E-02 -0.2367E-02
 -0.1337E+03 -0.2711E+03 -0.2769E-02 -0.2323E-02
 -0.2499E+03 -0.1073E+03 -0.3207E-02 -0.1851E-02
 -0.3186E+03  0.4066E+02 -0.3291E-02 -0.1198E-02
 -0.3807E+03  0.2824E+03 -0.3022E-02 -0.5329E-03
 -0.3951E+03  0.4019E+03 -0.2531E-02 -0.1296E-07
 -0.3930E+03  0.4298E+03 -0.2133E-02  0.3762E-03
 -0.3882E+03  0.4478E+03 -0.1814E-02  0.6604E-03
 -0.3806E+03  0.4640E+03 -0.1542E-02  0.8903E-03
 -0.3708E+03  0.4781E+03 -0.1295E-02  0.1087E-02
 -0.3593E+03  0.4896E+03 -0.1061E-02  0.1264E-02
 -0.2741E+03  0.5431E+03 -0.8232E-03  0.1426E-02
 -0.2378E+03  0.5609E+03 -0.5621E-03  0.1544E-02
 -0.2230E+03  0.5650E+03 -0.2918E-03  0.1655E-02
 -0.2106E+03  0.5661E+03 -0.2235E-07  0.1766E-02
 -0.1969E+03  0.5649E+03  0.3326E-03  0.1886E-02
 -0.1804E+03  0.5604E+03  0.7357E-03  0.2021E-02
 -0.1579E+03  0.5497E+03  0.1259E-02  0.2181E-02
 -0.1081E+03  0.5132E+03  0.1986E-02  0.2367E-02
  0.1344E+03  0.2703E+03  0.2768E-02  0.2323E-02
  0.2506E+03  0.1069E+03  0.3203E-02  0.1849E-02
  0.3181E+03 -0.3883E+02  0.3290E-02  0.1197E-02
  0.3806E+03 -0.2820E+03  0.3022E-02  0.5329E-03
  0.3951E+03 -0.4017E+03  0.2531E-02  0.6983E-08
  0.3929E+03 -0.4298E+03  0.2134E-02 -0.3762E-03
  0.3881E+03 -0.4479E+03  0.1815E-02 -0.6604E-03
  0.3805E+03 -0.4642E+03  0.1542E-02 -0.8903E-03
  0.3708E+03 -0.4781E+03  0.1295E-02 -0.1087E-02
  0.3593E+03 -0.4896E+03  0.1061E-02 -0.1264E-02
  0.2740E+03 -0.5432E+03  0.8232E-03 -0.1426E-02
  0.2378E+03 -0.5609E+03  0.5621E-03 -0.1544E-02
  0.2230E+03 -0.5650E+03  0.2918E-03 -0.1655E-02
  0.2106E+03 -0.5661E+03 -0.7065E-09 -0.1767E-02
          S1          S2          D1          D2
  0.2116E+03 -0.5886E+03 -0.9680E-08 -0.1699E-02
  0.1994E+03 -0.5875E+03 -0.3192E-03 -0.1810E-02
  0.1848E+03 -0.5836E+03 -0.7049E-03 -0.1937E-02
  0.1647E+03 -0.5740E+03 -0.1206E-02 -0.2088E-02
  0.1220E+03 -0.5429E+03 -0.1905E-02 -0.2270E-02
 -0.1426E+03 -0.2765E+03 -0.2670E-02 -0.2240E-02
 -0.2575E+03 -0.1147E+03 -0.3090E-02 -0.1784E-02
 -0.3264E+03  0.3380E+02 -0.3183E-02 -0.1159E-02
 -0.3952E+03  0.3038E+03 -0.2927E-02 -0.5161E-03
 -0.4088E+03  0.4169E+03 -0.2446E-02 -0.1077E-07
 -0.4066E+03  0.4448E+03 -0.2062E-02  0.3635E-03
 -0.4019E+03  0.4629E+03 -0.1753E-02  0.6382E-03
 -0.3946E+03  0.4785E+03 -0.1491E-02  0.8606E-03
 -0.3846E+03  0.4928E+03 -0.1253E-02  0.1051E-02
 -0.3731E+03  0.5043E+03 -0.1027E-02  0.1223E-02
 -0.2805E+03  0.5624E+03 -0.7971E-03  0.1381E-02
 -0.2380E+03  0.5835E+03 -0.5431E-03  0.1492E-02
 -0.2231E+03  0.5876E+03 -0.2812E-03  0.1595E-02
 -0.2116E+03  0.5886E+03 -0.1757E-07  0.1699E-02
 -0.1994E+03  0.5875E+03  0.3192E-03  0.1810E-02
 -0.1848E+03  0.5836E+03  0.7049E-03  0.1937E-02
 -0.1647E+03  0.5740E+03  0.1205E-02  0.2088E-02
 -0.1220E+03  0.5429E+03  0.1905E-02  0.2270E-02
  0.1432E+03  0.2758E+03  0.2670E-02  0.2240E-02
  0.2581E+03  0.1142E+03  0.3086E-02  0.1782E-02
  0.3260E+03 -0.3223E+02  0.3182E-02  0.1158E-02
  0.3951E+03 -0.3034E+03  0.2927E-02  0.5161E-03
  0.4088E+03 -0.4168E+03  0.2446E-02  0.1506E-07
  0.4066E+03 -0.4448E+03  0.2062E-02 -0.3635E-03
  0.4018E+03 -0.4630E+03  0.1754E-02 -0.6382E-03
  0.3944E+03 -0.4787E+03  0.1491E-02 -0.8607E-03
  0.3846E+03 -0.4928E+03  0.1253E-02 -0.1051E-02
  0.3731E+03 -0.5043E+03  0.1027E-02 -0.1223E-02
  0.2805E+03 -0.5624E+03  0.7971E-03 -0.1381E-02
  0.2380E+03 -0.5835E+03  0.5431E-03 -0.1492E-02
  0.2231E+03 -0.5876E+03  0.2812E-03 -0.1595E-02
  0.2116E+03 -0.5886E+03 -0.9680E-08 -0.1699E-02
          S1          S2          D1          D2
  0.2076E+03 -0.6005E+03 -0.1737E-11 -0.1665E-02
  0.1970E+03 -0.5996E+03 -0.3121E-03 -0.1770E-02
  0.1845E+03 -0.5962E+03 -0.6880E-03 -0.1890E-02
  0.1670E+03 -0.5879E+03 -0.1175E-02 -0.2035E-02
  0.1310E+03 -0.5617E+03 -0.1857E-02 -0.2214E-02
 -0.1516E+03 -0.2743E+03 -0.2620E-02 -0.2198E-02
 -0.2613E+03 -0.1204E+03 -0.3023E-02 -0.1745E-02
 -0.3289E+03  0.2516E+02 -0.3128E-02 -0.1138E-02
 -0.4037E+03  0.3205E+03 -0.2880E-02 -0.5079E-03
 -0.4160E+03  0.4240E+03 -0.2404E-02 -0.1627E-07
 -0.4138E+03  0.4513E+03 -0.2027E-02  0.3573E-03
 -0.4092E+03  0.4690E+03 -0.1725E-02  0.6277E-03
 -0.4023E+03  0.4837E+03 -0.1467E-02  0.8471E-03
 -0.3928E+03  0.4972E+03 -0.1234E-02  0.1036E-02
 -0.3814E+03  0.5087E+03 -0.1013E-02  0.1207E-02
