          S1          S2          D1          D2
 -0.4828E+02 -0.1462E+03  0.3881E-09 -0.6838E-02
 -0.7593E+02 -0.1437E+03 -0.1122E-02 -0.6364E-02
 -0.1177E+03 -0.1317E+03 -0.2086E-02 -0.5731E-02
 -0.1372E+03 -0.1227E+03 -0.2859E-02 -0.4952E-02
 -0.1624E+03 -0.1046E+03 -0.3483E-02 -0.4151E-02
 -0.1771E+03 -0.9049E+02 -0.3952E-02 -0.3316E-02
 -0.1833E+03 -0.8171E+02 -0.4339E-02 -0.2505E-02
 -0.1868E+03 -0.7434E+02 -0.4677E-02 -0.1702E-02
 -0.1892E+03 -0.6522E+02 -0.4984E-02 -0.8788E-03
 -0.1914E+03 -0.3711E+02 -0.5225E-02  0.3298E-08
 -0.1889E+03 -0.1778E+01 -0.5302E-02  0.9348E-03
 -0.1845E+03  0.1490E+02 -0.5265E-02  0.1916E-02
 -0.1768E+03  0.3128E+02 -0.5132E-02  0.2963E-02
 -0.1608E+03  0.5392E+02 -0.4854E-02  0.4073E-02
 -0.1359E+03  0.7860E+02 -0.4356E-02  0.5191E-02
 -0.1064E+03  0.9937E+02 -0.3591E-02  0.6220E-02
 -0.4879E+02  0.1254E+03 -0.2543E-02  0.6987E-02
  0.1593E+02  0.1431E+03 -0.1257E-02  0.7127E-02
  0.4827E+02  0.1462E+03 -0.1147E-06  0.6838E-02
  0.7593E+02  0.1437E+03  0.1122E-02  0.6364E-02
  0.1177E+03  0.1317E+03  0.2086E-02  0.5731E-02
  0.1372E+03  0.1227E+03  0.2859E-02  0.4952E-02
  0.1624E+03  0.1046E+03  0.3483E-02  0.4151E-02
  0.1771E+03  0.9049E+02  0.3952E-02  0.3316E-02
  0.1833E+03  0.8171E+02  0.4339E-02  0.2505E-02
  0.1868E+03  0.7434E+02  0.4677E-02  0.1702E-02
  0.1892E+03  0.6522E+02  0.4984E-02  0.8788E-03
  0.1914E+03  0.3711E+02  0.5225E-02 -0.3298E-08
  0.1889E+03  0.1778E+01  0.5302E-02 -0.9348E-03
  0.1845E+03 -0.1490E+02  0.5265E-02 -0.1916E-02
  0.1768E+03 -0.3128E+02  0.5132E-02 -0.2963E-02
  0.1608E+03 -0.5392E+02  0.4854E-02 -0.4073E-02
  0.1359E+03 -0.7860E+02  0.4356E-02 -0.5191E-02
  0.1064E+03 -0.9937E+02  0.3591E-02 -0.6220E-02
  0.4879E+02 -0.1254E+03  0.2543E-02 -0.6987E-02
 -0.1593E+02 -0.1431E+03  0.1257E-02 -0.7127E-02
 -0.4828E+02 -0.1462E+03  0.3881E-09 -0.6838E-02
          S1          S2          D1          D2
 -0.7598E+02 -0.2544E+03 -0.2342E-10 -0.3931E-02
 -0.1150E+03 -0.2509E+03 -0.6502E-03 -0.3688E-02
 -0.1685E+03 -0.2356E+03 -0.1226E-02 -0.3368E-02
 -0.2184E+03 -0.2141E+03 -0.1697E-02 -0.2940E-02
 -0.2605E+03 -0.1835E+03 -0.2087E-02 -0.2487E-02
 -0.2848E+03 -0.1602E+03 -0.2385E-02 -0.2002E-02
 -0.2948E+03 -0.1458E+03 -0.2638E-02 -0.1523E-02
 -0.3018E+03 -0.1312E+03 -0.2861E-02 -0.1041E-02
 -0.3058E+03 -0.1157E+03 -0.3065E-02 -0.5405E-03
 -0.3096E+03 -0.6441E+02 -0.3230E-02  0.1311E-07
 -0.3048E+03  0.6917E+01 -0.3268E-02  0.5762E-03
 -0.2974E+03  0.3495E+02 -0.3225E-02  0.1174E-02
 -0.2848E+03  0.6163E+02 -0.3121E-02  0.1802E-02
 -0.2603E+03  0.9613E+02 -0.2933E-02  0.2461E-02
 -0.2080E+03  0.1476E+03 -0.2605E-02  0.3104E-02
 -0.1625E+03  0.1801E+03 -0.2108E-02  0.3651E-02
 -0.6519E+02  0.2233E+03 -0.1474E-02  0.4049E-02
  0.3033E+02  0.2500E+03 -0.7207E-03  0.4087E-02
  0.7597E+02  0.2544E+03 -0.6636E-07  0.3931E-02
  0.1150E+03  0.2509E+03  0.6502E-03  0.3688E-02
  0.1685E+03  0.2356E+03  0.1226E-02  0.3368E-02
  0.2184E+03  0.2141E+03  0.1697E-02  0.2940E-02
  0.2605E+03  0.1835E+03  0.2087E-02  0.2487E-02
  0.2848E+03  0.1602E+03  0.2385E-02  0.2002E-02
  0.2948E+03  0.1458E+03  0.2638E-02  0.1523E-02
  0.3018E+03  0.1312E+03  0.2861E-02  0.1041E-02
  0.3058E+03  0.1157E+03  0.3065E-02  0.5405E-03
  0.3096E+03  0.6439E+02  0.3230E-02 -0.1306E-07
  0.3048E+03 -0.6917E+01  0.3268E-02 -0.5762E-03
  0.2974E+03 -0.3495E+02  0.3225E-02 -0.1174E-02
  0.2848E+03 -0.6163E+02  0.3121E-02 -0.1802E-02
  0.2603E+03 -0.9613E+02  0.2933E-02 -0.2461E-02
  0.2080E+03 -0.1476E+03  0.2605E-02 -0.3104E-02
  0.1625E+03 -0.1801E+03  0.2108E-02 -0.3651E-02
  0.6518E+02 -0.2233E+03  0.1474E-02 -0.4049E-02
 -0.3035E+02 -0.2500E+03  0.7206E-03 -0.4087E-02
 -0.7598E+02 -0.2544E+03 -0.2342E-10 -0.3931E-02
          S1          S2          D1          D2
 -0.9623E+02 -0.3137E+03 -0.5847E-11 -0.3188E-02
 -0.1410E+03 -0.3097E+03 -0.5270E-03 -0.2989E-02
 -0.2019E+03 -0.2924E+03 -0.9948E-03 -0.2733E-02
 -0.2624E+03 -0.2665E+03 -0.1381E-02 -0.2393E-02
 -0.3100E+03 -0.2317E+03 -0.1706E-02 -0.2033E-02
 -0.3418E+03 -0.2013E+03 -0.1958E-02 -0.1643E-02
 -0.3525E+03 -0.1861E+03 -0.2174E-02 -0.1255E-02
 -0.3616E+03 -0.1664E+03 -0.2369E-02 -0.8622E-03
 -0.3670E+03 -0.1462E+03 -0.2546E-02 -0.4490E-03
 -0.3708E+03 -0.8657E+02 -0.2697E-02  0.2350E-07
 -0.3647E+03  0.3984E+00 -0.2742E-02  0.4834E-03
 -0.3548E+03  0.3765E+02 -0.2714E-02  0.9876E-03
 -0.3380E+03  0.7339E+02 -0.2629E-02  0.1518E-02
 -0.2999E+03  0.1264E+03 -0.2463E-02  0.2067E-02
 -0.2378E+03  0.1870E+03 -0.2171E-02  0.2587E-02
 -0.1848E+03  0.2245E+03 -0.1743E-02  0.3020E-02
 -0.6503E+02  0.2782E+03 -0.1206E-02  0.3313E-02
  0.4396E+02  0.3087E+03 -0.5860E-03  0.3323E-02
  0.9615E+02  0.3136E+03 -0.5971E-07  0.3189E-02
  0.1412E+03  0.3096E+03  0.5271E-03  0.2990E-02
  0.2021E+03  0.2923E+03  0.9950E-03  0.2734E-02
  0.2624E+03  0.2664E+03  0.1382E-02  0.2393E-02
  0.3100E+03  0.2317E+03  0.1706E-02  0.2033E-02
  0.3418E+03  0.2013E+03  0.1958E-02  0.1643E-02
  0.3525E+03  0.1861E+03  0.2174E-02  0.1255E-02
  0.3616E+03  0.1664E+03  0.2369E-02  0.8622E-03
  0.3670E+03  0.1462E+03  0.2546E-02  0.4490E-03
  0.3708E+03  0.8628E+02  0.2697E-02 -0.1827E-07
  0.3647E+03 -0.4048E+00  0.2742E-02 -0.4834E-03
  0.3548E+03 -0.3765E+02  0.2714E-02 -0.9876E-03
  0.3380E+03 -0.7339E+02  0.2629E-02 -0.1518E-02
  0.3001E+03 -0.1262E+03  0.2463E-02 -0.2067E-02
  0.2378E+03 -0.1870E+03  0.2171E-02 -0.2587E-02
  0.1847E+03 -0.2245E+03  0.1744E-02 -0.3020E-02
  0.6490E+02 -0.2782E+03  0.1206E-02 -0.3313E-02
 -0.4429E+02 -0.3088E+03  0.5859E-03 -0.3322E-02
 -0.9623E+02 -0.3137E+03 -0.5847E-11 -0.3188E-02
          S1          S2          D1          D2
 -0.1080E+03 -0.3551E+03  0.9217E-11 -0.2816E-02
 -0.1534E+03 -0.3510E+03 -0.4663E-03 -0.2645E-02
 -0.2111E+03 -0.3349E+03 -0.8841E-03 -0.2429E-02
 -0.2855E+03 -0.3030E+03 -0.1234E-02 -0.2137E-02
 -0.3358E+03 -0.2661E+03 -0.1532E-02 -0.1825E-02
 -0.3722E+03 -0.2314E+03 -0.1766E-02 -0.1481E-02
 -0.3836E+03 -0.2153E+03 -0.1969E-02 -0.1137E-02
 -0.3918E+03 -0.1975E+03 -0.2157E-02 -0.7849E-03
 -0.3993E+03 -0.1699E+03 -0.2330E-02 -0.4108E-03
 -0.4031E+03 -0.1044E+03 -0.2481E-02 -0.1915E-07
 -0.3956E+03 -0.2064E+01 -0.2530E-02  0.4461E-03
 -0.3841E+03  0.4170E+02 -0.2505E-02  0.9116E-03
 -0.3643E+03  0.8363E+02 -0.2424E-02  0.1399E-02
 -0.3173E+03  0.1495E+03 -0.2258E-02  0.1895E-02
 -0.2454E+03  0.2193E+03 -0.1974E-02  0.2352E-02
 -0.1900E+03  0.2582E+03 -0.1569E-02  0.2718E-02
 -0.5513E+02  0.3189E+03 -0.1074E-02  0.2950E-02
  0.5480E+02  0.3498E+03 -0.5184E-03  0.2940E-02
  0.1078E+03  0.3548E+03 -0.4996E-07  0.2818E-02
  0.1539E+03  0.3507E+03  0.4666E-03  0.2647E-02
  0.2115E+03  0.3346E+03  0.8843E-03  0.2430E-02
  0.2857E+03  0.3029E+03  0.1234E-02  0.2137E-02
  0.3358E+03  0.2661E+03  0.1532E-02  0.1825E-02
  0.3722E+03  0.2314E+03  0.1766E-02  0.1482E-02
  0.3836E+03  0.2153E+03  0.1969E-02  0.1137E-02
  0.3918E+03  0.1974E+03  0.2157E-02  0.7850E-03
  0.3993E+03  0.1698E+03  0.2330E-02  0.4108E-03
  0.4030E+03  0.1043E+03  0.2481E-02  0.1526E-07
  0.3956E+03  0.2051E+01  0.2530E-02 -0.4461E-03
  0.3841E+03 -0.4169E+02  0.2505E-02 -0.9116E-03
  0.3643E+03 -0.8362E+02  0.2424E-02 -0.1399E-02
  0.3176E+03 -0.1491E+03  0.2259E-02 -0.1895E-02
  0.2454E+03 -0.2192E+03  0.1974E-02 -0.2353E-02
  0.1897E+03 -0.2584E+03  0.1570E-02 -0.2718E-02
  0.5471E+02 -0.3191E+03  0.1074E-02 -0.2950E-02
 -0.5562E+02 -0.3501E+03  0.5182E-03 -0.2938E-02
 -0.1080E+03 -0.3551E+03  0.9217E-11 -0.2816E-02
          S1          S2          D1          D2
 -0.1153E+03 -0.3869E+03  0.1410E-09 -0.2585E-02
 -0.1589E+03 -0.3830E+03 -0.4289E-03 -0.2433E-02
 -0.2114E+03 -0.3685E+03 -0.8170E-03 -0.2245E-02
 -0.2985E+03 -0.3309E+03 -0.1147E-02 -0.1987E-02
 -0.3509E+03 -0.2922E+03 -0.1430E-02 -0.1705E-02
