          S1          S2          D1          D2
  0.3939E+02 -0.2421E+03 -0.2997E-09 -0.4130E-02
 -0.1570E+02 -0.2369E+03 -0.7355E-03 -0.4172E-02
 -0.6727E+02 -0.2232E+03 -0.1469E-02 -0.4037E-02
 -0.1078E+03 -0.2045E+03 -0.2164E-02 -0.3749E-02
 -0.1578E+03 -0.1688E+03 -0.2786E-02 -0.3320E-02
 -0.1817E+03 -0.1451E+03 -0.3295E-02 -0.2765E-02
 -0.2120E+03 -0.1005E+03 -0.3703E-02 -0.2138E-02
 -0.2304E+03 -0.6159E+02 -0.3955E-02 -0.1439E-02
 -0.2422E+03 -0.1679E+02 -0.4079E-02 -0.7193E-03
 -0.2458E+03  0.2526E+02 -0.4068E-02 -0.7589E-07
 -0.2426E+03  0.7624E+02 -0.3906E-02  0.6887E-03
 -0.2365E+03  0.9882E+02 -0.3670E-02  0.1336E-02
 -0.2193E+03  0.1349E+03 -0.3366E-02  0.1943E-02
 -0.2004E+03  0.1619E+03 -0.2974E-02  0.2496E-02
 -0.1715E+03  0.1905E+03 -0.2509E-02  0.2990E-02
 -0.1452E+03  0.2090E+03 -0.1971E-02  0.3414E-02
 -0.9294E+02  0.2328E+03 -0.1365E-02  0.3750E-02
 -0.6734E+02  0.2399E+03 -0.7005E-03  0.3972E-02
 -0.3940E+02  0.2421E+03 -0.1019E-06  0.4130E-02
  0.1570E+02  0.2369E+03  0.7355E-03  0.4172E-02
  0.6727E+02  0.2232E+03  0.1469E-02  0.4037E-02
  0.1078E+03  0.2045E+03  0.2164E-02  0.3749E-02
  0.1578E+03  0.1688E+03  0.2786E-02  0.3320E-02
  0.1817E+03  0.1451E+03  0.3295E-02  0.2765E-02
  0.2120E+03  0.1005E+03  0.3703E-02  0.2138E-02
  0.2304E+03  0.6159E+02  0.3955E-02  0.1439E-02
  0.2422E+03  0.1679E+02  0.4079E-02  0.7193E-03
  0.2458E+03 -0.2526E+02  0.4068E-02  0.7589E-07
  0.2426E+03 -0.7624E+02  0.3906E-02 -0.6887E-03
  0.2365E+03 -0.9882E+02  0.3670E-02 -0.1336E-02
  0.2193E+03 -0.1349E+03  0.3366E-02 -0.1943E-02
  0.2004E+03 -0.1619E+03  0.2974E-02 -0.2496E-02
  0.1715E+03 -0.1905E+03  0.2509E-02 -0.2990E-02
  0.1452E+03 -0.2090E+03  0.1971E-02 -0.3414E-02
  0.9294E+02 -0.2328E+03  0.1365E-02 -0.3750E-02
  0.6734E+02 -0.2399E+03  0.7005E-03 -0.3972E-02
  0.3939E+02 -0.2421E+03 -0.2997E-09 -0.4130E-02
          S1          S2          D1          D2
  0.6757E+02 -0.4229E+03 -0.1370E-07 -0.2365E-02
 -0.1611E+02 -0.4148E+03 -0.4221E-03 -0.2394E-02
 -0.1071E+03 -0.3906E+03 -0.8472E-03 -0.2328E-02
 -0.1662E+03 -0.3636E+03 -0.1256E-02 -0.2176E-02
 -0.2589E+03 -0.2965E+03 -0.1633E-02 -0.1947E-02
 -0.3004E+03 -0.2554E+03 -0.1943E-02 -0.1630E-02
 -0.3481E+03 -0.1849E+03 -0.2199E-02 -0.1269E-02
 -0.3838E+03 -0.1109E+03 -0.2358E-02 -0.8581E-03
 -0.4043E+03 -0.3168E+02 -0.2439E-02 -0.4302E-03
 -0.4102E+03  0.4290E+02 -0.2438E-02 -0.2864E-07
 -0.4047E+03  0.1402E+03 -0.2329E-02  0.4105E-03
 -0.3929E+03  0.1836E+03 -0.2175E-02  0.7917E-03
 -0.3633E+03  0.2489E+03 -0.1972E-02  0.1139E-02
 -0.3384E+03  0.2845E+03 -0.1733E-02  0.1454E-02
 -0.2891E+03  0.3325E+03 -0.1459E-02  0.1739E-02
 -0.2463E+03  0.3630E+03 -0.1143E-02  0.1979E-02
 -0.1493E+03  0.4089E+03 -0.7857E-03  0.2159E-02
 -0.1111E+03  0.4193E+03 -0.4018E-03  0.2278E-02
 -0.6755E+02  0.4229E+03 -0.6039E-07  0.2365E-02
  0.1613E+02  0.4148E+03  0.4221E-03  0.2394E-02
  0.1071E+03  0.3906E+03  0.8472E-03  0.2328E-02
  0.1662E+03  0.3635E+03  0.1256E-02  0.2176E-02
  0.2589E+03  0.2965E+03  0.1633E-02  0.1947E-02
  0.3004E+03  0.2554E+03  0.1943E-02  0.1630E-02
  0.3481E+03  0.1849E+03  0.2199E-02  0.1269E-02
  0.3838E+03  0.1109E+03  0.2358E-02  0.8581E-03
  0.4043E+03  0.3170E+02  0.2439E-02  0.4302E-03
  0.4102E+03 -0.4287E+02  0.2438E-02  0.2838E-07
  0.4047E+03 -0.1402E+03  0.2329E-02 -0.4106E-03
  0.3929E+03 -0.1836E+03  0.2175E-02 -0.7917E-03
  0.3633E+03 -0.2489E+03  0.1972E-02 -0.1139E-02
  0.3384E+03 -0.2845E+03  0.1733E-02 -0.1454E-02
  0.2891E+03 -0.3325E+03  0.1459E-02 -0.1739E-02
  0.2463E+03 -0.3630E+03  0.1143E-02 -0.1979E-02
  0.1493E+03 -0.4089E+03  0.7857E-03 -0.2159E-02
  0.1111E+03 -0.4193E+03  0.4018E-03 -0.2278E-02
  0.6757E+02 -0.4229E+03 -0.1370E-07 -0.2365E-02
          S1          S2          D1          D2
  0.8314E+02 -0.5069E+03  0.2304E-09 -0.1973E-02
 -0.1236E+02 -0.4978E+03 -0.3526E-03 -0.2000E-02
 -0.1140E+03 -0.4707E+03 -0.7106E-03 -0.1952E-02
 -0.1819E+03 -0.4396E+03 -0.1060E-02 -0.1836E-02
 -0.2868E+03 -0.3626E+03 -0.1391E-02 -0.1657E-02
 -0.3394E+03 -0.3109E+03 -0.1666E-02 -0.1398E-02
 -0.3925E+03 -0.2330E+03 -0.1897E-02 -0.1095E-02
 -0.4419E+03 -0.1310E+03 -0.2042E-02 -0.7433E-03
 -0.4676E+03 -0.3278E+02 -0.2112E-02 -0.3725E-03
 -0.4748E+03  0.6050E+02 -0.2106E-02 -0.2138E-07
 -0.4683E+03  0.1733E+03 -0.2005E-02  0.3534E-03
 -0.4457E+03  0.2518E+03 -0.1861E-02  0.6773E-03
 -0.4210E+03  0.3062E+03 -0.1673E-02  0.9659E-03
 -0.3931E+03  0.3460E+03 -0.1463E-02  0.1228E-02
 -0.3381E+03  0.3994E+03 -0.1228E-02  0.1464E-02
 -0.2840E+03  0.4380E+03 -0.9591E-03  0.1661E-02
 -0.1739E+03  0.4916E+03 -0.6560E-03  0.1802E-02
 -0.1323E+03  0.5029E+03 -0.3352E-03  0.1900E-02
 -0.8278E+02  0.5069E+03 -0.4404E-07  0.1973E-02
  0.1257E+02  0.4978E+03  0.3527E-03  0.2000E-02
  0.1141E+03  0.4707E+03  0.7106E-03  0.1952E-02
  0.1822E+03  0.4395E+03  0.1060E-02  0.1836E-02
  0.2871E+03  0.3626E+03  0.1390E-02  0.1657E-02
  0.3394E+03  0.3111E+03  0.1666E-02  0.1398E-02
  0.3922E+03  0.2336E+03  0.1897E-02  0.1095E-02
  0.4419E+03  0.1310E+03  0.2043E-02  0.7434E-03
  0.4675E+03  0.3302E+02  0.2113E-02  0.3725E-03
  0.4748E+03 -0.6019E+02  0.2106E-02  0.2309E-07
  0.4682E+03 -0.1735E+03  0.2005E-02 -0.3535E-03
  0.4457E+03 -0.2520E+03  0.1861E-02 -0.6773E-03
  0.4210E+03 -0.3062E+03  0.1673E-02 -0.9659E-03
  0.3931E+03 -0.3460E+03  0.1463E-02 -0.1228E-02
  0.3379E+03 -0.3996E+03  0.1228E-02 -0.1464E-02
  0.2839E+03 -0.4382E+03  0.9590E-03 -0.1661E-02
  0.1738E+03 -0.4917E+03  0.6558E-03 -0.1802E-02
  0.1324E+03 -0.5030E+03  0.3351E-03 -0.1900E-02
  0.8314E+02 -0.5069E+03  0.2304E-09 -0.1973E-02
          S1          S2          D1          D2
  0.9122E+02 -0.5507E+03  0.4021E-09 -0.1816E-02
 -0.5803E+01 -0.5414E+03 -0.3251E-03 -0.1844E-02
 -0.1101E+03 -0.5134E+03 -0.6575E-03 -0.1807E-02
 -0.1788E+03 -0.4821E+03 -0.9864E-03 -0.1709E-02
 -0.2882E+03 -0.4009E+03 -0.1306E-02 -0.1556E-02
 -0.3487E+03 -0.3416E+03 -0.1574E-02 -0.1321E-02
 -0.4032E+03 -0.2619E+03 -0.1804E-02 -0.1041E-02
 -0.4611E+03 -0.1419E+03 -0.1950E-02 -0.7098E-03
 -0.4896E+03 -0.3338E+02 -0.2018E-02 -0.3559E-03
 -0.4975E+03  0.7587E+02 -0.2010E-02 -0.1532E-07
 -0.4902E+03  0.1979E+03 -0.1904E-02  0.3358E-03
 -0.4648E+03  0.2934E+03 -0.1749E-02  0.6367E-03
 -0.4429E+03  0.3407E+03 -0.1563E-02  0.9026E-03
