          S1          S2          D1          D2
 -0.6113E+02 -0.2530E+03 -0.4521E-09 -0.3953E-02
 -0.7901E+02 -0.2513E+03 -0.6646E-03 -0.3770E-02
 -0.1049E+03 -0.2442E+03 -0.1289E-02 -0.3541E-02
 -0.1476E+03 -0.2245E+03 -0.1864E-02 -0.3229E-02
 -0.1670E+03 -0.2108E+03 -0.2391E-02 -0.2849E-02
 -0.1867E+03 -0.1911E+03 -0.2881E-02 -0.2418E-02
 -0.2033E+03 -0.1673E+03 -0.3335E-02 -0.1926E-02
 -0.2133E+03 -0.1461E+03 -0.3752E-02 -0.1366E-02
 -0.2182E+03 -0.1278E+03 -0.4154E-02 -0.7325E-03
 -0.2209E+03 -0.8394E+02 -0.4528E-02 -0.4444E-07
 -0.2158E+03 -0.2025E+02 -0.4713E-02  0.8309E-03
 -0.1997E+03  0.3934E+02 -0.4672E-02  0.1700E-02
 -0.1729E+03  0.9779E+02 -0.4360E-02  0.2517E-02
 -0.1504E+03  0.1300E+03 -0.3853E-02  0.3233E-02
 -0.9741E+02  0.1814E+03 -0.3188E-02  0.3800E-02
 -0.5139E+02  0.2134E+03 -0.2375E-02  0.4114E-02
  0.9522E+01  0.2418E+03 -0.1527E-02  0.4195E-02
  0.4287E+02  0.2513E+03 -0.7236E-03  0.4103E-02
  0.6112E+02  0.2530E+03 -0.1135E-06  0.3953E-02
  0.7901E+02  0.2513E+03  0.6646E-03  0.3770E-02
  0.1049E+03  0.2442E+03  0.1289E-02  0.3541E-02
  0.1476E+03  0.2245E+03  0.1864E-02  0.3229E-02
  0.1670E+03  0.2108E+03  0.2391E-02  0.2849E-02
  0.1867E+03  0.1911E+03  0.2881E-02  0.2418E-02
  0.2033E+03  0.1673E+03  0.3335E-02  0.1926E-02
  0.2133E+03  0.1461E+03  0.3752E-02  0.1366E-02
  0.2182E+03  0.1278E+03  0.4154E-02  0.7325E-03
  0.2209E+03  0.8394E+02  0.4528E-02  0.4444E-07
  0.2158E+03  0.2025E+02  0.4713E-02 -0.8309E-03
  0.1997E+03 -0.3934E+02  0.4672E-02 -0.1700E-02
  0.1729E+03 -0.9779E+02  0.4360E-02 -0.2517E-02
  0.1504E+03 -0.1300E+03  0.3853E-02 -0.3233E-02
  0.9741E+02 -0.1814E+03  0.3188E-02 -0.3800E-02
  0.5139E+02 -0.2134E+03  0.2375E-02 -0.4114E-02
 -0.9522E+01 -0.2418E+03  0.1527E-02 -0.4195E-02
 -0.4287E+02 -0.2513E+03  0.7236E-03 -0.4103E-02
 -0.6113E+02 -0.2530E+03 -0.4521E-09 -0.3953E-02
          S1          S2          D1          D2
 -0.1020E+03 -0.4447E+03 -0.4608E-11 -0.2249E-02
 -0.1301E+03 -0.4421E+03 -0.3791E-03 -0.2150E-02
 -0.1685E+03 -0.4316E+03 -0.7384E-03 -0.2029E-02
 -0.2514E+03 -0.3921E+03 -0.1075E-02 -0.1861E-02
 -0.2896E+03 -0.3652E+03 -0.1380E-02 -0.1644E-02
 -0.3208E+03 -0.3343E+03 -0.1663E-02 -0.1396E-02
 -0.3451E+03 -0.2990E+03 -0.1932E-02 -0.1115E-02
 -0.3644E+03 -0.2588E+03 -0.2181E-02 -0.7937E-03
 -0.3729E+03 -0.2267E+03 -0.2422E-02 -0.4270E-03
 -0.3774E+03 -0.1552E+03 -0.2650E-02 -0.2541E-07
 -0.3686E+03 -0.3242E+02 -0.2756E-02  0.4859E-03
 -0.3371E+03  0.8540E+02 -0.2716E-02  0.9884E-03
 -0.2950E+03  0.1777E+03 -0.2515E-02  0.1452E-02
 -0.2568E+03  0.2322E+03 -0.2214E-02  0.1858E-02
 -0.1646E+03  0.3211E+03 -0.1827E-02  0.2178E-02
 -0.8240E+02  0.3779E+03 -0.1357E-02  0.2350E-02
  0.2345E+02  0.4281E+03 -0.8676E-03  0.2384E-02
  0.7287E+02  0.4420E+03 -0.4109E-03  0.2330E-02
  0.1020E+03  0.4447E+03 -0.6086E-07  0.2249E-02
  0.1301E+03  0.4421E+03  0.3791E-03  0.2150E-02
  0.1686E+03  0.4315E+03  0.7384E-03  0.2029E-02
  0.2515E+03  0.3921E+03  0.1075E-02  0.1861E-02
  0.2896E+03  0.3652E+03  0.1380E-02  0.1644E-02
  0.3208E+03  0.3343E+03  0.1663E-02  0.1396E-02
  0.3451E+03  0.2989E+03  0.1932E-02  0.1115E-02
  0.3644E+03  0.2588E+03  0.2181E-02  0.7937E-03
  0.3729E+03  0.2267E+03  0.2422E-02  0.4270E-03
  0.3774E+03  0.1553E+03  0.2650E-02  0.2529E-07
  0.3686E+03  0.3243E+02  0.2756E-02 -0.4859E-03
  0.3371E+03 -0.8535E+02  0.2716E-02 -0.9884E-03
  0.2950E+03 -0.1777E+03  0.2516E-02 -0.1452E-02
  0.2568E+03 -0.2322E+03  0.2214E-02 -0.1858E-02
  0.1645E+03 -0.3211E+03  0.1828E-02 -0.2178E-02
  0.8239E+02 -0.3779E+03  0.1357E-02 -0.2350E-02
 -0.2349E+02 -0.4281E+03  0.8676E-03 -0.2384E-02
 -0.7289E+02 -0.4420E+03  0.4109E-03 -0.2330E-02
 -0.1020E+03 -0.4447E+03 -0.4608E-11 -0.2249E-02
          S1          S2          D1          D2
 -0.1207E+03 -0.5284E+03  0.1691E-10 -0.1893E-02
 -0.1521E+03 -0.5256E+03 -0.3192E-03 -0.1810E-02
 -0.1951E+03 -0.5137E+03 -0.6224E-03 -0.1710E-02
 -0.2924E+03 -0.4671E+03 -0.9079E-03 -0.1573E-02
 -0.3371E+03 -0.4355E+03 -0.1168E-02 -0.1392E-02
 -0.3724E+03 -0.4006E+03 -0.1411E-02 -0.1184E-02
 -0.3981E+03 -0.3636E+03 -0.1645E-02 -0.9497E-03
 -0.4230E+03 -0.3114E+03 -0.1865E-02 -0.6787E-03
 -0.4334E+03 -0.2723E+03 -0.2077E-02 -0.3663E-03
 -0.4387E+03 -0.1872E+03 -0.2279E-02 -0.1914E-07
 -0.4281E+03 -0.4137E+02 -0.2376E-02  0.4190E-03
 -0.3892E+03  0.1044E+03 -0.2341E-02  0.8519E-03
 -0.3390E+03  0.2144E+03 -0.2161E-02  0.1247E-02
 -0.2932E+03  0.2799E+03 -0.1894E-02  0.1589E-02
 -0.1833E+03  0.3861E+03 -0.1554E-02  0.1852E-02
 -0.8661E+02  0.4529E+03 -0.1148E-02  0.1988E-02
  0.3349E+02  0.5099E+03 -0.7313E-03  0.2009E-02
  0.8795E+02  0.5253E+03 -0.3460E-03  0.1962E-02
  0.1206E+03  0.5282E+03 -0.5654E-07  0.1893E-02
  0.1523E+03  0.5254E+03  0.3192E-03  0.1811E-02
  0.1954E+03  0.5135E+03  0.6225E-03  0.1710E-02
  0.2925E+03  0.4670E+03  0.9079E-03  0.1573E-02
  0.3372E+03  0.4354E+03  0.1168E-02  0.1392E-02
  0.3724E+03  0.4006E+03  0.1411E-02  0.1184E-02
  0.3981E+03  0.3634E+03  0.1645E-02  0.9497E-03
  0.4231E+03  0.3112E+03  0.1864E-02  0.6786E-03
  0.4335E+03  0.2723E+03  0.2077E-02  0.3662E-03
  0.4388E+03  0.1877E+03  0.2279E-02  0.2167E-07
  0.4281E+03  0.4156E+02  0.2376E-02 -0.4190E-03
  0.3894E+03 -0.1038E+03  0.2341E-02 -0.8520E-03
  0.3391E+03 -0.2140E+03  0.2161E-02 -0.1248E-02
  0.2929E+03 -0.2800E+03  0.1894E-02 -0.1590E-02
  0.1829E+03 -0.3864E+03  0.1554E-02 -0.1852E-02
  0.8647E+02 -0.4530E+03  0.1148E-02 -0.1988E-02
 -0.3392E+02 -0.5102E+03  0.7312E-03 -0.2009E-02
 -0.8812E+02 -0.5254E+03  0.3459E-03 -0.1961E-02
 -0.1207E+03 -0.5284E+03  0.1691E-10 -0.1893E-02
          S1          S2          D1          D2
 -0.1270E+03 -0.5691E+03  0.3130E-10 -0.1757E-02
 -0.1585E+03 -0.5662E+03 -0.2967E-03 -0.1683E-02
 -0.2005E+03 -0.5547E+03 -0.5799E-03 -0.1593E-02
 -0.3081E+03 -0.5023E+03 -0.8489E-03 -0.1470E-02
 -0.3590E+03 -0.4663E+03 -0.1093E-02 -0.1303E-02
 -0.3936E+03 -0.4321E+03 -0.1322E-02 -0.1110E-02
 -0.4179E+03 -0.3972E+03 -0.1545E-02 -0.8920E-03
 -0.4455E+03 -0.3388E+03 -0.1758E-02 -0.6399E-03
 -0.4570E+03 -0.2958E+03 -0.1964E-02 -0.3463E-03
 -0.4627E+03 -0.2056E+03 -0.2161E-02 -0.2070E-07
 -0.4512E+03 -0.4484E+02 -0.2256E-02  0.3977E-03
 -0.4070E+03  0.1220E+03 -0.2215E-02  0.8062E-03
 -0.3553E+03  0.2355E+03 -0.2036E-02  0.1175E-02
 -0.3063E+03  0.3054E+03 -0.1778E-02  0.1492E-02
 -0.1899E+03  0.4177E+03 -0.1454E-02  0.1733E-02
 -0.8280E+02  0.4917E+03 -0.1070E-02  0.1853E-02
  0.4094E+02  0.5509E+03 -0.6790E-03  0.1866E-02
  0.9405E+02  0.5658E+03 -0.3211E-03  0.1821E-02
  0.1270E+03  0.5688E+03 -0.5937E-07  0.1758E-02
  0.1587E+03  0.5660E+03  0.2968E-03  0.1684E-02
  0.2009E+03  0.5544E+03  0.5800E-03  0.1594E-02
  0.3083E+03  0.5020E+03  0.8489E-03  0.1470E-02
  0.3591E+03  0.4663E+03  0.1093E-02  0.1303E-02
  0.3936E+03  0.4321E+03  0.1322E-02  0.1110E-02
  0.4180E+03  0.3971E+03  0.1545E-02  0.8920E-03
  0.4458E+03  0.3384E+03  0.1758E-02  0.6398E-03
  0.4572E+03  0.2958E+03  0.1963E-02  0.3462E-03
  0.4628E+03  0.2064E+03  0.2161E-02  0.1915E-07
  0.4513E+03  0.4516E+02  0.2256E-02 -0.3977E-03
  0.4073E+03 -0.1210E+03  0.2216E-02 -0.8064E-03
  0.3554E+03 -0.2349E+03  0.2037E-02 -0.1176E-02
  0.3057E+03 -0.3057E+03  0.1779E-02 -0.1492E-02
  0.1892E+03 -0.4183E+03  0.1454E-02 -0.1733E-02
  0.8256E+02 -0.4919E+03  0.1070E-02 -0.1853E-02
 -0.4160E+02 -0.5513E+03  0.6789E-03 -0.1865E-02
 -0.9432E+02 -0.5661E+03  0.3210E-03 -0.1820E-02
 -0.1270E+03 -0.5691E+03  0.3130E-10 -0.1757E-02
          S1          S2          D1          D2
 -0.1277E+03 -0.5898E+03 -0.8061E-10 -0.1696E-02
 -0.1579E+03 -0.5871E+03 -0.2867E-03 -0.1626E-02
 -0.1972E+03 -0.5763E+03 -0.5616E-03 -0.1543E-02
 -0.3123E+03 -0.5191E+03 -0.8254E-03 -0.1430E-02
 -0.3700E+03 -0.4789E+03 -0.1063E-02 -0.1267E-02
 -0.4022E+03 -0.4471E+03 -0.1286E-02 -0.1079E-02
 -0.4242E+03 -0.4155E+03 -0.1506E-02 -0.8694E-03
 -0.4529E+03 -0.3540E+03 -0.1719E-02 -0.6257E-03
 -0.4650E+03 -0.3088E+03 -0.1925E-02 -0.3395E-03
 -0.4708E+03 -0.2175E+03 -0.2124E-02 -0.1474E-07
 -0.4589E+03 -0.4571E+02 -0.2218E-02  0.3911E-03
 -0.4105E+03  0.1384E+03 -0.2170E-02  0.7897E-03
 -0.3602E+03  0.2488E+03 -0.1985E-02  0.1146E-02
 -0.3103E+03  0.3199E+03 -0.1728E-02  0.1450E-02
 -0.1948E+03  0.4313E+03 -0.1411E-02  0.1681E-02
 -0.7566E+02  0.5140E+03 -0.1035E-02  0.1793E-02
  0.4637E+02  0.5729E+03 -0.6547E-03  0.1799E-02
  0.9597E+02  0.5867E+03 -0.3095E-03  0.1755E-02
  0.1277E+03  0.5896E+03 -0.5726E-07  0.1696E-02
  0.1581E+03  0.5869E+03  0.2868E-03  0.1627E-02
  0.1975E+03  0.5761E+03  0.5617E-03  0.1543E-02
  0.3126E+03  0.5189E+03  0.8255E-03  0.1430E-02
  0.3701E+03  0.4788E+03  0.1063E-02  0.1267E-02
  0.4022E+03  0.4471E+03  0.1286E-02  0.1080E-02
  0.4242E+03  0.4154E+03  0.1506E-02  0.8694E-03
  0.4531E+03  0.3536E+03  0.1719E-02  0.6256E-03
  0.4651E+03  0.3088E+03  0.1925E-02  0.3394E-03
  0.4709E+03  0.2182E+03  0.2124E-02  0.1665E-07
  0.4590E+03  0.4597E+02  0.2218E-02 -0.3910E-03
  0.4108E+03 -0.1375E+03  0.2170E-02 -0.7898E-03
  0.3602E+03 -0.2483E+03  0.1986E-02 -0.1146E-02
  0.3098E+03 -0.3202E+03  0.1729E-02 -0.1450E-02
  0.1940E+03 -0.4319E+03  0.1411E-02 -0.1682E-02
  0.7545E+02 -0.5141E+03  0.1035E-02 -0.1793E-02
 -0.4689E+02 -0.5731E+03  0.6546E-03 -0.1798E-02
 -0.9618E+02 -0.5869E+03  0.3094E-03 -0.1754E-02
 -0.1277E+03 -0.5898E+03 -0.8061E-10 -0.1696E-02
          S1          S2          D1          D2
 -0.1257E+03 -0.6006E+03 -0.6775E-09 -0.1665E-02
 -0.1542E+03 -0.5980E+03 -0.2820E-03 -0.1599E-02
 -0.1903E+03 -0.5881E+03 -0.5536E-03 -0.1521E-02
