          S1          S2          D1          D2
 -0.9413E+02 -0.2605E+03  0.1001E-08 -0.3838E-02
 -0.1033E+03 -0.2598E+03 -0.6342E-03 -0.3597E-02
 -0.1110E+03 -0.2577E+03 -0.1221E-02 -0.3355E-02
 -0.1221E+03 -0.2523E+03 -0.1789E-02 -0.3098E-02
 -0.1531E+03 -0.2327E+03 -0.2323E-02 -0.2769E-02
 -0.1698E+03 -0.2163E+03 -0.2847E-02 -0.2389E-02
 -0.1779E+03 -0.2048E+03 -0.3377E-02 -0.1950E-02
 -0.1840E+03 -0.1916E+03 -0.3941E-02 -0.1435E-02
 -0.1886E+03 -0.1740E+03 -0.4560E-02 -0.8042E-03
 -0.1908E+03 -0.1445E+03 -0.5241E-02 -0.3794E-07
 -0.1879E+03 -0.1093E+03 -0.5930E-02  0.1046E-02
 -0.1593E+03 -0.9296E+01 -0.6412E-02  0.2334E-02
 -0.1167E+03  0.8190E+02 -0.6097E-02  0.3520E-02
 -0.4452E+02  0.1874E+03 -0.4957E-02  0.4159E-02
 -0.1715E+02  0.2153E+03 -0.3653E-02  0.4353E-02
  0.8725E+01  0.2333E+03 -0.2529E-02  0.4380E-02
  0.4356E+02  0.2495E+03 -0.1558E-02  0.4280E-02
  0.7783E+02  0.2589E+03 -0.7192E-03  0.4078E-02
  0.9413E+02  0.2605E+03 -0.5941E-07  0.3838E-02
  0.1033E+03  0.2598E+03  0.6342E-03  0.3597E-02
  0.1110E+03  0.2577E+03  0.1221E-02  0.3355E-02
  0.1221E+03  0.2523E+03  0.1789E-02  0.3098E-02
  0.1531E+03  0.2327E+03  0.2323E-02  0.2769E-02
  0.1698E+03  0.2163E+03  0.2847E-02  0.2389E-02
  0.1779E+03  0.2048E+03  0.3377E-02  0.1950E-02
  0.1840E+03  0.1916E+03  0.3941E-02  0.1435E-02
  0.1886E+03  0.1740E+03  0.4560E-02  0.8042E-03
  0.1908E+03  0.1445E+03  0.5241E-02  0.3794E-07
  0.1879E+03  0.1093E+03  0.5930E-02 -0.1046E-02
  0.1593E+03  0.9296E+01  0.6412E-02 -0.2334E-02
  0.1167E+03 -0.8190E+02  0.6097E-02 -0.3520E-02
  0.4452E+02 -0.1874E+03  0.4957E-02 -0.4159E-02
  0.1715E+02 -0.2153E+03  0.3653E-02 -0.4353E-02
 -0.8725E+01 -0.2333E+03  0.2529E-02 -0.4380E-02
 -0.4356E+02 -0.2495E+03  0.1558E-02 -0.4280E-02
 -0.7783E+02 -0.2589E+03  0.7192E-03 -0.4078E-02
 -0.9413E+02 -0.2605E+03  0.1001E-08 -0.3838E-02
          S1          S2          D1          D2
 -0.1513E+03 -0.4390E+03  0.3954E-08 -0.2278E-02
 -0.1657E+03 -0.4378E+03 -0.3775E-03 -0.2141E-02
 -0.1780E+03 -0.4345E+03 -0.7290E-03 -0.2003E-02
 -0.2439E+03 -0.4000E+03 -0.1068E-02 -0.1849E-02
 -0.2586E+03 -0.3898E+03 -0.1383E-02 -0.1648E-02
 -0.2879E+03 -0.3592E+03 -0.1697E-02 -0.1424E-02
 -0.3026E+03 -0.3387E+03 -0.2007E-02 -0.1159E-02
 -0.3115E+03 -0.3195E+03 -0.2337E-02 -0.8508E-03
 -0.3181E+03 -0.2946E+03 -0.2702E-02 -0.4765E-03
 -0.3210E+03 -0.2569E+03 -0.3115E-02  0.3005E-07
 -0.3165E+03 -0.1980E+03 -0.3551E-02  0.6261E-03
 -0.2623E+03 -0.1267E+02 -0.3880E-02  0.1412E-02
 -0.1834E+03  0.1525E+03 -0.3684E-02  0.2127E-02
 -0.5986E+02  0.3318E+03 -0.2956E-02  0.2481E-02
 -0.2321E+02  0.3692E+03 -0.2159E-02  0.2573E-02
  0.1180E+02  0.3936E+03 -0.1493E-02  0.2586E-02
  0.7274E+02  0.4216E+03 -0.9211E-03  0.2531E-02
  0.1266E+03  0.4365E+03 -0.4257E-03  0.2414E-02
  0.1512E+03  0.4390E+03 -0.3978E-07  0.2278E-02
  0.1657E+03  0.4378E+03  0.3775E-03  0.2141E-02
  0.1780E+03  0.4345E+03  0.7290E-03  0.2003E-02
  0.2439E+03  0.4000E+03  0.1068E-02  0.1849E-02
  0.2586E+03  0.3898E+03  0.1383E-02  0.1648E-02
  0.2879E+03  0.3592E+03  0.1697E-02  0.1424E-02
  0.3026E+03  0.3387E+03  0.2007E-02  0.1159E-02
  0.3115E+03  0.3195E+03  0.2337E-02  0.8508E-03
  0.3181E+03  0.2946E+03  0.2702E-02  0.4765E-03
  0.3210E+03  0.2569E+03  0.3115E-02 -0.3062E-07
  0.3165E+03  0.1980E+03  0.3551E-02 -0.6261E-03
  0.2623E+03  0.1266E+02  0.3880E-02 -0.1412E-02
  0.1834E+03 -0.1524E+03  0.3684E-02 -0.2127E-02
  0.5985E+02 -0.3318E+03  0.2956E-02 -0.2481E-02
  0.2320E+02 -0.3692E+03  0.2159E-02 -0.2573E-02
 -0.1181E+02 -0.3936E+03  0.1493E-02 -0.2586E-02
 -0.7274E+02 -0.4216E+03  0.9211E-03 -0.2531E-02
 -0.1266E+03 -0.4366E+03  0.4257E-03 -0.2414E-02
 -0.1513E+03 -0.4390E+03  0.3954E-08 -0.2278E-02
          S1          S2          D1          D2
 -0.1785E+03 -0.5128E+03 -0.5200E-10 -0.1950E-02
 -0.1946E+03 -0.5115E+03 -0.3230E-03 -0.1832E-02
 -0.2086E+03 -0.5077E+03 -0.6236E-03 -0.1713E-02
 -0.2870E+03 -0.4695E+03 -0.9090E-03 -0.1574E-02
 -0.3007E+03 -0.4599E+03 -0.1178E-02 -0.1404E-02
 -0.3197E+03 -0.4402E+03 -0.1451E-02 -0.1218E-02
 -0.3483E+03 -0.4011E+03 -0.1725E-02 -0.9957E-03
 -0.3590E+03 -0.3781E+03 -0.2014E-02 -0.7330E-03
 -0.3666E+03 -0.3493E+03 -0.2336E-02 -0.4119E-03
 -0.3700E+03 -0.3033E+03 -0.2702E-02 -0.4321E-08
 -0.3651E+03 -0.2374E+03 -0.3094E-02  0.5455E-03
 -0.3031E+03 -0.3139E+02 -0.3429E-02  0.1248E-02
 -0.1949E+03  0.1936E+03 -0.3261E-02  0.1883E-02
 -0.5807E+02  0.3924E+03 -0.2582E-02  0.2166E-02
 -0.1766E+02  0.4336E+03 -0.1871E-02  0.2230E-02
  0.2270E+02  0.4616E+03 -0.1287E-02  0.2229E-02
  0.9244E+02  0.4938E+03 -0.7910E-03  0.2173E-02
  0.1512E+03  0.5101E+03 -0.3648E-03  0.2069E-02
  0.1784E+03  0.5128E+03 -0.1842E-07  0.1950E-02
  0.1945E+03  0.5114E+03  0.3231E-03  0.1832E-02
  0.2086E+03  0.5076E+03  0.6237E-03  0.1714E-02
  0.2871E+03  0.4695E+03  0.9088E-03  0.1574E-02
  0.3006E+03  0.4601E+03  0.1178E-02  0.1404E-02
  0.3194E+03  0.4407E+03  0.1451E-02  0.1218E-02
  0.3483E+03  0.4011E+03  0.1725E-02  0.9957E-03
  0.3590E+03  0.3781E+03  0.2014E-02  0.7330E-03
  0.3666E+03  0.3493E+03  0.2336E-02  0.4119E-03
  0.3700E+03  0.3035E+03  0.2702E-02  0.5831E-09
  0.3650E+03  0.2374E+03  0.3094E-02 -0.5456E-03
  0.3031E+03  0.3133E+02  0.3429E-02 -0.1248E-02
  0.1959E+03 -0.1918E+03  0.3261E-02 -0.1883E-02
  0.5797E+02 -0.3925E+03  0.2582E-02 -0.2167E-02
  0.1755E+02 -0.4336E+03  0.1871E-02 -0.2230E-02
 -0.2286E+02 -0.4617E+03  0.1287E-02 -0.2230E-02
 -0.9249E+02 -0.4938E+03  0.7910E-03 -0.2173E-02
 -0.1514E+03 -0.5101E+03  0.3647E-03 -0.2068E-02
 -0.1785E+03 -0.5128E+03 -0.5200E-10 -0.1950E-02
          S1          S2          D1          D2
 -0.1869E+03 -0.5429E+03  0.1721E-11 -0.1842E-02
 -0.2032E+03 -0.5416E+03 -0.3054E-03 -0.1732E-02
 -0.2181E+03 -0.5375E+03 -0.5900E-03 -0.1621E-02
 -0.3080E+03 -0.4968E+03 -0.8559E-03 -0.1482E-02
 -0.3205E+03 -0.4880E+03 -0.1108E-02 -0.1321E-02
 -0.3345E+03 -0.4738E+03 -0.1366E-02 -0.1146E-02
 -0.3659E+03 -0.4281E+03 -0.1631E-02 -0.9418E-03
 -0.3784E+03 -0.4017E+03 -0.1906E-02 -0.6939E-03
 -0.3860E+03 -0.3728E+03 -0.2214E-02 -0.3904E-03
 -0.3895E+03 -0.3265E+03 -0.2567E-02  0.3627E-07
 -0.3844E+03 -0.2587E+03 -0.2952E-02  0.5204E-03
 -0.3196E+03 -0.4936E+02 -0.3316E-02  0.1207E-02
 -0.1915E+03  0.2170E+03 -0.3157E-02  0.1823E-02
 -0.5064E+02  0.4229E+03 -0.2466E-02  0.2069E-02
 -0.1157E+02  0.4627E+03 -0.1776E-02  0.2117E-02
  0.2819E+02  0.4903E+03 -0.1218E-02  0.2110E-02
  0.1023E+03  0.5243E+03 -0.7472E-03  0.2053E-02
  0.1595E+03  0.5402E+03 -0.3444E-03  0.1953E-02
  0.1866E+03  0.5428E+03 -0.2097E-07  0.1842E-02
  0.2030E+03  0.5415E+03  0.3054E-03  0.1732E-02
  0.2182E+03  0.5374E+03  0.5901E-03  0.1621E-02
  0.3081E+03  0.4970E+03  0.8555E-03  0.1482E-02
  0.3204E+03  0.4884E+03  0.1108E-02  0.1321E-02
  0.3341E+03  0.4745E+03  0.1366E-02  0.1146E-02
  0.3658E+03  0.4282E+03  0.1631E-02  0.9418E-03
