          S1          S2          D1          D2
 -0.9402E+02 -0.9941E+02 -0.1453E-10 -0.1006E-01
 -0.9618E+02 -0.9923E+02 -0.1518E-02 -0.8606E-02
 -0.9768E+02 -0.9884E+02 -0.2708E-02 -0.7441E-02
 -0.9908E+02 -0.9818E+02 -0.3716E-02 -0.6436E-02
 -0.1016E+03 -0.9631E+02 -0.4621E-02 -0.5507E-02
 -0.1171E+03 -0.8130E+02 -0.5397E-02 -0.4528E-02
 -0.1222E+03 -0.7401E+02 -0.6063E-02 -0.3500E-02
 -0.1248E+03 -0.6871E+02 -0.6674E-02 -0.2429E-02
 -0.1252E+03 -0.6728E+02 -0.7294E-02 -0.1286E-02
 -0.1253E+03 -0.6608E+02 -0.7979E-02  0.2895E-09
 -0.1252E+03 -0.6455E+02 -0.8787E-02  0.1549E-02
 -0.1243E+03 -0.6141E+02 -0.9810E-02  0.3570E-02
 -0.1116E+03 -0.3649E+02 -0.1105E-01  0.6377E-02
 -0.9377E+02 -0.9500E+01 -0.1166E-01  0.9782E-02
 -0.7914E+02  0.4792E+01 -0.1179E-01  0.1405E-01
  0.1960E+02  0.7869E+02 -0.8568E-02  0.1484E-01
  0.2915E+02  0.8321E+02 -0.5011E-02  0.1377E-01
  0.1518E+03  0.1138E+03 -0.2029E-02  0.1150E-01
  0.1576E+03  0.1144E+03  0.1394E-06  0.8741E-02
  0.1593E+03  0.1143E+03  0.1239E-02  0.7024E-02
  0.1604E+03  0.1140E+03  0.2112E-02  0.5801E-02
  0.1615E+03  0.1135E+03  0.2793E-02  0.4839E-02
  0.1634E+03  0.1121E+03  0.3367E-02  0.4013E-02
  0.1708E+03  0.1047E+03  0.3866E-02  0.3245E-02
  0.1756E+03  0.9776E+02  0.4309E-02  0.2487E-02
  0.1792E+03  0.9000E+02  0.4717E-02  0.1717E-02
  0.1815E+03  0.8209E+02  0.5103E-02  0.8998E-03
  0.1817E+03  0.8037E+02  0.5505E-02  0.2618E-06
  0.1816E+03  0.7927E+02  0.5967E-02 -0.1052E-02
  0.1813E+03  0.7816E+02  0.6544E-02 -0.2382E-02
  0.1806E+03  0.7671E+02  0.7338E-02 -0.4237E-02
  0.1788E+03  0.7419E+02  0.8584E-02 -0.7204E-02
  0.1671E+03  0.6328E+02  0.1091E-01 -0.1300E-01
 -0.1960E+02 -0.7869E+02  0.8568E-02 -0.1484E-01
 -0.2915E+02 -0.8321E+02  0.5011E-02 -0.1377E-01
 -0.8900E+02 -0.9888E+02  0.2119E-02 -0.1202E-01
 -0.9402E+02 -0.9941E+02 -0.1453E-10 -0.1006E-01
          S1          S2          D1          D2
 -0.9013E+02 -0.1498E+03 -0.8856E-11 -0.6675E-02
 -0.9336E+02 -0.1496E+03 -0.1062E-02 -0.6023E-02
 -0.9587E+02 -0.1489E+03 -0.1980E-02 -0.5441E-02
 -0.9866E+02 -0.1476E+03 -0.2823E-02 -0.4889E-02
 -0.1061E+03 -0.1420E+03 -0.3631E-02 -0.4328E-02
 -0.1417E+03 -0.1091E+03 -0.4288E-02 -0.3598E-02
 -0.1481E+03 -0.9990E+02 -0.4860E-02 -0.2806E-02
 -0.1532E+03 -0.8942E+02 -0.5383E-02 -0.1959E-02
 -0.1540E+03 -0.8674E+02 -0.5908E-02 -0.1042E-02
 -0.1542E+03 -0.8462E+02 -0.6487E-02 -0.7226E-08
 -0.1539E+03 -0.8201E+02 -0.7171E-02  0.1264E-02
 -0.1524E+03 -0.7685E+02 -0.8034E-02  0.2924E-02
 -0.1202E+03 -0.1294E+02 -0.8872E-02  0.5122E-02
 -0.7979E+02  0.4929E+02 -0.8254E-02  0.6926E-02
 -0.5497E+02  0.7396E+02 -0.6987E-02  0.8327E-02
  0.1531E+02  0.1266E+03 -0.4902E-02  0.8491E-02
  0.3861E+02  0.1382E+03 -0.2932E-02  0.8055E-02
  0.2072E+03  0.1751E+03 -0.1269E-02  0.7210E-02
  0.2229E+03  0.1771E+03  0.3558E-07  0.5647E-02
  0.2267E+03  0.1768E+03  0.8136E-03  0.4614E-02
  0.2292E+03  0.1761E+03  0.1403E-02  0.3853E-02
  0.2318E+03  0.1749E+03  0.1870E-02  0.3239E-02
  0.2414E+03  0.1677E+03  0.2266E-02  0.2701E-02
  0.2543E+03  0.1550E+03  0.2602E-02  0.2183E-02
  0.2615E+03  0.1447E+03  0.2898E-02  0.1673E-02
  0.2669E+03  0.1331E+03  0.3171E-02  0.1155E-02
  0.2715E+03  0.1156E+03  0.3427E-02  0.6038E-03
  0.2722E+03  0.1090E+03  0.3674E-02 -0.2313E-06
  0.2720E+03  0.1063E+03  0.3949E-02 -0.6960E-03
  0.2713E+03  0.1038E+03  0.4282E-02 -0.1559E-02
  0.2699E+03  0.1008E+03  0.4724E-02 -0.2728E-02
  0.2665E+03  0.9602E+02  0.5379E-02 -0.4514E-02
  0.2454E+03  0.7639E+02  0.6480E-02 -0.7722E-02
 -0.1531E+02 -0.1266E+03  0.4902E-02 -0.8491E-02
 -0.3861E+02 -0.1382E+03  0.2932E-02 -0.8055E-02
 -0.8282E+02 -0.1490E+03  0.1312E-02 -0.7438E-02
 -0.9013E+02 -0.1498E+03 -0.8856E-11 -0.6675E-02
          S1          S2          D1          D2
 -0.9935E+02 -0.1797E+03 -0.1576E-11 -0.5566E-02
 -0.1033E+03 -0.1793E+03 -0.8926E-03 -0.5062E-02
 -0.1063E+03 -0.1785E+03 -0.1676E-02 -0.4604E-02
 -0.1098E+03 -0.1768E+03 -0.2403E-02 -0.4162E-02
 -0.1210E+03 -0.1686E+03 -0.3106E-02 -0.3702E-02
 -0.1613E+03 -0.1316E+03 -0.3681E-02 -0.3089E-02
 -0.1691E+03 -0.1202E+03 -0.4193E-02 -0.2421E-02
