          S1          S2          D1          D2
 -0.2033E+02 -0.2334E+03 -0.1223E-08 -0.4284E-02
 -0.6957E+02 -0.2289E+03 -0.7312E-03 -0.4147E-02
 -0.1115E+03 -0.2178E+03 -0.1409E-02 -0.3870E-02
 -0.1475E+03 -0.2010E+03 -0.2018E-02 -0.3495E-02
 -0.1982E+03 -0.1666E+03 -0.2521E-02 -0.3004E-02
 -0.2132E+03 -0.1518E+03 -0.2937E-02 -0.2464E-02
 -0.2233E+03 -0.1373E+03 -0.3305E-02 -0.1908E-02
 -0.2341E+03 -0.1135E+03 -0.3631E-02 -0.1322E-02
 -0.2458E+03 -0.6979E+02 -0.3875E-02 -0.6832E-03
 -0.2492E+03 -0.3205E+02 -0.4013E-02 -0.7232E-07
 -0.2433E+03  0.2345E+02 -0.4041E-02  0.7124E-03
 -0.2332E+03  0.6264E+02 -0.3906E-02  0.1421E-02
 -0.2224E+03  0.8598E+02 -0.3676E-02  0.2122E-02
 -0.2038E+03  0.1121E+03 -0.3358E-02  0.2817E-02
 -0.1586E+03  0.1569E+03 -0.2894E-02  0.3449E-02
 -0.1089E+03  0.1919E+03 -0.2266E-02  0.3925E-02
 -0.4330E+02  0.2215E+03 -0.1534E-02  0.4215E-02
 -0.9361E+01  0.2310E+03 -0.7582E-03  0.4299E-02
  0.2033E+02  0.2334E+03 -0.1129E-06  0.4284E-02
  0.6957E+02  0.2289E+03  0.7312E-03  0.4147E-02
  0.1115E+03  0.2178E+03  0.1409E-02  0.3870E-02
  0.1475E+03  0.2010E+03  0.2018E-02  0.3495E-02
  0.1982E+03  0.1666E+03  0.2521E-02  0.3004E-02
  0.2132E+03  0.1518E+03  0.2937E-02  0.2464E-02
  0.2233E+03  0.1373E+03  0.3305E-02  0.1908E-02
  0.2341E+03  0.1135E+03  0.3631E-02  0.1322E-02
  0.2458E+03  0.6979E+02  0.3875E-02  0.6832E-03
  0.2492E+03  0.3205E+02  0.4013E-02  0.7232E-07
