
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.130E-04   0.262E-03   0.637E-04

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.535E-02   0.199E+00   0.243E-01
    2   0.127E-02   0.774E-01   0.614E-02
    3   0.509E-03   0.573E-01   0.230E-02
    4   0.362E-03   0.480E-01   0.154E-02
    5   0.302E-03   0.408E-01   0.127E-02
    6   0.300E-03   0.347E-01   0.107E-02
    7   0.255E-03   0.288E-01   0.906E-03
    8   0.211E-03   0.237E-01   0.725E-03
    9   0.174E-03   0.195E-01   0.591E-03
   10   0.143E-03   0.160E-01   0.502E-03
   11   0.118E-03   0.132E-01   0.407E-03
   12   0.972E-04   0.108E-01   0.328E-03
   13   0.799E-04   0.891E-02   0.280E-03
   14   0.655E-04   0.733E-02   0.231E-03
   15   0.540E-04   0.603E-02   0.183E-03
   16   0.444E-04   0.496E-02   0.154E-03
   17   0.365E-04   0.408E-02   0.129E-03
   18   0.301E-04   0.336E-02   0.102E-03
   19   0.248E-04   0.276E-02   0.852E-04
   20   0.203E-04   0.227E-02   0.731E-04
   21   0.167E-04   0.187E-02   0.582E-04
   22   0.138E-04   0.154E-02   0.472E-04
   23   0.113E-04   0.126E-02   0.406E-04
   24   0.930E-05   0.104E-02   0.328E-04
   25   0.768E-05   0.855E-03   0.261E-04

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.460E-02   0.123E+00   0.252E-01
    2   0.106E-02   0.327E-01   0.547E-02
    3   0.269E-03   0.156E-01   0.134E-02
    4   0.110E-03   0.120E-01   0.495E-03
    5   0.802E-04   0.100E-01   0.344E-03
    6   0.795E-04   0.844E-02   0.315E-03
    7   0.660E-04   0.688E-02   0.298E-03
    8   0.540E-04   0.557E-02   0.199E-03
    9   0.442E-04   0.451E-02   0.159E-03
   10   0.353E-04   0.365E-02   0.166E-03
   11   0.287E-04   0.295E-02   0.116E-03
   12   0.237E-04   0.239E-02   0.807E-04
   13   0.189E-04   0.193E-02   0.941E-04
   14   0.151E-04   0.156E-02   0.726E-04
   15   0.125E-04   0.126E-02   0.418E-04
   16   0.100E-04   0.102E-02   0.504E-04
   17   0.795E-05   0.825E-03   0.442E-04

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.627E-02   0.122E+00   0.340E-01
    2   0.241E-02   0.801E-01   0.960E-02
    3   0.968E-03   0.601E-01   0.329E-02
    4   0.542E-03   0.469E-01   0.171E-02
    5   0.396E-03   0.371E-01   0.123E-02
    6   0.310E-03   0.294E-01   0.959E-03
    7   0.245E-03   0.233E-01   0.759E-03
    8   0.243E-03   0.184E-01   0.564E-03
    9   0.192E-03   0.137E-01   0.410E-03
   10   0.142E-03   0.988E-02   0.293E-03
   11   0.103E-03   0.709E-02   0.208E-03
   12   0.737E-04   0.506E-02   0.149E-03
   13   0.527E-04   0.361E-02   0.107E-03
   14   0.377E-04   0.257E-02   0.753E-04
   15   0.268E-04   0.183E-02   0.546E-04
   16   0.191E-04   0.131E-02   0.396E-04
   17   0.136E-04   0.929E-03   0.275E-04

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.228E-01   0.465E+00   0.752E-01
    2   0.139E-01   0.136E+01   0.379E-01
    3   0.124E-01   0.150E+01   0.282E-01
    4   0.115E-01   0.168E+01   0.220E-01
    5   0.984E-02   0.146E+01   0.152E-01
    6   0.875E-02   0.739E+00   0.105E-01
    7   0.619E-02   0.444E+00   0.728E-02
    8   0.424E-02   0.284E+00   0.502E-02
    9   0.288E-02   0.187E+00   0.345E-02
   10   0.195E-02   0.124E+00   0.237E-02
   11   0.132E-02   0.833E-01   0.162E-02
   12   0.896E-03   0.561E-01   0.111E-02
   13   0.608E-03   0.379E-01   0.756E-03
   14   0.413E-03   0.257E-01   0.516E-03
   15   0.281E-03   0.174E-01   0.352E-03
   16   0.191E-03   0.118E-01   0.240E-03
   17   0.130E-03   0.802E-02   0.163E-03
   18   0.128E-03   0.542E-02   0.879E-04
   19   0.863E-04   0.290E-02   0.371E-04
   20   0.461E-04   0.121E-02   0.979E-05
   21   0.193E-04   0.311E-03   0.166E-05

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.628E-02   0.173E+01   0.322E-01
    2   0.218E-02   0.169E+00   0.859E-02
    3   0.137E-02   0.131E+00   0.548E-02
    4   0.107E-02   0.104E+00   0.432E-02
    5   0.848E-03   0.826E-01   0.345E-02
    6   0.675E-03   0.657E-01   0.274E-02
    7   0.537E-03   0.523E-01   0.218E-02
    8   0.428E-03   0.416E-01   0.174E-02
    9   0.340E-03   0.331E-01   0.138E-02
   10   0.271E-03   0.263E-01   0.110E-02
   11   0.216E-03   0.210E-01   0.878E-03
   12   0.172E-03   0.167E-01   0.699E-03
   13   0.170E-03   0.133E-01   0.522E-03
   14   0.135E-03   0.989E-02   0.381E-03
   15   0.101E-03   0.722E-02   0.276E-03
   16   0.735E-04   0.523E-02   0.200E-03
   17   0.533E-04   0.378E-02   0.144E-03
   18   0.385E-04   0.273E-02   0.104E-03
   19   0.278E-04   0.197E-02   0.751E-04
   20   0.201E-04   0.142E-02   0.542E-04
   21   0.145E-04   0.103E-02   0.391E-04
   22   0.104E-04   0.740E-03   0.282E-04

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.693E-02   0.247E+00   0.279E-01
    2   0.215E-02   0.139E+00   0.934E-02
    3   0.115E-02   0.107E+00   0.501E-02
    4   0.839E-03   0.852E-01   0.364E-02
    5   0.665E-03   0.687E-01   0.289E-02
    6   0.536E-03   0.555E-01   0.233E-02
    7   0.433E-03   0.449E-01   0.188E-02
    8   0.350E-03   0.363E-01   0.152E-02
    9   0.283E-03   0.293E-01   0.123E-02
   10   0.229E-03   0.237E-01   0.994E-03
   11   0.227E-03   0.191E-01   0.761E-03
   12   0.183E-03   0.146E-01   0.573E-03
   13   0.140E-03   0.110E-01   0.429E-03
   14   0.105E-03   0.825E-02   0.321E-03
   15   0.790E-04   0.617E-02   0.240E-03
   16   0.590E-04   0.461E-02   0.179E-03
   17   0.441E-04   0.345E-02   0.134E-03
   18   0.330E-04   0.257E-02   0.100E-03
   19   0.246E-04   0.192E-02   0.747E-04
   20   0.184E-04   0.144E-02   0.558E-04
   21   0.137E-04   0.107E-02   0.417E-04
   22   0.103E-04   0.802E-03   0.312E-04

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.890E-02   0.280E+00   0.351E-01
    2   0.328E-02   0.165E+00   0.135E-01
    3   0.156E-02   0.118E+00   0.643E-02
    4   0.984E-03   0.922E-01   0.400E-02
    5   0.736E-03   0.737E-01   0.298E-02
    6   0.582E-03   0.593E-01   0.236E-02
    7   0.468E-03   0.478E-01   0.189E-02
    8   0.377E-03   0.385E-01   0.152E-02
    9   0.373E-03   0.310E-01   0.116E-02
   10   0.300E-03   0.236E-01   0.870E-03
   11   0.229E-03   0.177E-01   0.647E-03
   12   0.171E-03   0.131E-01   0.480E-03
   13   0.127E-03   0.976E-02   0.357E-03
   14   0.946E-04   0.725E-02   0.265E-03
   15   0.702E-04   0.538E-02   0.197E-03
   16   0.522E-04   0.399E-02   0.146E-03
   17   0.387E-04   0.296E-02   0.108E-03
   18   0.287E-04   0.220E-02   0.805E-04
   19   0.213E-04   0.163E-02   0.597E-04
   20   0.158E-04   0.121E-02   0.444E-04
   21   0.117E-04   0.900E-03   0.330E-04

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.135E-01   0.399E+00   0.451E-01
    2   0.606E-02   0.247E+00   0.203E-01
    3   0.300E-02   0.164E+00   0.100E-01
    4   0.167E-02   0.118E+00   0.557E-02
    5   0.108E-02   0.893E-01   0.358E-02
    6   0.773E-03   0.693E-01   0.257E-02
    7   0.589E-03   0.544E-01   0.196E-02
    8   0.458E-03   0.429E-01   0.153E-02
    9   0.454E-03   0.338E-01   0.112E-02
   10   0.355E-03   0.248E-01   0.812E-03
   11   0.261E-03   0.178E-01   0.581E-03
   12   0.188E-03   0.127E-01   0.408E-03
   13   0.134E-03   0.899E-02   0.287E-03
   14   0.946E-04   0.636E-02   0.205E-03
   15   0.669E-04   0.450E-02   0.145E-03
   16   0.476E-04   0.318E-02   0.101E-03
   17   0.337E-04   0.225E-02   0.717E-04
   18   0.237E-04   0.159E-02   0.515E-04
   19   0.167E-04   0.112E-02   0.369E-04
   20   0.119E-04   0.794E-03   0.258E-04

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.261E-01   0.774E+00   0.601E-01
    2   0.180E-01   0.666E+00   0.354E-01
    3   0.131E-01   0.573E+00   0.229E-01
    4   0.967E-02   0.482E+00   0.157E-01
    5   0.714E-02   0.397E+00   0.111E-01
    6   0.529E-02   0.321E+00   0.805E-02
    7   0.522E-02   0.256E+00   0.523E-02
    8   0.383E-02   0.185E+00   0.329E-02
    9   0.254E-02   0.127E+00   0.209E-02
   10   0.163E-02   0.849E-01   0.139E-02
   11   0.104E-02   0.563E-01   0.101E-02
   12   0.669E-03   0.374E-01   0.660E-03
   13   0.432E-03   0.249E-01   0.403E-03
   14   0.284E-03   0.168E-01   0.376E-03
   15   0.191E-03   0.113E-01   0.229E-03
   16   0.130E-03   0.760E-02   0.161E-03
   17   0.872E-04   0.507E-02   0.286E-03
   18   0.564E-04   0.338E-02   0.175E-03
   19   0.364E-04   0.228E-02   0.109E-03
   20   0.244E-04   0.157E-02   0.233E-03
   21   0.181E-04   0.110E-02   0.134E-03
   22   0.147E-04   0.742E-03   0.930E-04

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.145E-01   0.250E+01   0.108E+00
    2   0.344E-02   0.206E+01   0.107E+00
    3   0.223E-02   0.203E+01   0.100E+00
    4   0.426E-02   0.209E+01   0.823E-01
    5   0.104E-01   0.227E+01   0.586E-01
    6   0.162E-01   0.192E+01   0.386E-01
    7   0.165E-01   0.109E+01   0.245E-01
    8   0.112E-01   0.581E+00   0.152E-01
    9   0.654E-02   0.325E+00   0.928E-02
   10   0.380E-02   0.189E+00   0.565E-02
   11   0.224E-02   0.113E+00   0.345E-02
