          S1          S2          D1          D2
  0.6404E+02 -0.7778E+02  0.5895E-13 -0.1286E-01
  0.3871E+02 -0.7637E+02 -0.2535E-02 -0.1438E-01
  0.1959E+02 -0.7087E+02 -0.5710E-02 -0.1569E-01
 -0.1012E+03 -0.2207E+02 -0.7174E-02 -0.1243E-01
 -0.1067E+03 -0.1824E+02 -0.7785E-02 -0.9278E-02
 -0.1120E+03 -0.1281E+02 -0.8146E-02 -0.6835E-02
 -0.1731E+03  0.7215E+02 -0.7606E-02 -0.4391E-02
 -0.1757E+03  0.7734E+02 -0.6777E-02 -0.2467E-02
 -0.1762E+03  0.7926E+02 -0.6163E-02 -0.1087E-02
 -0.1764E+03  0.8104E+02 -0.5669E-02  0.3622E-06
 -0.1760E+03  0.8457E+02 -0.5237E-02  0.9241E-03
 -0.1731E+03  0.9572E+02 -0.4811E-02  0.1750E-02
 -0.1693E+03  0.1038E+03 -0.4362E-02  0.2518E-02
 -0.1640E+03  0.1113E+03 -0.3885E-02  0.3259E-02
 -0.1589E+03  0.1166E+03 -0.3356E-02  0.4000E-02
 -0.1574E+03  0.1178E+03 -0.2767E-02  0.4794E-02
 -0.1560E+03  0.1184E+03 -0.2078E-02  0.5709E-02
 -0.1545E+03  0.1188E+03 -0.1207E-02  0.6848E-02
 -0.1520E+03  0.1190E+03  0.1483E-06  0.8405E-02
 -0.1465E+03  0.1184E+03  0.1905E-02  0.1080E-01
 -0.1198E+03  0.1103E+03  0.5457E-02  0.1499E-01
  0.1012E+03  0.2207E+02  0.7174E-02  0.1243E-01
  0.1067E+03  0.1824E+02  0.7785E-02  0.9278E-02
  0.1120E+03  0.1281E+02  0.8146E-02  0.6835E-02
  0.1418E+03 -0.2692E+02  0.7921E-02  0.4573E-02
  0.1433E+03 -0.3003E+02  0.7555E-02  0.2750E-02
  0.1438E+03 -0.3184E+02  0.7237E-02  0.1276E-02
  0.1439E+03 -0.3339E+02  0.6948E-02 -0.1677E-08
  0.1437E+03 -0.3555E+02  0.6668E-02 -0.1176E-02
  0.1372E+03 -0.5778E+02  0.6321E-02 -0.2301E-02
  0.1324E+03 -0.6835E+02  0.5819E-02 -0.3360E-02
  0.1298E+03 -0.7217E+02  0.5252E-02 -0.4407E-02
  0.1286E+03 -0.7346E+02  0.4628E-02 -0.5515E-02
  0.1271E+03 -0.7450E+02  0.3905E-02 -0.6763E-02
  0.1248E+03 -0.7554E+02  0.3009E-02 -0.8267E-02
  0.1214E+03 -0.7642E+02  0.1802E-02 -0.1022E-01
  0.6404E+02 -0.7778E+02  0.5895E-13 -0.1286E-01
          S1          S2          D1          D2
 -0.4012E+01 -0.9575E+02 -0.2496E-13 -0.1044E-01
 -0.3145E+02 -0.9407E+02 -0.1770E-02 -0.1004E-01
 -0.5297E+02 -0.8792E+02 -0.3395E-02 -0.9328E-02
 -0.1585E+03 -0.4463E+02 -0.4240E-02 -0.7345E-02
 -0.1669E+03 -0.3883E+02 -0.4691E-02 -0.5590E-02
 -0.1747E+03 -0.3084E+02 -0.4985E-02 -0.4183E-02
 -0.2616E+03  0.9252E+02 -0.4804E-02 -0.2774E-02
 -0.2672E+03  0.1037E+03 -0.4358E-02 -0.1586E-02
 -0.2683E+03  0.1075E+03 -0.4011E-02 -0.7069E-03
 -0.2686E+03  0.1118E+03 -0.3723E-02  0.3276E-06
 -0.2669E+03  0.1262E+03 -0.3458E-02  0.6093E-03
 -0.2621E+03  0.1450E+03 -0.3176E-02  0.1157E-02
 -0.2564E+03  0.1572E+03 -0.2881E-02  0.1663E-02
 -0.2483E+03  0.1687E+03 -0.2565E-02  0.2152E-02
 -0.2349E+03  0.1821E+03 -0.2213E-02  0.2637E-02
 -0.2306E+03  0.1852E+03 -0.1814E-02  0.3141E-02
 -0.2278E+03  0.1866E+03 -0.1351E-02  0.3711E-02
 -0.2245E+03  0.1874E+03 -0.7768E-03  0.4405E-02
 -0.2194E+03  0.1878E+03  0.6574E-07  0.5324E-02
 -0.2084E+03  0.1867E+03  0.1176E-02  0.6668E-02
 -0.1634E+03  0.1732E+03  0.3200E-02  0.8793E-02
  0.1585E+03  0.4463E+02  0.4241E-02  0.7345E-02
  0.1669E+03  0.3883E+02  0.4691E-02  0.5590E-02
  0.1747E+03  0.3083E+02  0.4985E-02  0.4183E-02
  0.1951E+03  0.3511E+01  0.5072E-02  0.2928E-02
  0.1969E+03 -0.8062E-01  0.5080E-02  0.1849E-02
  0.1975E+03 -0.2504E+01  0.5074E-02  0.8947E-03
  0.1977E+03 -0.4951E+01  0.5057E-02 -0.6016E-08
  0.1973E+03 -0.9134E+01  0.5027E-02 -0.8864E-03
  0.1810E+03 -0.6488E+02  0.4888E-02 -0.1779E-02
  0.1752E+03 -0.7760E+02  0.4546E-02 -0.2624E-02
  0.1702E+03 -0.8489E+02  0.4141E-02 -0.3475E-02
  0.1676E+03 -0.8751E+02  0.3677E-02 -0.4383E-02
  0.1647E+03 -0.8957E+02  0.3127E-02 -0.5416E-02
  0.1605E+03 -0.9150E+02  0.2428E-02 -0.6670E-02
  0.1545E+03 -0.9309E+02  0.1465E-02 -0.8310E-02
 -0.4012E+01 -0.9575E+02 -0.2496E-13 -0.1044E-01
          S1          S2          D1          D2
 -0.2634E+02 -0.1035E+03  0.1647E-10 -0.9666E-02
 -0.5859E+02 -0.1015E+03 -0.1576E-02 -0.8939E-02
 -0.8173E+02 -0.9494E+02 -0.2919E-02 -0.8020E-02
 -0.1893E+03 -0.5055E+02 -0.3612E-02 -0.6257E-02
 -0.1994E+03 -0.4355E+02 -0.3979E-02 -0.4742E-02
 -0.2088E+03 -0.3397E+02 -0.4214E-02 -0.3536E-02
 -0.3119E+03  0.1127E+03 -0.4052E-02 -0.2339E-02
 -0.3192E+03  0.1271E+03 -0.3664E-02 -0.1334E-02
 -0.3204E+03  0.1315E+03 -0.3364E-02 -0.5931E-03
 -0.3208E+03  0.1362E+03 -0.3117E-02  0.2339E-06
 -0.3191E+03  0.1504E+03 -0.2893E-02  0.5098E-03
 -0.3133E+03  0.1729E+03 -0.2658E-02  0.9678E-03
 -0.3063E+03  0.1880E+03 -0.2411E-02  0.1391E-02
 -0.2960E+03  0.2026E+03 -0.2146E-02  0.1800E-02
 -0.2819E+03  0.2170E+03 -0.1850E-02  0.2205E-02
 -0.2778E+03  0.2199E+03 -0.1518E-02  0.2629E-02
 -0.2747E+03  0.2214E+03 -0.1132E-02  0.3112E-02
 -0.2711E+03  0.2223E+03 -0.6527E-03  0.3702E-02
