          S1          S2          D1          D2
 -0.1511E+02 -0.1161E+03 -0.5961E-12 -0.8612E-02
 -0.8468E+02 -0.1111E+03 -0.1400E-02 -0.7937E-02
 -0.2037E+03 -0.7914E+02 -0.2375E-02 -0.6524E-02
 -0.2217E+03 -0.7107E+02 -0.2901E-02 -0.5024E-02
 -0.2303E+03 -0.6512E+02 -0.3248E-02 -0.3871E-02
 -0.2361E+03 -0.5932E+02 -0.3498E-02 -0.2935E-02
 -0.2403E+03 -0.5338E+02 -0.3689E-02 -0.2130E-02
 -0.2431E+03 -0.4723E+02 -0.3841E-02 -0.1398E-02
 -0.2462E+03 -0.3453E+02 -0.3964E-02 -0.6990E-03
 -0.2484E+03 -0.1431E+02 -0.4025E-02 -0.2098E-07
 -0.2467E+03  0.1462E+02 -0.4011E-02  0.7073E-03
 -0.2442E+03  0.2392E+02 -0.3954E-02  0.1439E-02
 -0.2400E+03  0.3292E+02 -0.3860E-02  0.2229E-02
 -0.2348E+03  0.4039E+02 -0.3722E-02  0.3123E-02
 -0.2276E+03  0.4756E+02 -0.3518E-02  0.4192E-02
 -0.2126E+03  0.5776E+02 -0.3199E-02  0.5540E-02
 -0.1413E+03  0.8958E+02 -0.2582E-02  0.7092E-02
 -0.7790E+02  0.1072E+03 -0.1459E-02  0.8272E-02
  0.1511E+02  0.1161E+03 -0.1417E-08  0.8612E-02
  0.9113E+02  0.1110E+03  0.1387E-02  0.7869E-02
  0.2037E+03  0.7914E+02  0.2375E-02  0.6524E-02
  0.2217E+03  0.7107E+02  0.2901E-02  0.5024E-02
  0.2303E+03  0.6512E+02  0.3248E-02  0.3871E-02
  0.2361E+03  0.5932E+02  0.3498E-02  0.2935E-02
  0.2403E+03  0.5338E+02  0.3689E-02  0.2130E-02
  0.2431E+03  0.4723E+02  0.3841E-02  0.1398E-02
  0.2462E+03  0.3453E+02  0.3964E-02  0.6990E-03
  0.2484E+03  0.1431E+02  0.4025E-02  0.2098E-07
  0.2467E+03 -0.1462E+02  0.4011E-02 -0.7073E-03
  0.2442E+03 -0.2392E+02  0.3954E-02 -0.1439E-02
  0.2400E+03 -0.3292E+02  0.3860E-02 -0.2229E-02
  0.2348E+03 -0.4039E+02  0.3722E-02 -0.3123E-02
  0.2276E+03 -0.4756E+02  0.3518E-02 -0.4192E-02
  0.2126E+03 -0.5776E+02  0.3199E-02 -0.5540E-02
  0.1413E+03 -0.8958E+02  0.2582E-02 -0.7092E-02
  0.7790E+02 -0.1072E+03  0.1459E-02 -0.8272E-02
 -0.1511E+02 -0.1161E+03 -0.5961E-12 -0.8612E-02
          S1          S2          D1          D2
 -0.8161E+01 -0.1954E+03 -0.2730E-10 -0.5119E-02
 -0.1115E+03 -0.1864E+03 -0.8557E-03 -0.4853E-02
 -0.3191E+03 -0.1306E+03 -0.1475E-02 -0.4052E-02
 -0.3477E+03 -0.1179E+03 -0.1812E-02 -0.3139E-02
 -0.3597E+03 -0.1096E+03 -0.2040E-02 -0.2431E-02
 -0.3673E+03 -0.1020E+03 -0.2208E-02 -0.1853E-02
 -0.3727E+03 -0.9439E+02 -0.2341E-02 -0.1352E-02
 -0.3767E+03 -0.8576E+02 -0.2452E-02 -0.8923E-03
 -0.3815E+03 -0.6598E+02 -0.2544E-02 -0.4484E-03
 -0.3858E+03 -0.2120E+02 -0.2592E-02 -0.7544E-08
 -0.3829E+03  0.3504E+02 -0.2570E-02  0.4531E-03
 -0.3791E+03  0.4955E+02 -0.2518E-02  0.9166E-03
 -0.3730E+03  0.6256E+02 -0.2444E-02  0.1411E-02
 -0.3651E+03  0.7388E+02 -0.2342E-02  0.1965E-02
 -0.3534E+03  0.8542E+02 -0.2197E-02  0.2618E-02
 -0.3274E+03  0.1031E+03 -0.1977E-02  0.3423E-02
 -0.2026E+03  0.1590E+03 -0.1564E-02  0.4297E-02
 -0.1072E+03  0.1839E+03 -0.8695E-03  0.4931E-02
  0.8163E+01  0.1954E+03 -0.5765E-07  0.5119E-02
  0.1115E+03  0.1864E+03  0.8557E-03  0.4853E-02
  0.3191E+03  0.1306E+03  0.1475E-02  0.4052E-02
  0.3477E+03  0.1179E+03  0.1812E-02  0.3139E-02
  0.3597E+03  0.1096E+03  0.2040E-02  0.2431E-02
  0.3673E+03  0.1020E+03  0.2208E-02  0.1853E-02
  0.3727E+03  0.9439E+02  0.2341E-02  0.1352E-02
  0.3767E+03  0.8576E+02  0.2452E-02  0.8923E-03
  0.3815E+03  0.6599E+02  0.2544E-02  0.4484E-03
  0.3858E+03  0.2120E+02  0.2592E-02  0.7507E-08
  0.3829E+03 -0.3504E+02  0.2570E-02 -0.4531E-03
  0.3791E+03 -0.4955E+02  0.2518E-02 -0.9166E-03
  0.3730E+03 -0.6256E+02  0.2444E-02 -0.1411E-02
  0.3651E+03 -0.7388E+02  0.2342E-02 -0.1965E-02
  0.3534E+03 -0.8543E+02  0.2197E-02 -0.2618E-02
  0.3274E+03 -0.1031E+03  0.1977E-02 -0.3423E-02
  0.2026E+03 -0.1590E+03  0.1564E-02 -0.4297E-02
  0.1071E+03 -0.1839E+03  0.8695E-03 -0.4931E-02
 -0.8161E+01 -0.1954E+03 -0.2730E-10 -0.5119E-02
          S1          S2          D1          D2
 -0.1176E+02 -0.2410E+03 -0.1582E-13 -0.4150E-02
 -0.1384E+03 -0.2300E+03 -0.6929E-03 -0.3930E-02
 -0.3720E+03 -0.1653E+03 -0.1210E-02 -0.3325E-02
 -0.4131E+03 -0.1471E+03 -0.1497E-02 -0.2593E-02
 -0.4292E+03 -0.1360E+03 -0.1691E-02 -0.2015E-02
 -0.4394E+03 -0.1259E+03 -0.1835E-02 -0.1540E-02
 -0.4467E+03 -0.1155E+03 -0.1948E-02 -0.1125E-02
 -0.4521E+03 -0.1039E+03 -0.2041E-02 -0.7430E-03
 -0.4585E+03 -0.7736E+02 -0.2118E-02 -0.3734E-03
 -0.4636E+03 -0.2848E+02 -0.2157E-02 -0.1041E-07
 -0.4597E+03  0.3874E+02 -0.2143E-02  0.3779E-03
 -0.4545E+03  0.5822E+02 -0.2102E-02  0.7651E-03
 -0.4466E+03  0.7521E+02 -0.2041E-02  0.1178E-02
 -0.4365E+03  0.8973E+02 -0.1954E-02  0.1640E-02
 -0.4211E+03  0.1049E+03 -0.1831E-02  0.2182E-02
 -0.3832E+03  0.1305E+03 -0.1641E-02  0.2843E-02
 -0.2335E+03  0.1991E+03 -0.1281E-02  0.3520E-02
 -0.1214E+03  0.2277E+03 -0.7077E-03  0.4014E-02
  0.1195E+02  0.2409E+03 -0.6146E-07  0.4151E-02
  0.1385E+03  0.2300E+03  0.6930E-03  0.3930E-02
  0.3720E+03  0.1653E+03  0.1210E-02  0.3325E-02
  0.4131E+03  0.1471E+03  0.1497E-02  0.2593E-02
  0.4292E+03  0.1360E+03  0.1691E-02  0.2015E-02
  0.4394E+03  0.1259E+03  0.1835E-02  0.1540E-02
  0.4467E+03  0.1155E+03  0.1948E-02  0.1125E-02
  0.4521E+03  0.1039E+03  0.2041E-02  0.7430E-03
  0.4585E+03  0.7738E+02  0.2118E-02  0.3734E-03
  0.4636E+03  0.2853E+02  0.2157E-02  0.1006E-07
  0.4597E+03 -0.3867E+02  0.2143E-02 -0.3779E-03
  0.4545E+03 -0.5815E+02  0.2102E-02 -0.7651E-03
  0.4466E+03 -0.7517E+02  0.2041E-02 -0.1178E-02
  0.4364E+03 -0.8972E+02  0.1954E-02 -0.1640E-02
  0.4210E+03 -0.1049E+03  0.1831E-02 -0.2182E-02
  0.3830E+03 -0.1306E+03  0.1641E-02 -0.2843E-02
  0.2334E+03 -0.1991E+03  0.1281E-02 -0.3520E-02
  0.1209E+03 -0.2279E+03  0.7076E-03 -0.4013E-02
 -0.1176E+02 -0.2410E+03 -0.1582E-13 -0.4150E-02
          S1          S2          D1          D2
 -0.1309E+02 -0.2752E+03 -0.8039E-10 -0.3634E-02
 -0.1494E+03 -0.2634E+03 -0.6086E-03 -0.3452E-02
 -0.3921E+03 -0.1944E+03 -0.1080E-02 -0.2967E-02
 -0.4501E+03 -0.1691E+03 -0.1346E-02 -0.2332E-02
 -0.4690E+03 -0.1560E+03 -0.1527E-02 -0.1820E-02
 -0.4808E+03 -0.1443E+03 -0.1661E-02 -0.1394E-02
 -0.4892E+03 -0.1324E+03 -0.1768E-02 -0.1021E-02
 -0.4954E+03 -0.1188E+03 -0.1856E-02 -0.6757E-03
 -0.5031E+03 -0.8749E+02 -0.1929E-02 -0.3401E-03
 -0.5088E+03 -0.3302E+02 -0.1965E-02 -0.7632E-08
 -0.5041E+03  0.4382E+02 -0.1954E-02  0.3445E-03
 -0.4979E+03  0.6692E+02 -0.1915E-02  0.6968E-03
 -0.4889E+03  0.8639E+02 -0.1856E-02  0.1072E-02
 -0.4772E+03  0.1031E+03 -0.1774E-02  0.1489E-02
 -0.4587E+03  0.1213E+03 -0.1658E-02  0.1975E-02
 -0.4082E+03  0.1553E+03 -0.1477E-02  0.2558E-02
 -0.2461E+03  0.2309E+03 -0.1136E-02  0.3121E-02
 -0.1185E+03  0.2625E+03 -0.6223E-03  0.3529E-02
  0.1383E+02  0.2750E+03 -0.4666E-07  0.3636E-02
  0.1497E+03  0.2633E+03  0.6086E-03  0.3452E-02
  0.3920E+03  0.1944E+03  0.1080E-02  0.2967E-02
  0.4500E+03  0.1691E+03  0.1346E-02  0.2332E-02
  0.4690E+03  0.1560E+03  0.1527E-02  0.1820E-02
  0.4808E+03  0.1443E+03  0.1662E-02  0.1394E-02
  0.4892E+03  0.1323E+03  0.1768E-02  0.1021E-02
  0.4954E+03  0.1188E+03  0.1856E-02  0.6757E-03
  0.5030E+03  0.8757E+02  0.1929E-02  0.3401E-03
  0.5087E+03  0.3322E+02  0.1966E-02  0.6841E-08
  0.5041E+03 -0.4358E+02  0.1954E-02 -0.3445E-03
  0.4979E+03 -0.6668E+02  0.1915E-02 -0.6970E-03
  0.4888E+03 -0.8627E+02  0.1857E-02 -0.1072E-02
  0.4770E+03 -0.1031E+03  0.1775E-02 -0.1489E-02
  0.4585E+03 -0.1214E+03  0.1658E-02 -0.1976E-02
  0.4077E+03 -0.1556E+03  0.1477E-02 -0.2558E-02
  0.2457E+03 -0.2310E+03  0.1136E-02 -0.3121E-02
  0.1170E+03 -0.2628E+03  0.6220E-03 -0.3528E-02
 -0.1309E+02 -0.2752E+03 -0.8039E-10 -0.3634E-02
          S1          S2          D1          D2
 -0.1322E+02 -0.3028E+03 -0.1945E-09 -0.3302E-02
 -0.1516E+03 -0.2907E+03 -0.5554E-03 -0.3150E-02
 -0.3748E+03 -0.2272E+03 -0.1001E-02 -0.2750E-02
 -0.4708E+03 -0.1867E+03 -0.1259E-02 -0.2181E-02
 -0.4921E+03 -0.1720E+03 -0.1435E-02 -0.1710E-02
 -0.5048E+03 -0.1594E+03 -0.1566E-02 -0.1314E-02
 -0.5138E+03 -0.1466E+03 -0.1671E-02 -0.9648E-03
