          S1          S2          D1          D2
  0.4657E+02 -0.2511E+03  0.8544E-09 -0.3982E-02
  0.3338E+02 -0.2499E+03 -0.7225E-03 -0.4098E-02
  0.5862E+01 -0.2421E+03 -0.1517E-02 -0.4168E-02
 -0.3649E+02 -0.2225E+03 -0.2370E-02 -0.4106E-02
 -0.6530E+02 -0.2024E+03 -0.3262E-02 -0.3888E-02
 -0.1114E+03 -0.1567E+03 -0.4116E-02 -0.3454E-02
 -0.1329E+03 -0.1263E+03 -0.4859E-02 -0.2806E-02
 -0.1567E+03 -0.7340E+02 -0.5452E-02 -0.1985E-02
 -0.1784E+03  0.7712E+01 -0.5648E-02 -0.9961E-03
 -0.1844E+03  0.6995E+02 -0.5424E-02 -0.8130E-07
 -0.1805E+03  0.1205E+03 -0.4957E-02  0.8740E-03
 -0.1715E+03  0.1542E+03 -0.4394E-02  0.1599E-02
 -0.1601E+03  0.1787E+03 -0.3797E-02  0.2192E-02
 -0.1488E+03  0.1951E+03 -0.3200E-02  0.2685E-02
 -0.1347E+03  0.2090E+03 -0.2605E-02  0.3105E-02
 -0.1089E+03  0.2270E+03 -0.1992E-02  0.3450E-02
 -0.6940E+02  0.2469E+03 -0.1338E-02  0.3675E-02
 -0.5720E+02  0.2502E+03 -0.6775E-03  0.3842E-02
 -0.4657E+02  0.2511E+03 -0.7083E-07  0.3982E-02
 -0.3338E+02  0.2499E+03  0.7225E-03  0.4098E-02
 -0.5862E+01  0.2421E+03  0.1517E-02  0.4168E-02
  0.3649E+02  0.2225E+03  0.2370E-02  0.4106E-02
  0.6530E+02  0.2024E+03  0.3262E-02  0.3888E-02
  0.1114E+03  0.1567E+03  0.4116E-02  0.3454E-02
  0.1329E+03  0.1263E+03  0.4859E-02  0.2806E-02
  0.1567E+03  0.7340E+02  0.5452E-02  0.1985E-02
  0.1784E+03 -0.7712E+01  0.5648E-02  0.9961E-03
  0.1844E+03 -0.6995E+02  0.5424E-02  0.8130E-07
