          S1          S2          D1          D2
 -0.5012E+02 -0.1306E+03  0.3782E-10 -0.7656E-02
 -0.5630E+02 -0.1300E+03 -0.1260E-02 -0.7145E-02
 -0.9984E+02 -0.1192E+03 -0.2340E-02 -0.6429E-02
 -0.1107E+03 -0.1139E+03 -0.3247E-02 -0.5624E-02
 -0.1282E+03 -0.1016E+03 -0.4012E-02 -0.4781E-02
 -0.1352E+03 -0.9470E+02 -0.4658E-02 -0.3909E-02
 -0.1372E+03 -0.9200E+02 -0.5256E-02 -0.3034E-02
 -0.1380E+03 -0.9019E+02 -0.5854E-02 -0.2131E-02
 -0.1385E+03 -0.8825E+02 -0.6490E-02 -0.1144E-02
 -0.1387E+03 -0.8554E+02 -0.7208E-02 -0.1420E-07
 -0.1382E+03 -0.8001E+02 -0.8060E-02  0.1421E-02
 -0.1302E+03 -0.5288E+02 -0.9015E-02  0.3281E-02
 -0.1169E+03 -0.2375E+02 -0.9695E-02  0.5598E-02
 -0.9328E+02  0.8836E+01 -0.9931E-02  0.8333E-02
  0.1916E+02  0.1158E+03 -0.8416E-02  0.1003E-01
  0.3198E+02  0.1251E+03 -0.5412E-02  0.9375E-02
  0.3931E+02  0.1286E+03 -0.3185E-02  0.8750E-02
  0.4514E+02  0.1302E+03 -0.1443E-02  0.8182E-02
  0.5012E+02  0.1306E+03 -0.2029E-07  0.7656E-02
  0.5630E+02  0.1300E+03  0.1260E-02  0.7145E-02
  0.1466E+03  0.1076E+03  0.2261E-02  0.6212E-02
  0.1506E+03  0.1058E+03  0.2995E-02  0.5188E-02
  0.1577E+03  0.1006E+03  0.3603E-02  0.4295E-02
  0.1654E+03  0.9299E+02  0.4109E-02  0.3447E-02
  0.1698E+03  0.8673E+02  0.4548E-02  0.2626E-02
  0.1732E+03  0.7940E+02  0.4949E-02  0.1801E-02
  0.1751E+03  0.7258E+02  0.5323E-02  0.9385E-03
  0.1754E+03  0.6957E+02  0.5702E-02 -0.1395E-06
  0.1752E+03  0.6759E+02  0.6125E-02 -0.1080E-02
  0.1746E+03  0.6546E+02  0.6632E-02 -0.2414E-02
