          S1          S2          D1          D2
 -0.7629E+02 -0.1037E+03 -0.8259E-09 -0.9643E-02
 -0.9520E+02 -0.1020E+03 -0.1484E-02 -0.8417E-02
 -0.1256E+03 -0.9346E+02 -0.2615E-02 -0.7185E-02
 -0.1415E+03 -0.8654E+02 -0.3432E-02 -0.5945E-02
 -0.1458E+03 -0.8360E+02 -0.4075E-02 -0.4857E-02
 -0.1481E+03 -0.8128E+02 -0.4623E-02 -0.3879E-02
 -0.1499E+03 -0.7866E+02 -0.5119E-02 -0.2956E-02
 -0.1520E+03 -0.7403E+02 -0.5587E-02 -0.2033E-02
 -0.1544E+03 -0.6453E+02 -0.6031E-02 -0.1063E-02
 -0.1564E+03 -0.3739E+02 -0.6393E-02  0.3192E-07
 -0.1555E+03 -0.2643E+02 -0.6627E-02  0.1169E-02
 -0.1454E+03  0.1084E+02 -0.6694E-02  0.2436E-02
 -0.1405E+03  0.2146E+02 -0.6541E-02  0.3777E-02
 -0.1337E+03  0.3123E+02 -0.6255E-02  0.5249E-02
 -0.1253E+03  0.3959E+02 -0.5799E-02  0.6911E-02
 -0.1070E+03  0.5192E+02 -0.5078E-02  0.8795E-02
 -0.4647E+02  0.7969E+02 -0.3768E-02  0.1035E-01
  0.6698E+02  0.1042E+03 -0.1908E-02  0.1082E-01
  0.1374E+03  0.1141E+03 -0.2002E-06  0.8768E-02
  0.1424E+03  0.1137E+03  0.1271E-02  0.7205E-02
  0.1451E+03  0.1130E+03  0.2195E-02  0.6031E-02
  0.1472E+03  0.1120E+03  0.2931E-02  0.5076E-02
  0.1493E+03  0.1105E+03  0.3559E-02  0.4241E-02
  0.1551E+03  0.1046E+03  0.4117E-02  0.3455E-02
  0.1595E+03  0.9839E+02  0.4624E-02  0.2669E-02
  0.1625E+03  0.9198E+02  0.5104E-02  0.1857E-02
  0.1649E+03  0.8279E+02  0.5573E-02  0.9825E-03
  0.1656E+03  0.7567E+02  0.6038E-02 -0.5559E-08
  0.1641E+03  0.6354E+02  0.6538E-02 -0.1153E-02
  0.1454E+03 -0.1084E+02  0.6694E-02 -0.2437E-02
  0.1405E+03 -0.2146E+02  0.6541E-02 -0.3777E-02
  0.1337E+03 -0.3123E+02  0.6255E-02 -0.5249E-02
  0.1253E+03 -0.3959E+02  0.5799E-02 -0.6911E-02
  0.1070E+03 -0.5192E+02  0.5078E-02 -0.8795E-02
  0.4647E+02 -0.7969E+02  0.3768E-02 -0.1035E-01
 -0.4643E+02 -0.1005E+03  0.1911E-02 -0.1084E-01
 -0.7629E+02 -0.1037E+03 -0.8259E-09 -0.9643E-02
          S1          S2          D1          D2
 -0.6500E+02 -0.1604E+03 -0.6188E-11 -0.6233E-02
 -0.9693E+02 -0.1577E+03 -0.1009E-02 -0.5722E-02
 -0.1470E+03 -0.1432E+03 -0.1850E-02 -0.5084E-02
 -0.2029E+03 -0.1199E+03 -0.2435E-02 -0.4217E-02
 -0.2105E+03 -0.1148E+03 -0.2880E-02 -0.3432E-02
 -0.2145E+03 -0.1108E+03 -0.3252E-02 -0.2729E-02
 -0.2174E+03 -0.1067E+03 -0.3585E-02 -0.2070E-02
 -0.2202E+03 -0.1004E+03 -0.3894E-02 -0.1417E-02
 -0.2235E+03 -0.8729E+02 -0.4185E-02 -0.7380E-03
 -0.2288E+03 -0.2393E+02 -0.4372E-02  0.2975E-07
 -0.2272E+03 -0.8647E+00 -0.4404E-02  0.7766E-03
 -0.2190E+03  0.2927E+02 -0.4355E-02  0.1585E-02
 -0.2117E+03  0.4496E+02 -0.4208E-02  0.2430E-02
 -0.2019E+03  0.5898E+02 -0.3978E-02  0.3338E-02
 -0.1890E+03  0.7172E+02 -0.3643E-02  0.4341E-02
 -0.1597E+03  0.9155E+02 -0.3142E-02  0.5442E-02
