    STEP   AVACS   MODE1
   0.043   8.000   1.000
   0.043   8.000   1.000
   0.044   8.000   1.000
   0.044   8.000   1.000
   0.044   8.000   1.000
   0.044   8.000   1.000
   0.045   8.000   1.000
   0.045   8.000   1.000
   0.045   8.000   1.000
   0.045   8.000   1.000
   0.046   8.000   1.000
   0.046   8.000   1.000
   0.046   8.000   1.000
   0.046   8.000   1.000
   0.047   8.000   1.000
   0.047   8.000   1.000
   0.047   8.000   1.000
   0.047   8.000   1.000
   0.048   8.000   1.000
   0.048   8.000   1.000
   0.048   8.000   1.000
   0.048   8.000   1.000
   0.049   8.000   1.000
   0.049   8.000   1.000
   0.049   8.000   1.000
   0.049   8.000   1.000
   0.050   8.000   1.000
   0.050   8.000   1.000
   0.050   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.766   1.000
       8   6.192   1.000
       9   7.853   1.000
      10   8.000   1.000
      11   7.844   1.000
      12   6.188   1.000
      13   7.741   1.000
      14   7.997   1.000
      15   7.544   1.000
      16   7.399   1.000
      17   7.963   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.050   8.000   1.000
   0.050   8.000   1.000
   0.051   8.000   1.000
   0.051   8.000   1.000
   0.051   8.000   1.000
   0.051   8.000   1.000
   0.052   8.000   1.000
   0.052   8.000   1.000
   0.052   8.000   1.000
   0.052   8.000   1.000
   0.053   8.000   1.000
   0.053   8.000   1.000
   0.053   8.000   1.000
   0.053   8.000   1.000
   0.054   8.000   1.000
   0.054   8.000   1.000
   0.054   8.000   1.000
   0.054   8.000   1.000
   0.055   8.000   1.000
   0.055   8.000   1.000
   0.055   8.000   1.000
   0.055   8.000   1.000
   0.056   8.000   1.000
   0.056   8.000   1.000
   0.056   8.000   1.000
   0.056   8.000   1.000
   0.057   8.000   1.000
   0.057   8.000   1.000
   0.057   8.000   1.000
   0.057   8.000   1.000
   0.058   8.000   1.000
   0.058   8.000   1.000
   0.058   8.000   1.000
   0.058   8.000   1.000
   0.059   8.000   1.000
   0.059   8.000   1.000
   0.059   8.000   1.000
   0.059   8.000   1.000
   0.060   8.000   1.000
   0.060   8.000   1.000
   0.060   8.000   1.000
   0.060   8.000   1.000
   0.061   8.000   1.000
   0.061   8.000   1.000
   0.061   8.000   1.000
   0.061   8.000   1.000
   0.062   8.000   1.000
   0.062   8.000   1.000
   0.062   8.000   1.000
   0.062   8.000   1.000
   0.063   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.765   1.000
       8   6.192   1.000
       9   7.853   1.000
      10   8.000   1.000
      11   7.844   1.000
      12   6.188   1.000
      13   7.741   1.000
      14   7.997   1.000
      15   7.598   1.000
      16   7.353   1.000
      17   7.975   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.063   8.000   1.000
   0.063   8.000   1.000
   0.063   8.000   1.000
   0.063   8.000   1.000
   0.064   8.000   1.000
   0.064   8.000   1.000
   0.064   8.000   1.000
   0.064   8.000   1.000
   0.065   8.000   1.000
   0.065   8.000   1.000
   0.065   8.000   1.000
   0.065   8.000   1.000
   0.066   8.000   1.000
   0.066   8.000   1.000
   0.066   8.000   1.000
   0.066   8.000   1.000
   0.067   8.000   1.000
   0.067   8.000   1.000
   0.067   8.000   1.000
   0.067   8.000   1.000
   0.068   8.000   1.000
   0.068   8.000   1.000
   0.068   8.000   1.000
   0.068   8.000   1.000
   0.069   8.000   1.000
   0.069   8.000   1.000
   0.069   8.000   1.000
   0.069   8.000   1.000
   0.070   8.000   1.000
   0.070   8.000   1.000
   0.070   8.000   1.000
   0.070   8.000   1.000
   0.071   8.000   1.000
   0.071   8.000   1.000
   0.071   8.000   1.000
   0.071   8.000   1.000
   0.072   8.000   1.000
   0.072   8.000   1.000
   0.072   8.000   1.000
   0.072   8.000   1.000
   0.073   8.000   1.000
   0.073   8.000   1.000
   0.073   8.000   1.000
   0.073   8.000   1.000
   0.074   8.000   1.000
   0.074   8.000   1.000
   0.074   8.000   1.000
   0.074   8.000   1.000
   0.075   8.000   1.000
   0.075   8.000   1.000
   0.075   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.765   1.000
       8   6.192   1.000
       9   7.853   1.000
      10   8.000   1.000
      11   7.844   1.000
      12   6.190   1.000
      13   7.741   1.000
      14   7.997   1.000
      15   7.640   1.000
      16   7.305   1.000
      17   7.994   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.075   8.000   1.000
   0.075   8.000   1.000
   0.076   8.000   1.000
   0.076   8.000   1.000
   0.076   8.000   1.000
   0.076   8.000   1.000
   0.077   8.000   1.000
   0.077   8.000   1.000
   0.077   8.000   1.000
   0.077   8.000   1.000
   0.078   8.000   1.000
   0.078   8.000   1.000
   0.078   8.000   1.000
   0.078   8.000   1.000
   0.079   8.000   1.000
   0.079   8.000   1.000
   0.079   8.000   1.000
   0.079   8.000   1.000
   0.080   8.000   1.000
   0.080   8.000   1.000
   0.080   8.000   1.000
   0.080   8.000   1.000
   0.081   8.000   1.000
   0.081   8.000   1.000
   0.081   8.000   1.000
   0.081   8.000   1.000
   0.082   8.000   1.000
   0.082   8.000   1.000
   0.082   8.000   1.000
   0.082   8.000   1.000
   0.083   8.000   1.000
   0.083   8.000   1.000
   0.083   8.000   1.000
   0.083   8.000   1.000
   0.084   8.000   1.000
   0.084   8.000   1.000
   0.084   8.000   1.000
   0.084   8.000   1.000
   0.085   8.000   1.000
   0.085   8.000   1.000
   0.085   8.000   1.000
   0.085   8.000   1.000
   0.086   8.000   1.000
   0.086   8.000   1.000
   0.086   8.000   1.000
   0.086   8.000   1.000
   0.087   8.000   1.000
   0.087   8.000   1.000
   0.087   8.000   1.000
   0.087   8.000   1.000
   0.088   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.764   1.000
       8   6.192   1.000
       9   7.854   1.000
      10   8.000   1.000
      11   7.844   1.000
      12   6.190   1.000
      13   7.740   1.000
      14   7.997   1.000
      15   7.665   1.000
      16   7.267   1.000
      17   8.000   1.000
      18   8.000   1.000
  STRAIN   AVACS   MODE1
   0.088   8.000   1.000
   0.088   8.000   1.000
   0.088   8.000   1.000
   0.088   8.000   1.000
   0.089   8.000   1.000
   0.089   8.000   1.000
   0.089   8.000   1.000
   0.089   8.000   1.000
   0.090   8.000   1.000
   0.090   8.000   1.000
   0.090   8.000   1.000
   0.090   8.000   1.000
   0.091   8.000   1.000
   0.091   8.000   1.000
   0.091   8.000   1.000
   0.091   8.000   1.000
   0.092   8.000   1.000
   0.092   8.000   1.000
   0.092   8.000   1.000
   0.092   8.000   1.000
   0.093   8.000   1.000
   0.093   8.000   1.000
   0.093   8.000   1.000
   0.093   8.000   1.000
   0.094   8.000   1.000
   0.094   8.000   1.000
   0.094   8.000   1.000
   0.094   8.000   1.000
   0.095   8.000   1.000
   0.095   8.000   1.000
   0.095   8.000   1.000
   0.095   8.000   1.000
   0.096   8.000   1.000
   0.096   8.000   1.000
   0.096   8.000   1.000
   0.096   8.000   1.000
   0.097   8.000   1.000
   0.097   8.000   1.000
   0.097   8.000   1.000
   0.097   8.000   1.000
   0.098   8.000   1.000
   0.098   8.000   1.000
   0.098   8.000   1.000
   0.098   8.000   1.000
   0.099   8.000   1.000
   0.099   8.000   1.000
   0.099   8.000   1.000
   0.099   8.000   1.000
   0.100   8.000   1.000
   0.100   8.000   1.000
   0.100   8.000   1.000
    STEP   AVACS   MODE1
       1   8.000   1.000
       2   8.000   1.000
       3   8.000   1.000
       4   4.000   1.000
       5   8.000   1.000
       6   7.997   1.000
       7   7.761   1.000
       8   6.192   1.000
       9   7.854   1.000
      10   8.000   1.000
      11   7.845   1.000
      12   6.190   1.000
      13   7.736   1.000
      14   7.997   1.000
      15   7.703   1.000
      16   7.245   1.000
      17   8.000   1.000
      18   8.000   1.000
