
*******   STEP   1      *** NEFF=10 CALCULATION                
   32   0.902E-03   0.428E-01   0.500E-03
   33   0.770E-03   0.365E-01   0.422E-03
   34   0.658E-03   0.311E-01   0.357E-03
   35   0.561E-03   0.266E-01   0.304E-03
   36   0.480E-03   0.227E-01   0.261E-03
   37   0.410E-03   0.193E-01   0.226E-03
   38   0.350E-03   0.165E-01   0.194E-03
   39   0.299E-03   0.141E-01   0.164E-03
   40   0.255E-03   0.120E-01   0.138E-03
   41   0.218E-03   0.103E-01   0.117E-03
   42   0.186E-03   0.875E-02   0.101E-03
   43   0.159E-03   0.746E-02   0.878E-04
   44   0.136E-03   0.637E-02   0.758E-04
   45   0.116E-03   0.544E-02   0.637E-04
   46   0.987E-04   0.464E-02   0.533E-04
   47   0.843E-04   0.397E-02   0.453E-04
   48   0.720E-04   0.338E-02   0.389E-04
   49   0.616E-04   0.289E-02   0.340E-04
   50   0.526E-04   0.246E-02   0.296E-04
   51   0.449E-04   0.210E-02   0.249E-04
   52   0.383E-04   0.180E-02   0.206E-04
   53   0.326E-04   0.154E-02   0.175E-04
   54   0.279E-04   0.131E-02   0.150E-04
   55   0.238E-04   0.112E-02   0.132E-04
   56   0.204E-04   0.954E-03   0.116E-04

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.168E-01   0.173E+01   0.864E-01
    2   0.232E-01   0.126E+01   0.617E-01
    3   0.189E-01   0.933E+00   0.457E-01
    4   0.158E-01   0.637E+00   0.338E-01
    5   0.121E-01   0.437E+00   0.246E-01
    6   0.899E-02   0.300E+00   0.176E-01
    7   0.652E-02   0.207E+00   0.125E-01
    8   0.466E-02   0.143E+00   0.886E-02
    9   0.330E-02   0.993E-01   0.622E-02
   10   0.232E-02   0.689E-01   0.436E-02
   11   0.163E-02   0.478E-01   0.305E-02
   12   0.114E-02   0.332E-01   0.213E-02
   13   0.794E-03   0.231E-01   0.148E-02
   14   0.554E-03   0.160E-01   0.103E-02
   15   0.528E-03   0.110E-01   0.589E-03
   16   0.369E-03   0.621E-02   0.289E-03
   17   0.212E-03   0.302E-02   0.122E-03
   18   0.105E-03   0.125E-02   0.426E-04
   19   0.444E-04   0.412E-03   0.118E-04

*******   STEP  10      *** NEFF=10 CALCULATION                
    1   0.235E-01   0.555E+00   0.660E-01
    2   0.113E-01   0.209E+00   0.261E-01
    3   0.488E-02   0.981E-01   0.110E-01
    4   0.236E-02   0.550E-01   0.530E-02
    5   0.133E-02   0.341E-01   0.296E-02
    6   0.819E-03   0.220E-01   0.183E-02
    7   0.528E-03   0.144E-01   0.118E-02
    8   0.346E-03   0.945E-02   0.770E-03
    9   0.332E-03   0.610E-02   0.383E-03
   10   0.216E-03   0.298E-02   0.151E-03
   11   0.106E-03   0.101E-02   0.461E-04
   12   0.376E-04   0.109E-03   0.301E-04

*******   STEP  11      *** NEFF=10 CALCULATION                
    1   0.267E-01   0.372E+00   0.644E-01
    2   0.127E-01   0.206E+00   0.255E-01
    3   0.644E-02   0.140E+00   0.121E-01
    4   0.385E-02   0.985E-01   0.713E-02
    5   0.252E-02   0.693E-01   0.472E-02
    6   0.172E-02   0.487E-01   0.325E-02
    7   0.119E-02   0.341E-01   0.226E-02
    8   0.823E-03   0.239E-01   0.158E-02
    9   0.573E-03   0.167E-01   0.110E-02
   10   0.547E-03   0.115E-01   0.636E-03
   11   0.381E-03   0.663E-02   0.320E-03
   12   0.221E-03   0.331E-02   0.141E-03
   13   0.111E-03   0.144E-02   0.532E-04
   14   0.491E-04   0.519E-03   0.195E-04

*******   STEP  12      *** NEFF=10 CALCULATION                
    1   0.384E-01   0.715E+00   0.726E-01
    2   0.289E-01   0.844E+00   0.417E-01
    3   0.242E-01   0.858E+00   0.310E-01
    4   0.213E-01   0.827E+00   0.250E-01
    5   0.191E-01   0.784E+00   0.208E-01
    6   0.172E-01   0.738E+00   0.175E-01
    7   0.156E-01   0.692E+00   0.149E-01
    8   0.142E-01   0.647E+00   0.128E-01
    9   0.129E-01   0.603E+00   0.111E-01
   10   0.117E-01   0.561E+00   0.966E-02
   11   0.106E-01   0.519E+00   0.845E-02
   12   0.963E-02   0.478E+00   0.742E-02
   13   0.870E-02   0.439E+00   0.654E-02
   14   0.784E-02   0.402E+00   0.577E-02
   15   0.705E-02   0.366E+00   0.509E-02
   16   0.632E-02   0.332E+00   0.450E-02
   17   0.595E-02   0.300E+00   0.384E-02
   18   0.553E-02   0.266E+00   0.352E-02
   19   0.467E-02   0.241E+00   0.304E-02
   20   0.426E-02   0.213E+00   0.260E-02
   21   0.391E-02   0.187E+00   0.228E-02
   22   0.338E-02   0.165E+00   0.200E-02
   23   0.289E-02   0.146E+00   0.176E-02
   24   0.255E-02   0.128E+00   0.153E-02
   25   0.224E-02   0.112E+00   0.133E-02
   26   0.195E-02   0.984E-01   0.116E-02
   27   0.169E-02   0.862E-01   0.101E-02
   28   0.148E-02   0.754E-01   0.878E-03
   29   0.129E-02   0.658E-01   0.770E-03
   30   0.113E-02   0.575E-01   0.674E-03
   31   0.979E-03   0.502E-01   0.586E-03
   32   0.852E-03   0.438E-01   0.506E-03
   33   0.742E-03   0.382E-01   0.439E-03
   34   0.645E-03   0.333E-01   0.383E-03
   35   0.562E-03   0.290E-01   0.335E-03
   36   0.489E-03   0.253E-01   0.294E-03
   37   0.426E-03   0.220E-01   0.255E-03
   38   0.371E-03   0.192E-01   0.220E-03
   39   0.322E-03   0.167E-01   0.191E-03
   40   0.280E-03   0.145E-01   0.166E-03
   41   0.244E-03   0.127E-01   0.146E-03
   42   0.212E-03   0.110E-01   0.128E-03
   43   0.185E-03   0.959E-02   0.111E-03
   44   0.161E-03   0.835E-02   0.957E-04
   45   0.140E-03   0.727E-02   0.827E-04
   46   0.122E-03   0.632E-02   0.720E-04
   47   0.106E-03   0.550E-02   0.631E-04
   48   0.921E-04   0.479E-02   0.556E-04
   49   0.802E-04   0.416E-02   0.484E-04
   50   0.697E-04   0.362E-02   0.416E-04
   51   0.606E-04   0.316E-02   0.359E-04
   52   0.527E-04   0.275E-02   0.312E-04
   53   0.459E-04   0.239E-02   0.273E-04
   54   0.399E-04   0.208E-02   0.242E-04
   55   0.348E-04   0.181E-02   0.211E-04
   56   0.302E-04   0.157E-02   0.181E-04
   57   0.263E-04   0.137E-02   0.155E-04
   58   0.228E-04   0.119E-02   0.135E-04
   59   0.199E-04   0.104E-02   0.118E-04
   60   0.173E-04   0.900E-03   0.105E-04

*******   STEP  13      *** NEFF=10 CALCULATION                
    1   0.186E-01   0.203E+01   0.933E-01
    2   0.166E-01   0.197E+01   0.694E-01
    3   0.248E-01   0.166E+01   0.572E-01
    4   0.243E-01   0.126E+01   0.442E-01
    5   0.218E-01   0.832E+00   0.327E-01
    6   0.168E-01   0.533E+00   0.234E-01
    7   0.120E-01   0.341E+00   0.163E-01
    8   0.819E-02   0.219E+00   0.111E-01
    9   0.549E-02   0.142E+00   0.754E-02
   10   0.366E-02   0.927E-01   0.507E-02
   11   0.243E-02   0.608E-01   0.339E-02
   12   0.161E-02   0.400E-01   0.225E-02
   13   0.107E-02   0.263E-01   0.150E-02
   14   0.705E-03   0.174E-01   0.994E-03
   15   0.670E-03   0.113E-01   0.501E-03
   16   0.441E-03   0.556E-02   0.183E-03
   17   0.221E-03   0.198E-02   0.281E-04
   18   0.805E-04   0.256E-03   0.275E-04

*******   STEP  14      *** NEFF=10 CALCULATION                
    1   0.342E-01   0.915E+00   0.743E-01
    2   0.217E-01   0.470E+00   0.355E-01
    3   0.119E-01   0.243E+00   0.182E-01
    4   0.638E-02   0.129E+00   0.971E-02
    5   0.345E-02   0.708E-01   0.528E-02
    6   0.189E-02   0.396E-01   0.291E-02
    7   0.105E-02   0.226E-01   0.163E-02
    8   0.595E-03   0.131E-01   0.927E-03
    9   0.569E-03   0.746E-02   0.294E-03
   10   0.316E-03   0.256E-02   0.198E-03
   11   0.990E-04   0.133E-02   0.227E-03
   12   0.671E-04   0.153E-02   0.145E-03
   13   0.754E-04   0.104E-02   0.577E-04
   14   0.477E-04   0.463E-03   0.375E-04

*******   STEP  15      *** NEFF=10 CALCULATION                
    1   0.397E-01   0.776E+00   0.770E-01
    2   0.247E-01   0.527E+00   0.372E-01
    3   0.151E-01   0.397E+00   0.202E-01
    4   0.100E-01   0.314E+00   0.126E-01
    5   0.718E-02   0.249E+00   0.872E-02
    6   0.538E-02   0.197E+00   0.639E-02
    7   0.410E-02   0.155E+00   0.480E-02
    8   0.314E-02   0.121E+00   0.364E-02
    9   0.241E-02   0.941E-01   0.278E-02
   10   0.186E-02   0.730E-01   0.212E-02
   11   0.181E-02   0.562E-01   0.149E-02
   12   0.139E-02   0.398E-01   0.101E-02
   13   0.978E-03   0.273E-01   0.679E-03
   14   0.667E-03   0.185E-01   0.453E-03
   15   0.449E-03   0.124E-01   0.303E-03
   16   0.301E-03   0.832E-02   0.202E-03
   17   0.202E-03   0.557E-02   0.135E-03
   18   0.135E-03   0.373E-02   0.911E-04
   19   0.903E-04   0.249E-02   0.608E-04
   20   0.603E-04   0.167E-02   0.407E-04
   21   0.403E-04   0.112E-02   0.282E-04
   22   0.270E-04   0.747E-03   0.185E-04

*******   STEP  16      *** NEFF=10 CALCULATION                
    1   0.373E-01   0.148E+01   0.973E-01
    2   0.200E-01   0.178E+01   0.681E-01
    3   0.106E-01   0.191E+01   0.571E-01
    4   0.723E-02   0.192E+01   0.478E-01
    5   0.128E-01   0.165E+01   0.392E-01
    6   0.141E-01   0.128E+01   0.305E-01
    7   0.132E-01   0.952E+00   0.234E-01
    8   0.115E-01   0.721E+00   0.180E-01
    9   0.967E-02   0.551E+00   0.140E-01
   10   0.798E-02   0.422E+00   0.109E-01
   11   0.648E-02   0.324E+00   0.851E-02
   12   0.519E-02   0.248E+00   0.664E-02
   13   0.412E-02   0.191E+00   0.517E-02
   14   0.325E-02   0.146E+00   0.402E-02
   15   0.254E-02   0.113E+00   0.313E-02
   16   0.199E-02   0.866E-01   0.243E-02
   17   0.154E-02   0.666E-01   0.188E-02
   18   0.120E-02   0.513E-01   0.145E-02
   19   0.117E-02   0.393E-01   0.104E-02
   20   0.907E-03   0.278E-01   0.717E-03
   21   0.646E-03   0.191E-01   0.488E-03
   22   0.446E-03   0.130E-01   0.330E-03
   23   0.303E-03   0.875E-02   0.222E-03
   24   0.205E-03   0.589E-02   0.149E-03
   25   0.138E-03   0.396E-02   0.100E-03
   26   0.929E-04   0.266E-02   0.675E-04
   27   0.624E-04   0.179E-02   0.455E-04
   28   0.420E-04   0.120E-02   0.306E-04
   29   0.282E-04   0.805E-03   0.205E-04

*******   STEP  17      *** NEFF=10 CALCULATION                
    1   0.435E-01   0.122E+01   0.907E-01
    2   0.221E-01   0.197E+01   0.578E-01
    3   0.129E-01   0.207E+01   0.488E-01
    4   0.825E-02   0.203E+01   0.454E-01
    5   0.805E-02   0.200E+01   0.408E-01
    6   0.123E-01   0.187E+01   0.353E-01
    7   0.148E-01   0.155E+01   0.295E-01
    8   0.154E-01   0.115E+01   0.238E-01
    9   0.141E-01   0.811E+00   0.188E-01
   10   0.117E-01   0.566E+00   0.145E-01
   11   0.917E-02   0.398E+00   0.111E-01
   12   0.697E-02   0.282E+00   0.840E-02
   13   0.521E-02   0.202E+00   0.630E-02
   14   0.387E-02   0.146E+00   0.471E-02
   15   0.286E-02   0.106E+00   0.350E-02
   16   0.211E-02   0.771E-01   0.259E-02
   17   0.155E-02   0.563E-01   0.192E-02
   18   0.150E-02   0.408E-01   0.125E-02
   19   0.110E-02   0.262E-01   0.766E-03
   20   0.713E-03   0.158E-01   0.449E-03
   21   0.433E-03   0.922E-02   0.256E-03
   22   0.253E-03   0.523E-02   0.143E-03
   23   0.144E-03   0.292E-02   0.790E-04
   24   0.803E-04   0.160E-02   0.427E-04
   25   0.443E-04   0.873E-03   0.234E-04

*******   STEP  18      *** NEFF=10 CALCULATION                
    1   0.286E-01   0.107E+01   0.728E-01
    2   0.177E-01   0.458E+00   0.322E-01
    3   0.931E-02   0.228E+00   0.159E-01
    4   0.515E-02   0.127E+00   0.871E-02
    5   0.300E-02   0.743E-01   0.510E-02
    6   0.180E-02   0.447E-01   0.308E-02
    7   0.110E-02   0.273E-01   0.189E-02
    8   0.673E-03   0.167E-01   0.116E-02
    9   0.646E-03   0.101E-01   0.472E-03
   10   0.389E-03   0.391E-02   0.108E-03
   11   0.151E-03   0.424E-03   0.129E-03

*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.502E-02   0.133E-02   0.136E-03
    2   0.185E-03   0.114E-02   0.191E-03
    3   0.174E-03   0.984E-03   0.208E-03

*******   STEP   2      *** NEFF=10 CALCULATION                
    1   0.136E-02   0.162E-02   0.296E-02
    2   0.249E-03   0.286E-02   0.531E-03
    3   0.649E-04   0.938E-03   0.132E-03

*******   STEP   3      *** NEFF=10 CALCULATION                
    1   0.138E-02   0.147E-02   0.259E-02
    2   0.217E-03   0.247E-02   0.464E-03
    3   0.536E-04   0.748E-03   0.110E-03

*******   STEP   4      *** NEFF=10 CALCULATION                
    1   0.136E-02   0.139E-02   0.259E-02
    2   0.216E-03   0.244E-02   0.462E-03
    3   0.486E-04   0.653E-03   0.101E-03

*******   STEP   5      *** NEFF=10 CALCULATION                
    1   0.135E-02   0.134E-02   0.256E-02
    2   0.213E-03   0.239E-02   0.454E-03
    3   0.446E-04   0.581E-03   0.933E-04

*******   STEP   6      *** NEFF=10 CALCULATION                
    1   0.133E-02   0.130E-02   0.253E-02
    2   0.210E-03   0.235E-02   0.448E-03
    3   0.418E-04   0.528E-03   0.880E-04

*******   STEP   7      *** NEFF=10 CALCULATION                
    1   0.132E-02   0.127E-02   0.250E-02
    2   0.207E-03   0.232E-02   0.442E-03
    3   0.398E-04   0.490E-03   0.842E-04

*******   STEP   8      *** NEFF=10 CALCULATION                
    1   0.130E-02   0.124E-02   0.247E-02
    2   0.204E-03   0.228E-02   0.436E-03
    3   0.383E-04   0.461E-03   0.813E-04

*******   STEP   9      *** NEFF=10 CALCULATION                
    1   0.129E-02   0.122E-02   0.244E-02
