    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.013     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.013     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.013     0.000     0.001     0.007     0.001     0.000     0.001     0.001     0.012     0.001     0.000
     0.013     0.001     0.001     0.009     0.001     0.001     0.001     0.001     0.013     0.002     0.001
     0.013     0.013     0.006     0.010     0.003     0.008     0.006     0.003     0.004     0.001     0.005
     0.013     0.007     0.003     0.000     0.001     0.027     0.009     0.005     0.000     0.001     0.037
     0.013     0.002     0.009     0.001     0.001     0.018     0.003     0.017     0.001     0.001     0.031
     0.013     0.007     0.019     0.001     0.000     0.005     0.010     0.032     0.002     0.000     0.010
     0.013     0.048     0.062     0.006     0.003     0.066     0.041     0.056     0.008     0.004     0.033
     0.013     0.041     0.012     0.005     0.004     0.008     0.088     0.024     0.010     0.008     0.016
     0.013     0.040     0.000     0.004     0.004     0.007     0.097     0.001     0.010     0.009     0.017
     0.013     0.041     0.012     0.004     0.004     0.009     0.090     0.023     0.009     0.009     0.016
     0.013     0.048     0.064     0.006     0.004     0.070     0.044     0.055     0.009     0.006     0.031
     0.013     0.007     0.019     0.004     0.001     0.006     0.011     0.032     0.008     0.002     0.010
     0.013     0.002     0.009     0.002     0.001     0.018     0.004     0.016     0.003     0.002     0.030
     0.013     0.008     0.006     0.010     0.002     0.027     0.010     0.007     0.011     0.005     0.035
     0.013     0.009     0.010     0.012     0.015     0.016     0.010     0.011     0.015     0.018     0.019
     0.013     0.005     0.001     0.007     0.002     0.002     0.007     0.001     0.009     0.002     0.002
     0.013     0.002     0.000     0.001     0.000     0.001     0.004     0.001     0.001     0.001     0.001
    epsacu     sdev1     sdev2     sdev3     sdev4     sdev5     ddev1     ddev2     ddev3     ddev4     ddev5
     0.013     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.013     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.013     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.013     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.014     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.014     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.014     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.014     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.015     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.015     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.015     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.015     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.016     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.016     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.016     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.016     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.017     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.017     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.017     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.017     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.018     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.018     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.018     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.018     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.019     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.019     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.019     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.019     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.020     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.020     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.020     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.020     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.021     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.021     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.021     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.001
     0.021     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.022     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.022     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.022     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.022     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.023     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.023     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.023     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.023     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
     0.024     0.001     0.000     0.004     0.000     0.000     0.002     0.001     0.008     0.001     0.000
