          S1          S2          D1          D2
 -0.7719E+02 -0.2625E+03 -0.1107E-10 -0.3810E-02
 -0.8857E+02 -0.2615E+03 -0.6363E-03 -0.3609E-02
 -0.1026E+03 -0.2576E+03 -0.1234E-02 -0.3390E-02
 -0.1420E+03 -0.2385E+03 -0.1801E-02 -0.3120E-02
 -0.1633E+03 -0.2232E+03 -0.2329E-02 -0.2776E-02
 -0.1774E+03 -0.2095E+03 -0.2831E-02 -0.2376E-02
 -0.1861E+03 -0.1970E+03 -0.3335E-02 -0.1925E-02
 -0.1938E+03 -0.1804E+03 -0.3854E-02 -0.1403E-02
 -0.1993E+03 -0.1598E+03 -0.4396E-02 -0.7753E-03
 -0.2019E+03 -0.1252E+03 -0.4953E-02 -0.4326E-07
 -0.1957E+03 -0.5562E+02 -0.5380E-02  0.9485E-03
 -0.1736E+03  0.2656E+02 -0.5456E-02  0.1986E-02
 -0.1383E+03  0.1030E+03 -0.5057E-02  0.2919E-02
 -0.1094E+03  0.1445E+03 -0.4337E-02  0.3639E-02
 -0.5573E+02  0.1995E+03 -0.3408E-02  0.4061E-02
 -0.1261E+02  0.2293E+03 -0.2440E-02  0.4226E-02
  0.4130E+02  0.2548E+03 -0.1518E-02  0.4171E-02
  0.6429E+02  0.2613E+03 -0.7055E-03  0.4001E-02
  0.7718E+02  0.2625E+03 -0.1125E-06  0.3810E-02
  0.8857E+02  0.2615E+03  0.6363E-03  0.3609E-02
  0.1026E+03  0.2576E+03  0.1234E-02  0.3390E-02
  0.1420E+03  0.2385E+03  0.1801E-02  0.3120E-02
  0.1633E+03  0.2232E+03  0.2329E-02  0.2776E-02
  0.1774E+03  0.2095E+03  0.2831E-02  0.2376E-02
  0.1861E+03  0.1970E+03  0.3335E-02  0.1925E-02
  0.1938E+03  0.1804E+03  0.3854E-02  0.1403E-02
  0.1993E+03  0.1598E+03  0.4396E-02  0.7753E-03
  0.2019E+03  0.1252E+03  0.4953E-02  0.4326E-07
  0.1957E+03  0.5562E+02  0.5380E-02 -0.9485E-03
  0.1736E+03 -0.2656E+02  0.5456E-02 -0.1986E-02
  0.1383E+03 -0.1030E+03  0.5057E-02 -0.2919E-02
  0.1094E+03 -0.1445E+03  0.4337E-02 -0.3639E-02
  0.5573E+02 -0.1995E+03  0.3408E-02 -0.4061E-02
  0.1261E+02 -0.2293E+03  0.2440E-02 -0.4226E-02
 -0.4130E+02 -0.2548E+03  0.1518E-02 -0.4171E-02
 -0.6429E+02 -0.2613E+03  0.7055E-03 -0.4001E-02
 -0.7719E+02 -0.2625E+03 -0.1107E-10 -0.3810E-02
          S1          S2          D1          D2
 -0.1264E+03 -0.4525E+03 -0.5038E-11 -0.2210E-02
 -0.1445E+03 -0.4509E+03 -0.3701E-03 -0.2099E-02
 -0.1662E+03 -0.4450E+03 -0.7200E-03 -0.1978E-02
 -0.2387E+03 -0.4086E+03 -0.1057E-02 -0.1830E-02
 -0.2862E+03 -0.3755E+03 -0.1363E-02 -0.1624E-02
 -0.3066E+03 -0.3555E+03 -0.1653E-02 -0.1387E-02
 -0.3193E+03 -0.3373E+03 -0.1945E-02 -0.1123E-02
 -0.3298E+03 -0.3147E+03 -0.2250E-02 -0.8191E-03
 -0.3377E+03 -0.2847E+03 -0.2578E-02 -0.4546E-03
 -0.3421E+03 -0.2215E+03 -0.2923E-02 -0.1302E-07
 -0.3314E+03 -0.8736E+02 -0.3165E-02  0.5580E-03
 -0.2906E+03  0.6159E+02 -0.3195E-02  0.1163E-02
 -0.2347E+03  0.1835E+03 -0.2936E-02  0.1695E-02
 -0.1868E+03  0.2520E+03 -0.2511E-02  0.2107E-02
 -0.9406E+02  0.3467E+03 -0.1972E-02  0.2350E-02
 -0.2035E+02  0.3971E+03 -0.1412E-02  0.2446E-02
  0.7068E+02  0.4407E+03 -0.8771E-03  0.2410E-02
  0.1058E+03  0.4506E+03 -0.4083E-03  0.2315E-02
  0.1264E+03  0.4525E+03 -0.5631E-07  0.2210E-02
  0.1445E+03  0.4509E+03  0.3701E-03  0.2099E-02
  0.1662E+03  0.4450E+03  0.7200E-03  0.1978E-02
  0.2387E+03  0.4085E+03  0.1057E-02  0.1830E-02
  0.2862E+03  0.3755E+03  0.1363E-02  0.1624E-02
  0.3066E+03  0.3555E+03  0.1653E-02  0.1387E-02
  0.3193E+03  0.3373E+03  0.1945E-02  0.1123E-02
  0.3298E+03  0.3147E+03  0.2250E-02  0.8191E-03
  0.3377E+03  0.2847E+03  0.2578E-02  0.4546E-03
  0.3421E+03  0.2215E+03  0.2923E-02  0.1303E-07
  0.3314E+03  0.8738E+02  0.3165E-02 -0.5580E-03
  0.2906E+03 -0.6156E+02  0.3195E-02 -0.1163E-02
  0.2347E+03 -0.1835E+03  0.2936E-02 -0.1695E-02
  0.1868E+03 -0.2520E+03  0.2511E-02 -0.2107E-02
  0.9404E+02 -0.3467E+03  0.1972E-02 -0.2350E-02
  0.2034E+02 -0.3971E+03  0.1412E-02 -0.2446E-02
 -0.7071E+02 -0.4407E+03  0.8771E-03 -0.2410E-02
 -0.1058E+03 -0.4506E+03  0.4082E-03 -0.2315E-02
 -0.1264E+03 -0.4525E+03 -0.5038E-11 -0.2210E-02
          S1          S2          D1          D2
 -0.1479E+03 -0.5314E+03 -0.5076E-09 -0.1882E-02
 -0.1683E+03 -0.5296E+03 -0.3153E-03 -0.1788E-02
 -0.1924E+03 -0.5230E+03 -0.6137E-03 -0.1686E-02
 -0.2749E+03 -0.4813E+03 -0.9021E-03 -0.1562E-02
 -0.3332E+03 -0.4412E+03 -0.1164E-02 -0.1387E-02
 -0.3552E+03 -0.4195E+03 -0.1414E-02 -0.1186E-02
 -0.3699E+03 -0.3986E+03 -0.1667E-02 -0.9623E-03
 -0.3821E+03 -0.3721E+03 -0.1932E-02 -0.7033E-03
 -0.3914E+03 -0.3370E+03 -0.2218E-02 -0.3912E-03
 -0.3964E+03 -0.2667E+03 -0.2523E-02 -0.1181E-07
 -0.3835E+03 -0.1064E+03 -0.2742E-02  0.4834E-03
 -0.3341E+03  0.7394E+02 -0.2770E-02  0.1008E-02
 -0.2679E+03  0.2185E+03 -0.2538E-02  0.1465E-02
 -0.2112E+03  0.2996E+03 -0.2162E-02  0.1814E-02
 -0.1035E+03  0.4098E+03 -0.1689E-02  0.2013E-02
 -0.1768E+02  0.4686E+03 -0.1206E-02  0.2089E-02
  0.8555E+02  0.5181E+03 -0.7474E-03  0.2053E-02
  0.1247E+03  0.5291E+03 -0.3477E-03  0.1972E-02
  0.1478E+03  0.5313E+03 -0.4300E-07  0.1882E-02
  0.1683E+03  0.5295E+03  0.3153E-03  0.1788E-02
  0.1926E+03  0.5228E+03  0.6138E-03  0.1687E-02
  0.2752E+03  0.4811E+03  0.9021E-03  0.1563E-02
  0.3332E+03  0.4412E+03  0.1164E-02  0.1387E-02
  0.3552E+03  0.4195E+03  0.1414E-02  0.1186E-02
  0.3699E+03  0.3986E+03  0.1667E-02  0.9623E-03
  0.3821E+03  0.3721E+03  0.1932E-02  0.7033E-03
  0.3914E+03  0.3370E+03  0.2218E-02  0.3912E-03
  0.3964E+03  0.2665E+03  0.2523E-02  0.1197E-07
  0.3835E+03  0.1066E+03  0.2742E-02 -0.4834E-03
  0.3342E+03 -0.7357E+02  0.2770E-02 -0.1008E-02
  0.2680E+03 -0.2180E+03  0.2539E-02 -0.1466E-02
  0.2108E+03 -0.2998E+03  0.2163E-02 -0.1815E-02
  0.1033E+03 -0.4100E+03  0.1690E-02 -0.2013E-02
  0.1756E+02 -0.4686E+03  0.1206E-02 -0.2089E-02
 -0.8583E+02 -0.5183E+03  0.7473E-03 -0.2053E-02
 -0.1248E+03 -0.5293E+03  0.3477E-03 -0.1971E-02
 -0.1479E+03 -0.5314E+03 -0.5076E-09 -0.1882E-02
          S1          S2          D1          D2
 -0.1539E+03 -0.5654E+03 -0.1033E-08 -0.1769E-02
 -0.1745E+03 -0.5636E+03 -0.2966E-03 -0.1682E-02
 -0.1986E+03 -0.5570E+03 -0.5784E-03 -0.1589E-02
 -0.2814E+03 -0.5149E+03 -0.8523E-03 -0.1476E-02
 -0.3553E+03 -0.4655E+03 -0.1099E-02 -0.1310E-02
 -0.3763E+03 -0.4448E+03 -0.1334E-02 -0.1120E-02
 -0.3908E+03 -0.4241E+03 -0.1573E-02 -0.9083E-03
 -0.4028E+03 -0.3982E+03 -0.1826E-02 -0.6645E-03
 -0.4120E+03 -0.3634E+03 -0.2101E-02 -0.3704E-03
 -0.4170E+03 -0.2922E+03 -0.2398E-02 -0.1223E-07
 -0.4030E+03 -0.1118E+03 -0.2609E-02  0.4600E-03
 -0.3481E+03  0.8735E+02 -0.2632E-02  0.9580E-03
 -0.2799E+03  0.2368E+03 -0.2400E-02  0.1386E-02
