          S1          S2          D1          D2
  0.5999E+02 -0.1662E+03  0.5454E-10 -0.6018E-02
 -0.1453E+02 -0.1604E+03 -0.1082E-02 -0.6136E-02
 -0.7548E+02 -0.1439E+03 -0.2123E-02 -0.5834E-02
 -0.1430E+03 -0.1129E+03 -0.2954E-02 -0.5116E-02
 -0.1752E+03 -0.9044E+02 -0.3534E-02 -0.4212E-02
 -0.1979E+03 -0.6791E+02 -0.3923E-02 -0.3292E-02
 -0.2139E+03 -0.4493E+02 -0.4169E-02 -0.2407E-02
 -0.2326E+03 -0.6299E+01 -0.4258E-02 -0.1550E-02
 -0.2369E+03  0.9517E+01 -0.4251E-02 -0.7497E-03
 -0.2382E+03  0.2622E+02 -0.4198E-02 -0.5426E-07
 -0.2363E+03  0.5295E+02 -0.4071E-02  0.7177E-03
 -0.2292E+03  0.8181E+02 -0.3861E-02  0.1405E-02
 -0.2235E+03  0.9406E+02 -0.3600E-02  0.2078E-02
 -0.2151E+03  0.1061E+03 -0.3289E-02  0.2760E-02
 -0.1881E+03  0.1316E+03 -0.2899E-02  0.3455E-02
 -0.1733E+03  0.1421E+03 -0.2384E-02  0.4129E-02
 -0.1566E+03  0.1498E+03 -0.1760E-02  0.4835E-02
 -0.1086E+03  0.1625E+03 -0.9707E-03  0.5504E-02
 -0.6000E+02  0.1662E+03 -0.9816E-07  0.6018E-02
  0.1453E+02  0.1604E+03  0.1082E-02  0.6136E-02
  0.7548E+02  0.1439E+03  0.2123E-02  0.5834E-02
  0.1430E+03  0.1129E+03  0.2954E-02  0.5116E-02
  0.1752E+03  0.9044E+02  0.3534E-02  0.4212E-02
  0.1979E+03  0.6791E+02  0.3923E-02  0.3292E-02
  0.2139E+03  0.4493E+02  0.4169E-02  0.2407E-02
  0.2326E+03  0.6299E+01  0.4258E-02  0.1550E-02
  0.2369E+03 -0.9517E+01  0.4251E-02  0.7497E-03
  0.2382E+03 -0.2622E+02  0.4198E-02  0.5426E-07
  0.2363E+03 -0.5295E+02  0.4071E-02 -0.7177E-03
  0.2292E+03 -0.8181E+02  0.3861E-02 -0.1405E-02
  0.2235E+03 -0.9406E+02  0.3600E-02 -0.2078E-02
  0.2151E+03 -0.1061E+03  0.3289E-02 -0.2760E-02
  0.1881E+03 -0.1316E+03  0.2899E-02 -0.3455E-02
  0.1733E+03 -0.1421E+03  0.2384E-02 -0.4129E-02
  0.1566E+03 -0.1498E+03  0.1760E-02 -0.4835E-02
  0.1086E+03 -0.1625E+03  0.9707E-03 -0.5504E-02
  0.5999E+02 -0.1662E+03  0.5454E-10 -0.6018E-02
          S1          S2          D1          D2
  0.9637E+02 -0.2802E+03  0.2807E-10 -0.3569E-02
 -0.1516E+02 -0.2729E+03 -0.6399E-03 -0.3629E-02
 -0.8710E+02 -0.2534E+03 -0.1277E-02 -0.3508E-02
 -0.2255E+03 -0.1880E+03 -0.1814E-02 -0.3143E-02
 -0.2736E+03 -0.1549E+03 -0.2183E-02 -0.2601E-02
 -0.3057E+03 -0.1229E+03 -0.2446E-02 -0.2053E-02
 -0.3322E+03 -0.8469E+02 -0.2624E-02 -0.1515E-02
 -0.3662E+03 -0.1573E+02 -0.2688E-02 -0.9785E-03
 -0.3733E+03  0.1022E+02 -0.2692E-02 -0.4746E-03
 -0.3759E+03  0.4611E+02 -0.2660E-02 -0.1890E-07
 -0.3726E+03  0.9725E+02 -0.2566E-02  0.4524E-03
 -0.3604E+03  0.1499E+03 -0.2410E-02  0.8770E-03
 -0.3526E+03  0.1667E+03 -0.2228E-02  0.1286E-02
 -0.3411E+03  0.1830E+03 -0.2021E-02  0.1696E-02
 -0.3013E+03  0.2204E+03 -0.1773E-02  0.2113E-02
 -0.2751E+03  0.2396E+03 -0.1449E-02  0.2510E-02
 -0.2484E+03  0.2517E+03 -0.1064E-02  0.2923E-02
 -0.1678E+03  0.2749E+03 -0.5791E-03  0.3284E-02
 -0.9635E+02  0.2802E+03 -0.1867E-07  0.3569E-02
  0.1516E+02  0.2729E+03  0.6399E-03  0.3629E-02
  0.8710E+02  0.2534E+03  0.1277E-02  0.3508E-02
  0.2255E+03  0.1880E+03  0.1814E-02  0.3143E-02
  0.2736E+03  0.1549E+03  0.2183E-02  0.2601E-02
  0.3057E+03  0.1229E+03  0.2446E-02  0.2053E-02
  0.3322E+03  0.8468E+02  0.2624E-02  0.1515E-02
  0.3662E+03  0.1572E+02  0.2688E-02  0.9785E-03
  0.3733E+03 -0.1022E+02  0.2692E-02  0.4746E-03
  0.3759E+03 -0.4609E+02  0.2660E-02  0.1883E-07
  0.3726E+03 -0.9723E+02  0.2566E-02 -0.4524E-03
  0.3604E+03 -0.1499E+03  0.2410E-02 -0.8770E-03
  0.3526E+03 -0.1667E+03  0.2228E-02 -0.1286E-02
  0.3411E+03 -0.1830E+03  0.2021E-02 -0.1696E-02
  0.3012E+03 -0.2204E+03  0.1773E-02 -0.2113E-02
  0.2751E+03 -0.2396E+03  0.1449E-02 -0.2510E-02
  0.2484E+03 -0.2517E+03  0.1064E-02 -0.2923E-02
  0.1678E+03 -0.2749E+03  0.5791E-03 -0.3284E-02
  0.9637E+02 -0.2802E+03  0.2807E-10 -0.3569E-02
          S1          S2          D1          D2
  0.9052E+02 -0.3479E+03 -0.1450E-12 -0.2874E-02
 -0.4865E+01 -0.3408E+03 -0.5161E-03 -0.2927E-02
 -0.8743E+02 -0.3184E+03 -0.1039E-02 -0.2855E-02
 -0.2355E+03 -0.2476E+03 -0.1505E-02 -0.2607E-02
 -0.3103E+03 -0.1968E+03 -0.1836E-02 -0.2188E-02
 -0.3541E+03 -0.1531E+03 -0.2072E-02 -0.1739E-02
 -0.3911E+03 -0.9937E+02 -0.2230E-02 -0.1287E-02
 -0.4327E+03 -0.1579E+02 -0.2281E-02 -0.8302E-03
 -0.4420E+03  0.1870E+02 -0.2279E-02 -0.4019E-03
 -0.4465E+03  0.8889E+02 -0.2240E-02 -0.2249E-07
 -0.4434E+03  0.1253E+03 -0.2148E-02  0.3788E-03
 -0.4286E+03  0.1886E+03 -0.2011E-02  0.7319E-03
 -0.4183E+03  0.2107E+03 -0.1852E-02  0.1069E-02
 -0.4037E+03  0.2316E+03 -0.1672E-02  0.1403E-02
 -0.3546E+03  0.2776E+03 -0.1459E-02  0.1739E-02
 -0.3265E+03  0.2979E+03 -0.1187E-02  0.2056E-02
 -0.2728E+03  0.3209E+03 -0.8662E-03  0.2380E-02
 -0.2021E+03  0.3411E+03 -0.4680E-03  0.2654E-02
 -0.9036E+02  0.3479E+03 -0.6585E-08  0.2874E-02
  0.4871E+01  0.3408E+03  0.5161E-03  0.2927E-02
  0.8742E+02  0.3184E+03  0.1039E-02  0.2855E-02
  0.2355E+03  0.2476E+03  0.1505E-02  0.2607E-02
  0.3103E+03  0.1967E+03  0.1836E-02  0.2188E-02
  0.3541E+03  0.1531E+03  0.2072E-02  0.1739E-02
  0.3912E+03  0.9932E+02  0.2230E-02  0.1287E-02
  0.4328E+03  0.1563E+02  0.2281E-02  0.8301E-03
  0.4421E+03 -0.1872E+02  0.2279E-02  0.4019E-03
  0.4466E+03 -0.8873E+02  0.2239E-02  0.2465E-07
  0.4435E+03 -0.1250E+03  0.2148E-02 -0.3787E-03
  0.4286E+03 -0.1886E+03  0.2011E-02 -0.7319E-03
  0.4184E+03 -0.2107E+03  0.1852E-02 -0.1069E-02
  0.4037E+03 -0.2316E+03  0.1672E-02 -0.1403E-02
  0.3544E+03 -0.2778E+03  0.1459E-02 -0.1739E-02
  0.3265E+03 -0.2980E+03  0.1187E-02 -0.2056E-02
