          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.00000E+00  0.46700E+03    0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00   -0.87404E+02 -0.19441E+03  0.28181E+03  0.21661E+02 -0.38766E+01  0.98919E+02      298.00
  0.45259E-03  0.47785E+03   -0.25000E-03 -0.25000E-03  0.50000E-03  0.00000E+00  0.00000E+00  0.00000E+00   -0.91569E+02 -0.19793E+03  0.28950E+03  0.22345E+02 -0.28357E+01  0.99604E+02      298.00
  0.90697E-03  0.48856E+03   -0.50000E-03 -0.50000E-03  0.10000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.95269E+02 -0.20163E+03  0.29690E+03  0.22861E+02 -0.20103E+01  0.10048E+03      298.00
  0.13627E-02  0.49894E+03   -0.75000E-03 -0.75000E-03  0.15000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.98679E+02 -0.20527E+03  0.30395E+03  0.23312E+02 -0.12514E+01  0.10152E+03      298.00
  0.18196E-02  0.50899E+03   -0.10000E-02 -0.10000E-02  0.20000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.10179E+03 -0.20889E+03  0.31067E+03  0.23682E+02 -0.59662E+00  0.10267E+03      298.00
  0.22774E-02  0.51881E+03   -0.12500E-02 -0.12500E-02  0.25000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.10466E+03 -0.21249E+03  0.31715E+03  0.23991E+02 -0.95421E-02  0.10393E+03      298.00
  0.27359E-02  0.52863E+03   -0.15000E-02 -0.15000E-02  0.30000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.10735E+03 -0.21618E+03  0.32353E+03  0.24239E+02  0.52730E+00  0.10535E+03      298.00
  0.31949E-02  0.53834E+03   -0.17500E-02 -0.17500E-02  0.35000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.10989E+03 -0.21988E+03  0.32977E+03  0.24452E+02  0.10205E+01  0.10687E+03      298.00
  0.36543E-02  0.54777E+03   -0.20000E-02 -0.20000E-02  0.40000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.11225E+03 -0.22352E+03  0.33578E+03  0.24619E+02  0.14630E+01  0.10841E+03      298.00
  0.41141E-02  0.55681E+03   -0.22500E-02 -0.22500E-02  0.45000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.11440E+03 -0.22711E+03  0.34151E+03  0.24724E+02  0.18223E+01  0.10992E+03      298.00
  0.45741E-02  0.56588E+03   -0.25000E-02 -0.25000E-02  0.50000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.11653E+03 -0.23068E+03  0.34721E+03  0.24836E+02  0.22232E+01  0.11155E+03      298.00
  0.50343E-02  0.57456E+03   -0.27500E-02 -0.27500E-02  0.55000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.11851E+03 -0.23414E+03  0.35264E+03  0.24915E+02  0.25841E+01  0.11314E+03      298.00
  0.54946E-02  0.58319E+03   -0.30000E-02 -0.30000E-02  0.60000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12030E+03 -0.23772E+03  0.35802E+03  0.24898E+02  0.28309E+01  0.11473E+03      298.00
  0.59550E-02  0.59139E+03   -0.32500E-02 -0.32500E-02  0.65000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12205E+03 -0.24107E+03  0.36311E+03  0.24910E+02  0.31131E+01  0.11627E+03      298.00
  0.64155E-02  0.59973E+03   -0.35000E-02 -0.35000E-02  0.70000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12370E+03 -0.24456E+03  0.36826E+03  0.24853E+02  0.33478E+01  0.11789E+03      298.00
  0.68760E-02  0.60829E+03   -0.37500E-02 -0.37500E-02  0.75000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12547E+03 -0.24803E+03  0.37350E+03  0.24826E+02  0.37171E+01  0.11970E+03      298.00
  0.73366E-02  0.61599E+03   -0.40000E-02 -0.40000E-02  0.80000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12691E+03 -0.25134E+03  0.37825E+03  0.24724E+02  0.38730E+01  0.12117E+03      298.00
  0.77971E-02  0.62381E+03   -0.42500E-02 -0.42500E-02  0.85000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12846E+03 -0.25456E+03  0.38303E+03  0.24664E+02  0.41729E+01  0.12279E+03      298.00
  0.82576E-02  0.63172E+03   -0.45000E-02 -0.45000E-02  0.90000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.12993E+03 -0.25792E+03  0.38785E+03  0.24530E+02  0.44155E+01  0.12445E+03      298.00
  0.87181E-02  0.63938E+03   -0.47500E-02 -0.47500E-02  0.95000E-02  0.00000E+00  0.00000E+00  0.00000E+00   -0.13134E+03 -0.26117E+03  0.39251E+03  0.24394E+02  0.46564E+01  0.12606E+03      298.00
  0.91785E-02  0.64690E+03   -0.50000E-02 -0.50000E-02  0.10000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.13270E+03 -0.26439E+03  0.39708E+03  0.24230E+02  0.48785E+01  0.12764E+03      298.00
  0.96389E-02  0.65430E+03   -0.52500E-02 -0.52500E-02  0.10500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.13401E+03 -0.26757E+03  0.40158E+03  0.24043E+02  0.50916E+01  0.12920E+03      298.00
  0.10099E-01  0.66158E+03   -0.55000E-02 -0.55000E-02  0.11000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.13528E+03 -0.27071E+03  0.40599E+03  0.23837E+02  0.53014E+01  0.13074E+03      298.00
  0.10559E-01  0.66853E+03   -0.57500E-02 -0.57500E-02  0.11500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.13655E+03 -0.27367E+03  0.41021E+03  0.23664E+02  0.55589E+01  0.13222E+03      298.00
  0.11020E-01  0.67644E+03   -0.60000E-02 -0.60000E-02  0.12000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.13776E+03 -0.27720E+03  0.41495E+03  0.23305E+02  0.57147E+01  0.13397E+03      298.00
  0.11480E-01  0.68335E+03   -0.62500E-02 -0.62500E-02  0.12500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.13896E+03 -0.28017E+03  0.41913E+03  0.23070E+02  0.59532E+01  0.13546E+03      298.00
  0.11940E-01  0.69003E+03   -0.65000E-02 -0.65000E-02  0.13000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14019E+03 -0.28299E+03  0.42318E+03  0.22887E+02  0.62536E+01  0.13691E+03      298.00
  0.12400E-01  0.69574E+03   -0.67500E-02 -0.67500E-02  0.13500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14112E+03 -0.28556E+03  0.42668E+03  0.22624E+02  0.63585E+01  0.13799E+03      298.00
  0.12860E-01  0.70232E+03   -0.70000E-02 -0.70000E-02  0.14000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14215E+03 -0.28850E+03  0.43066E+03  0.22292E+02  0.65192E+01  0.13937E+03      298.00
  0.13320E-01  0.70976E+03   -0.72500E-02 -0.72500E-02  0.14500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14336E+03 -0.29174E+03  0.43509E+03  0.21935E+02  0.68119E+01  0.14109E+03      298.00
  0.13779E-01  0.71611E+03   -0.75000E-02 -0.75000E-02  0.15000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14441E+03 -0.29452E+03  0.43893E+03  0.21618E+02  0.70423E+01  0.14246E+03      298.00
  0.14239E-01  0.72237E+03   -0.77500E-02 -0.77500E-02  0.15500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14547E+03 -0.29724E+03  0.44271E+03  0.21307E+02  0.73053E+01  0.14382E+03      298.00
  0.14699E-01  0.72853E+03   -0.80000E-02 -0.80000E-02  0.16000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14652E+03 -0.29990E+03  0.44642E+03  0.20992E+02  0.75821E+01  0.14516E+03      298.00
  0.15158E-01  0.73370E+03   -0.82500E-02 -0.82500E-02  0.16500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14741E+03 -0.30218E+03  0.44958E+03  0.20701E+02  0.77818E+01  0.14617E+03      298.00
  0.15618E-01  0.73966E+03   -0.85000E-02 -0.85000E-02  0.17000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14842E+03 -0.30476E+03  0.45318E+03  0.20365E+02  0.80673E+01  0.14747E+03      298.00
  0.16077E-01  0.74553E+03   -0.87500E-02 -0.87500E-02  0.17500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.14943E+03 -0.30730E+03  0.45672E+03  0.20021E+02  0.83624E+01  0.14875E+03      298.00
  0.16537E-01  0.75131E+03   -0.90000E-02 -0.90000E-02  0.18000E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.15041E+03 -0.30979E+03  0.46020E+03  0.19668E+02  0.86627E+01  0.15001E+03      298.00
  0.16996E-01  0.75699E+03   -0.92500E-02 -0.92500E-02  0.18500E-01  0.00000E+00  0.00000E+00  0.00000E+00   -0.15138E+03 -0.31225E+03  0.46363E+03  0.19305E+02  0.89675E+01  0.15124E+03      298.00
